Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/8/2018 16:12,0,0.3,-2.78,-1.56,-0.49,,,,
8/8/2018 16:12,0.05,0.55,-3.03,-1.68,-0.49,,,,
8/8/2018 16:12,0.1,-0.32,-2.64,-1.44,-0.44,,,,
8/8/2018 16:12,0.15,0.12,-2.71,-1.49,-0.45,,,,
8/8/2018 16:12,0.2,-0.08,-2.23,-1.56,-0.4,,,,
8/8/2018 16:12,0.25,0.16,-1.64,-1.03,-0.31,,,,
8/8/2018 16:12,0.3,0.11,-0.68,-0.81,-0.18,,,,
8/8/2018 16:12,0.35,2.27,1.48,-0.87,-0.15,,,,
8/8/2018 16:12,0.4,4.15,2.41,1.52,0.11,,,,
8/8/2018 16:12,0.45,3.88,4.84,4.91,0.58,,,,
8/8/2018 16:12,0.5,2.7,7.3,8.76,1.27,,,,
8/8/2018 16:12,0.55,4.62,9.61,7.83,1.41,,,,
8/8/2018 16:12,0.6,5.22,11.11,11.32,1.88,,,,
8/8/2018 16:12,0.65,5.15,13.41,14.15,2.5,,,,
8/8/2018 16:12,0.7,5.93,16.86,16.31,3.17,,,,
8/8/2018 16:12,0.75,7.26,19.37,18.81,3.68,,,,
8/8/2018 16:12,0.8,8.6,23.36,23.04,4.42,,,,
8/8/2018 16:12,0.85,10.94,28.58,28.08,5.76,,,,
8/8/2018 16:12,0.9,14.42,34.48,32.91,6.85,,,,
8/8/2018 16:12,0.95,19.72,39.87,38.91,7.82,,,,
8/8/2018 16:12,1,26.33,46.02,44.9,8.49,,,,
8/8/2018 16:12,1.05,31.46,53.15,45.27,9.97,,,,
8/8/2018 16:12,1.1,41.87,62.32,43.75,12.08,,,,
8/8/2018 16:12,1.15,54.59,66.18,43.77,9.83,,,,
8/8/2018 16:12,1.2,64.44,70.37,43.32,9.51,,,,
8/8/2018 16:12,1.25,71.9,77.24,43.14,10.1,,,,
8/8/2018 16:12,1.3,80.44,76.55,42.84,11.33,,,,
8/8/2018 16:12,1.35,86.27,76.49,42.92,11.77,,,,
8/8/2018 16:12,1.4,72.52,76.08,43.32,13,,,,
8/8/2018 16:12,1.45,45.37,47.3,45.07,8.67,,,,
8/8/2018 16:12,1.5,15.06,12.84,41.6,5.31,,,,
8/8/2018 16:12,1.55,-0.88,-2.81,11.31,1.83,,,,
