Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
9/17/2018 13:44,0,3.83,7.46,-2.78,0.82,,,,
9/17/2018 13:44,0.05,3.83,7.46,-2.78,0.82,,,,
9/17/2018 13:44,0.1,3.83,7.46,-2.78,0.82,,,,
9/17/2018 13:44,0.15,-0.39,0.47,1.47,1.41,,,,
9/17/2018 13:44,0.2,0.81,1.77,0.24,0.71,,,,
9/17/2018 13:44,0.25,1.81,3.64,-0.1,0.14,,,,
9/17/2018 13:44,0.3,0.75,5.26,0.95,0.23,,,,
9/17/2018 13:44,0.35,0.05,6.73,1.73,0.39,,,,
9/17/2018 13:44,0.4,0.4,7.23,3.01,0.49,,,,
9/17/2018 13:44,0.45,0.77,7.67,3.7,0.49,,,,
9/17/2018 13:44,0.5,2.24,7.41,5.24,0.53,,,,
9/17/2018 13:44,0.55,1.55,6.28,8.65,0.89,,,,
9/17/2018 13:44,0.6,1.43,7.45,11.6,1.15,,,,
9/17/2018 13:44,0.65,1.51,9,14.53,1.65,,,,
9/17/2018 13:44,0.7,1.29,11.59,15.84,3.48,,,,
9/17/2018 13:44,0.75,1.54,13.23,15.85,5.22,,,,
9/17/2018 13:44,0.8,3.35,16.29,14.38,4.09,,,,
9/17/2018 13:44,0.85,6.02,19.41,11.27,2.59,,,,
9/17/2018 13:44,0.9,9.76,20.57,9.79,1.49,,,,
9/17/2018 13:44,0.95,12.76,20.41,14.54,1.77,,,,
9/17/2018 13:44,1,16.47,21.35,24.19,2.6,,,,
9/17/2018 13:44,1.05,26.89,18.99,43.16,3.31,,,,
9/17/2018 13:44,1.1,33.64,23.06,54.61,8.88,,,,
9/17/2018 13:44,1.15,44.29,25.92,66.29,10.72,,,,
9/17/2018 13:44,1.2,56.12,31.87,82.6,9.02,,,,
9/17/2018 13:44,1.25,65.82,37.31,86.93,14.41,,,,
9/17/2018 13:44,1.3,72.6,43.65,89.23,15.28,,,,
9/17/2018 13:44,1.35,79.89,52.6,92.72,10.53,,,,
9/17/2018 13:44,1.4,68.92,46.75,81.4,6.32,,,,
9/17/2018 13:44,1.45,28.44,13.25,51.43,2.03,,,,
9/17/2018 13:44,1.5,-3.5,-6.93,12.97,1.66,,,,
9/17/2018 13:44,1.55,-4.76,-7.47,-3.44,4.39,,,,
9/17/2018 13:44,1.6,-3.94,-6.65,-3.97,7.59,,,,
9/17/2018 13:44,1.65,-4.41,-7.17,-6.21,-0.4,,,,
9/17/2018 13:44,1.7,-4.82,-7.31,-6.69,-1.76,,,,
9/17/2018 13:44,1.75,-4.89,-7.09,-6,-1.67,,,,
9/17/2018 13:44,1.8,-4.86,-7.2,-5.76,-1.43,,,,
9/17/2018 13:44,1.85,-5.34,-7.36,-5.14,-1.78,,,,
9/17/2018 13:44,1.9,-5.29,-7.76,-5.25,-1.53,,,,
9/17/2018 13:44,1.95,-5.03,-7.68,-5.24,-1.23,,,,
9/17/2018 13:44,2,-4.96,-7.35,-5.07,-0.86,,,,
9/17/2018 13:44,2.05,-4.97,-7.16,-4.89,-1.28,,,,
9/17/2018 13:44,2.1,-5.14,-7.12,-4.91,-1.76,,,,
9/17/2018 13:44,2.15,-5.02,6.53,-4.94,-1.98,,,,
9/17/2018 13:44,2.2,-4.4,0.94,-6.27,-2.12,,,,
9/17/2018 13:44,2.25,-4.16,2.34,-5.98,-0.89,,,,
9/17/2018 13:44,2.3,-3.7,5.61,-6.04,-0.43,,,,
9/17/2018 13:44,2.35,10.45,4.33,-4.4,-2.52,,,,
9/17/2018 13:44,2.4,16.82,6.94,-3.37,-3.87,,,,
9/17/2018 13:44,2.45,22.36,10.08,-3.12,-3.46,,,,
9/17/2018 13:44,2.5,27.54,14.54,-2.81,-3.41,,,,
9/17/2018 13:44,2.55,34.03,21.22,-1.13,-3.85,,,,
9/17/2018 13:44,2.6,21.37,22.22,22.3,24.41,,,,
9/17/2018 13:44,2.65,28.57,26.13,30.81,19.98,,,,
9/17/2018 13:44,2.7,38.72,32.5,37.7,17.38,,,,
9/17/2018 13:44,2.75,40.96,35.66,53.71,27.14,,,,
