Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/8/2018 15:20,0,-0.61,-0.3,0.14,0.53,,,,
8/8/2018 15:20,0.05,-0.25,-0.34,0.27,0.55,,,,
8/8/2018 15:20,0.1,-0.07,-0.02,0.45,0.05,,,,
8/8/2018 15:20,0.15,0.77,0.21,0.33,1.21,,,,
8/8/2018 15:20,0.2,1.23,0.98,2.44,1.15,,,,
8/8/2018 15:20,0.25,2.81,2.16,2.99,2.8,,,,
8/8/2018 15:20,0.3,4.21,4.7,3.63,5.5,,,,
8/8/2018 15:20,0.35,5.08,5.41,8.67,7.32,,,,
8/8/2018 15:20,0.4,5.92,5.22,13.08,11.84,,,,
8/8/2018 15:20,0.45,8.34,8.46,17.2,13.48,,,,
8/8/2018 15:20,0.5,11.29,13.22,20.07,15.04,,,,
8/8/2018 15:20,0.55,14.01,17.22,27.9,18.92,,,,
8/8/2018 15:20,0.6,17.32,21.87,34.69,26.54,,,,
8/8/2018 15:20,0.65,21.01,30.13,44.9,32.55,,,,
8/8/2018 15:20,0.7,28.47,39.89,49.65,35.19,,,,
8/8/2018 15:20,0.75,34.79,50.64,50.38,39.17,,,,
8/8/2018 15:20,0.8,40.78,67.27,51.98,37.7,,,,
8/8/2018 15:20,0.85,46.14,78.82,51.71,36.52,,,,
8/8/2018 15:20,0.9,52.7,89.36,50.43,37.82,,,,
8/8/2018 15:20,0.95,58.65,98.39,49.4,43.23,,,,
8/8/2018 15:20,1,65.79,100,48.31,46.91,,,,
8/8/2018 15:20,1.05,70.85,100,48.03,53.61,,,,
8/8/2018 15:20,1.1,74.57,100,48.03,58.43,,,,
8/8/2018 15:20,1.15,78.64,100,46.68,58.26,,,,
8/8/2018 15:20,1.2,81.47,100,45.72,59.06,,,,
8/8/2018 15:20,1.25,84.7,100,44.3,61.49,,,,
8/8/2018 15:20,1.3,86.51,100,44.3,63.45,,,,
8/8/2018 15:20,1.35,87.56,100,43.85,63.64,,,,
8/8/2018 15:20,1.4,87.59,100,43.41,59.78,,,,
8/8/2018 15:20,1.45,87.58,100,42.89,56.57,,,,
8/8/2018 15:20,1.5,87.7,100,41.92,54.66,,,,
8/8/2018 15:20,1.55,87.77,100,41.23,51.57,,,,
8/8/2018 15:20,1.6,87.84,100,41.08,53.83,,,,
8/8/2018 15:20,1.65,87.95,100,41.37,55.26,,,,
8/8/2018 15:20,1.7,87.92,100,41.03,54.25,,,,
8/8/2018 15:20,1.75,88.24,100,40.29,53.4,,,,
8/8/2018 15:20,1.8,88.29,100,40.31,53.7,,,,
8/8/2018 15:20,1.85,88.19,100,40.12,51.82,,,,
8/8/2018 15:20,1.9,88.83,100,39.38,53.09,,,,
8/8/2018 15:20,1.95,88.82,100,39.74,55.19,,,,
8/8/2018 15:20,2,89.25,100,39.78,55.22,,,,
8/8/2018 15:20,2.05,89.42,100,39.58,52.88,,,,
8/8/2018 15:20,2.1,89.52,100,39.55,51.57,,,,
8/8/2018 15:20,2.15,89.61,100,39.73,52.26,,,,
8/8/2018 15:20,2.2,89.55,100,39.16,50.68,,,,
8/8/2018 15:20,2.25,89.78,100,39.18,51.19,,,,
8/8/2018 15:20,2.3,90.14,100,38.87,50.5,,,,
8/8/2018 15:20,2.35,90.92,100,38.89,53.93,,,,
8/8/2018 15:20,2.4,91.07,100,38.92,54.39,,,,
8/8/2018 15:20,2.45,91.28,100,38.95,54.52,,,,
8/8/2018 15:20,2.5,91.51,100,37.8,51.81,,,,
8/8/2018 15:20,2.55,91.64,100,37.72,52.21,,,,
8/8/2018 15:20,2.6,92.17,100,37.26,51.58,,,,
8/8/2018 15:20,2.65,93.67,100,37.29,54.45,,,,
8/8/2018 15:20,2.7,93.49,100,37.99,56.49,,,,
8/8/2018 15:20,2.75,93.49,100,38.18,55.77,,,,
8/8/2018 15:20,2.8,94.02,100,38.56,56.44,,,,
8/8/2018 15:20,2.85,95.09,100,38.52,60.46,,,,
8/8/2018 15:20,2.9,95.67,100,38.33,58.74,,,,
8/8/2018 15:20,2.95,95.41,100,38.55,59,,,,
8/8/2018 15:20,3,95.21,100,38.57,57.78,,,,
8/8/2018 15:20,3.05,94.73,100,39.39,58.21,,,,
8/8/2018 15:20,3.1,93.42,100,42.38,56.96,,,,
8/8/2018 15:20,3.15,89.43,100,43,57.28,,,,
8/8/2018 15:20,3.2,64.03,63.69,30.52,49.78,,,,
8/8/2018 15:20,3.25,28.75,27.49,15.43,39.84,,,,
8/8/2018 15:20,3.3,9.93,11.59,6.52,19.77,,,,
8/8/2018 15:20,3.35,0.62,-3.54,0.4,2.5,,,,
8/8/2018 15:20,3.4,-3.36,-7.48,-1.62,-7.81,,,,
8/8/2018 15:20,3.45,-3.24,-6.64,-2.07,-7.73,,,,
8/8/2018 15:20,3.5,-2.91,-6.46,-2,-7.25,,,,
8/8/2018 15:20,3.55,-2.87,-6.63,-1.71,-6.9,,,,
8/8/2018 15:20,3.6,-2.94,-6.66,-1.55,-6.9,,,,
8/8/2018 15:20,3.65,-2.86,-6.63,-1.54,-7.04,,,,
8/8/2018 15:20,3.7,-2.8,-6.61,-1.52,-7.17,,,,
8/8/2018 15:20,3.75,-2.71,-6.77,-1.52,-7.15,,,,
8/8/2018 15:20,3.8,-2.77,-6.92,-1.37,-7.23,,,,
8/8/2018 15:20,3.85,-2.87,-7.09,-1.42,-7.25,,,,
8/8/2018 15:20,3.9,-2.94,-7.18,-1.42,-7.3,,,,
8/8/2018 15:20,3.95,-2.86,-7.02,-1.4,-7.22,,,,
8/8/2018 15:20,4,-2.72,-7.01,-1.31,-7.19,,,,
8/8/2018 15:20,4.05,-2.68,-6.97,-1.18,-7.24,,,,
8/8/2018 15:20,4.1,-2.79,-7.02,-1.26,-7.19,,,,
8/8/2018 15:20,4.15,-2.76,-7.09,-1.23,-7.24,,,,
8/8/2018 15:20,4.2,-2.68,-7.23,-1.2,-7.31,,,,
8/8/2018 15:20,4.25,-2.69,-7.3,-1.17,-7.4,,,,
8/8/2018 15:20,4.3,-2.79,-7.35,-1.12,-7.44,,,,
8/8/2018 15:20,4.35,-2.74,-7.4,-1.01,-7.44,,,,
8/8/2018 15:20,4.4,-2.16,-5.78,0.61,-1.31,,,,
8/8/2018 15:20,4.45,-1.67,-6.58,3.66,-7.07,,,,
8/8/2018 15:20,4.5,-2.63,-6.15,11.46,-3.6,,,,
8/8/2018 15:20,4.55,0.03,-7.03,9.47,20,,,,
8/8/2018 15:20,4.6,17.88,6.25,14.61,-5.3,,,,
8/8/2018 15:20,4.65,20.02,7.67,38.98,-2.7,,,,
8/8/2018 15:20,4.7,32.28,11.19,46.17,-0.97,,,,
8/8/2018 15:20,4.75,40.01,31.86,45.64,-1.2,,,,
8/8/2018 15:20,4.8,59.07,53.33,46.63,0.08,,,,
8/8/2018 15:20,4.85,78.01,65.26,47.94,4.31,,,,
8/8/2018 15:20,4.9,86.37,87,49.3,8.68,,,,
8/8/2018 15:20,4.95,89.33,100,44.85,6.08,,,,
8/8/2018 15:20,5,86.66,100,40.19,8.14,,,,
8/8/2018 15:20,5.05,87.21,100,41.76,16.81,,,,
8/8/2018 15:20,5.1,74.44,100,41.09,9.59,,,,
8/8/2018 15:20,5.15,65.51,100,28.98,7.72,,,,
8/8/2018 15:20,5.2,65.38,100,16.9,11.96,,,,
8/8/2018 15:20,5.25,65.04,100,15.6,24.29,,,,
8/8/2018 15:20,5.3,65.07,100,14.56,36.76,,,,
8/8/2018 15:20,5.35,67.24,100,13.76,49.58,,,,
8/8/2018 15:20,5.4,70.45,100,12.24,60.65,,,,
8/8/2018 15:20,5.45,72.82,100,10.33,62.38,,,,
8/8/2018 15:20,5.5,76.46,100,11.06,61.89,,,,
8/8/2018 15:20,5.55,78.73,100,12.24,52.34,,,,
8/8/2018 15:20,5.6,81.75,100,12.29,47.82,,,,
8/8/2018 15:20,5.65,87.99,100,17.47,42.42,,,,
8/8/2018 15:20,5.7,92.03,71.29,22,35.24,,,,
8/8/2018 15:20,5.75,90.7,29.96,24.36,22.22,,,,
8/8/2018 15:20,5.8,71.83,3.99,15.62,15.53,,,,
8/8/2018 15:20,5.85,32.51,-4.28,12.62,2.49,,,,
8/8/2018 15:20,5.9,-1.34,-7.42,-2.44,3.66,,,,
8/8/2018 15:20,5.95,-3.22,-6.91,-3.16,-6.94,,,,
8/8/2018 15:20,6,-2.4,-6.43,-3.37,-6.87,,,,
8/8/2018 15:20,6.05,-2.31,-6.19,-3.29,-6.54,,,,
8/8/2018 15:20,6.1,-2.37,-6.17,-2.97,-6.49,,,,
8/8/2018 15:20,6.15,-2.51,-6.35,-2.9,-6.56,,,,
8/8/2018 15:20,6.2,-2.7,-6.53,-2.75,-6.73,,,,
8/8/2018 15:20,6.25,-2.59,-6.57,-2.58,-6.69,,,,
8/8/2018 15:20,6.3,-2.47,-6.62,-2.29,-6.76,,,,
8/8/2018 15:20,6.35,-2.48,-6.92,-2.19,-6.73,,,,
8/8/2018 15:20,6.4,-2.37,-6.95,-2.03,-6.62,,,,
8/8/2018 15:20,6.45,-2.22,-7.06,-2.06,-6.88,,,,
8/8/2018 15:20,6.5,-2.21,-7.06,-1.96,-7.01,,,,
8/8/2018 15:20,6.55,-2.25,-6.95,-2.14,-7.02,,,,
8/8/2018 15:20,6.6,-2.51,-7.2,-2.17,-7.23,,,,
8/8/2018 15:20,6.65,-2.39,-7.3,-1.98,-7.21,,,,
8/8/2018 15:20,6.7,7.69,-7.37,-1.93,-7.05,,,,
8/8/2018 15:20,6.75,-1.97,-7.32,-1.93,-7.57,,,,
8/8/2018 15:20,6.8,-0.24,-7.16,-1.66,-6.96,,,,
8/8/2018 15:20,6.85,2.21,-3.05,-1.42,-7.69,,,,
8/8/2018 15:20,6.9,1.32,-5.47,7.97,-6.28,,,,
8/8/2018 15:20,6.95,3.81,-5.25,9.88,-1.44,,,,
8/8/2018 15:20,7,11.08,1.79,16.13,-6.44,,,,
8/8/2018 15:20,7.05,6.49,22.28,12.04,-6.22,,,,
8/8/2018 15:20,7.1,18.58,16.93,31.45,-4.05,,,,
8/8/2018 15:20,7.15,27.02,29.16,41.85,-2.21,,,,
8/8/2018 15:20,7.2,42.03,52.72,40.84,-1.38,,,,
8/8/2018 15:20,7.25,62.58,68.79,43.28,1.27,,,,
8/8/2018 15:20,7.3,67.98,88.07,42.77,16.69,,,,
8/8/2018 15:20,7.35,77.55,100,39.77,8.1,,,,
8/8/2018 15:20,7.4,74.07,100,31.69,6.5,,,,
8/8/2018 15:20,7.45,66.31,100,28.85,34.99,,,,
8/8/2018 15:20,7.5,69.45,100,22.79,42.99,,,,
8/8/2018 15:20,7.55,74.43,100,14.08,15.11,,,,
8/8/2018 15:20,7.6,77.21,100,13.84,39.55,,,,
8/8/2018 15:20,7.65,79.57,100,9.58,38.94,,,,
8/8/2018 15:20,7.7,79.36,100,4.66,31.05,,,,
8/8/2018 15:20,7.75,80.21,100,4.76,34.7,,,,
8/8/2018 15:20,7.8,80.64,100,3.59,18.62,,,,
8/8/2018 15:20,7.85,84.16,100,8.62,21.76,,,,
8/8/2018 15:20,7.9,87.33,65.78,13.35,9.63,,,,
8/8/2018 15:20,7.95,56.68,21.82,25.24,18.32,,,,
8/8/2018 15:20,8,45.65,7.1,25.81,7.88,,,,
8/8/2018 15:20,8.05,13.18,-6.39,6.91,25.32,,,,
8/8/2018 15:20,8.1,-1.35,-7.85,-0.74,17.31,,,,
8/8/2018 15:20,8.15,-2.88,-7.38,-1.47,3.11,,,,
8/8/2018 15:20,8.2,-3.58,-6.59,-2.24,-6.04,,,,
8/8/2018 15:20,8.25,-3.15,-6.1,-1.74,-7.36,,,,
8/8/2018 15:20,8.3,-3.03,-5.98,-1.91,-7.3,,,,
8/8/2018 15:20,8.35,-3.4,-6.32,-1.65,-7.37,,,,
8/8/2018 15:20,8.4,-3.28,-6.55,-1.39,-7.49,,,,
8/8/2018 15:20,8.45,-3.03,-6.63,-1.23,-7.4,,,,
8/8/2018 15:20,8.5,-3.18,-6.96,-1.27,-7.52,,,,
8/8/2018 15:20,8.55,-3.35,-7.28,-1.09,-7.6,,,,
8/8/2018 15:20,8.6,-3.27,-6.94,-0.94,-7.43,,,,
8/8/2018 15:20,8.65,-3.14,-6.98,-0.67,-7.33,,,,
8/8/2018 15:20,8.7,-3.18,-6.99,-0.55,-7.37,,,,
8/8/2018 15:20,8.75,-3.21,-6.94,-0.66,-7.43,,,,
8/8/2018 15:20,8.8,-3.33,-7,-0.82,-7.41,,,,
8/8/2018 15:20,8.85,-3.16,-7.16,-1.05,-7.47,,,,
8/8/2018 15:20,8.9,-3.03,-6.89,-1.79,-7.78,,,,
8/8/2018 15:20,8.95,-2.94,-6.85,-0.7,-7.31,,,,
8/8/2018 15:20,9,1.68,-1.87,-0.8,-6.82,,,,
8/8/2018 15:20,9.05,-0.09,-4.96,12.97,-5.47,,,,
8/8/2018 15:20,9.1,0.78,-0.46,10.87,-5.91,,,,
8/8/2018 15:20,9.15,2.19,6.59,10.36,-6.65,,,,
8/8/2018 15:20,9.2,6.43,4.07,19.48,-5.59,,,,
8/8/2018 15:20,9.25,10.97,6.3,24.72,-4.57,,,,
8/8/2018 15:20,9.3,14.7,13.4,28.81,-4.14,,,,
8/8/2018 15:20,9.35,24.59,17.77,38.45,-2.96,,,,
8/8/2018 15:20,9.4,37.32,27.55,41.51,-1.66,,,,
8/8/2018 15:20,9.45,53.79,41.32,43.17,1.3,,,,
8/8/2018 15:20,9.5,60.42,60.39,46.22,11.36,,,,
8/8/2018 15:20,9.55,63.64,84.81,43.39,9.28,,,,
8/8/2018 15:20,9.6,70.73,100,42.99,19.26,,,,
8/8/2018 15:20,9.65,79.05,100,43.51,34.22,,,,
8/8/2018 15:20,9.7,80.56,100,40.52,36.96,,,,
8/8/2018 15:20,9.75,81.9,100,34.83,36.59,,,,
8/8/2018 15:20,9.8,83.49,100,26.82,34.7,,,,
8/8/2018 15:20,9.85,85.94,100,23.37,47.92,,,,
8/8/2018 15:20,9.9,86.24,100,22.94,45.47,,,,
8/8/2018 15:20,9.95,86.96,100,21.17,39.78,,,,
8/8/2018 15:20,10,86.96,100,20.87,42.84,,,,
8/8/2018 15:20,10.05,87.21,100,20.15,36.96,,,,
8/8/2018 15:20,10.1,87.24,100,21.07,27.85,,,,
8/8/2018 15:20,10.15,90.62,100,21.03,18.95,,,,
8/8/2018 15:20,10.2,92.37,100,24.87,10.69,,,,
8/8/2018 15:20,10.25,68.02,76.17,26.53,7.31,,,,
8/8/2018 15:20,10.3,50.86,59.13,28.49,2.91,,,,
8/8/2018 15:20,10.35,38.27,45.97,28.78,0.77,,,,
8/8/2018 15:20,10.4,28.8,39.91,27.57,-0.9,,,,
8/8/2018 15:20,10.45,22.02,34.88,27.26,-2.67,,,,
8/8/2018 15:20,10.5,16.09,26.34,28.72,-0.02,,,,
8/8/2018 15:20,10.55,15.77,21.75,28.38,0.48,,,,
8/8/2018 15:20,10.6,13.65,11.76,30.23,5.42,,,,
8/8/2018 15:20,10.65,12.16,8.85,30.44,5.8,,,,
8/8/2018 15:20,10.7,10.77,4.74,29.31,6.32,,,,
8/8/2018 15:20,10.75,8.07,-0.74,27.41,5.34,,,,
8/8/2018 15:20,10.8,0.22,-4.72,18.78,4.09,,,,
8/8/2018 15:20,10.85,-3.64,-6.14,8.09,0.37,,,,
8/8/2018 15:20,10.9,-3.37,-6.06,5.64,-4,,,,
8/8/2018 15:20,10.95,-2.98,-6.12,5.14,-6.56,,,,
8/8/2018 15:20,11,-3.04,-6.95,0.73,-7.34,,,,
8/8/2018 15:20,11.05,-3.23,-7.19,-1.13,-7.54,,,,
8/8/2018 15:20,11.1,-3.29,-6.94,-1.22,-7.41,,,,
8/8/2018 15:20,11.15,-3.26,-6.72,-1.17,-7.27,,,,
8/8/2018 15:20,11.2,-3.33,-6.77,-1.13,-7.27,,,,
8/8/2018 15:20,11.25,-3.31,-6.68,-0.9,-7.38,,,,
8/8/2018 15:20,11.3,-3.31,-6.83,-0.88,-7.59,,,,
8/8/2018 15:20,11.35,-3.44,-7.27,-1.04,-7.6,,,,
8/8/2018 15:20,11.4,-3.46,-7.36,-1.14,-7.46,,,,
