Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/15/2018 11:41,0,-1.3,-0.15,2.46,0.65,,,,
8/15/2018 11:41,0.05,-1.58,-0.17,2.98,0.66,,,,
8/15/2018 11:41,0.1,-0.78,-0.2,3.12,0.18,,,,
8/15/2018 11:41,0.15,-0.96,-0.16,4.34,0.37,,,,
8/15/2018 11:41,0.2,-0.82,-0.14,4.45,0.83,,,,
8/15/2018 11:41,0.25,0,-0.04,3.31,1.41,,,,
8/15/2018 11:41,0.3,0.88,-0.03,1.68,1.94,,,,
8/15/2018 11:41,0.35,1.57,-0.01,1.5,1.59,,,,
8/15/2018 11:41,0.4,2.11,0.06,0.87,2.35,,,,
8/15/2018 11:41,0.45,2.37,0.07,0.74,2.68,,,,
8/15/2018 11:41,0.5,2.32,0.09,1.35,2.39,,,,
8/15/2018 11:41,0.55,2.37,0.12,0.9,2.47,,,,
8/15/2018 11:41,0.6,1.97,0.09,0.33,2.92,,,,
8/15/2018 11:41,0.65,1.39,0.04,1.42,1.84,,,,
8/15/2018 11:41,0.7,1.47,0.04,0.46,1.88,,,,
8/15/2018 11:41,0.75,1.52,0.02,0.67,1.33,,,,
8/15/2018 11:41,0.8,0.4,0,1.47,1.14,,,,
8/15/2018 11:41,0.85,-0.54,-0.06,1.81,0.57,,,,
8/15/2018 11:41,0.9,-0.24,-0.06,0.71,0.47,,,,
8/15/2018 11:41,0.95,0.23,-0.04,-0.75,1.03,,,,
8/15/2018 11:41,1,0.76,-0.03,-0.93,0.62,,,,
8/15/2018 11:41,1.05,0.53,-0.04,-1.71,1.06,,,,
8/15/2018 11:41,1.1,3.05E-05,-0.15,-1.14,-0.2,,,,
8/15/2018 11:41,1.15,-0.06,-0.25,-1.88,-1.07,,,,
8/15/2018 11:41,1.2,-0.86,-0.33,-1.73,-1.87,,,,
8/15/2018 11:41,1.25,-1.36,-0.44,-2.44,-2.53,,,,
8/15/2018 11:41,1.3,-2.14,-0.56,-3.1,-3.19,,,,
8/15/2018 11:41,1.35,-2.78,-0.69,-3.58,-3.85,,,,
8/15/2018 11:41,1.4,-2.87,-0.79,-3.87,-5.1,,,,
