Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 13:41,0,-13.5,-76.17,-10.2,-7.29
9/17/2018 13:41,0.05,-23.04,-15.92,-19.47,-5.2
9/17/2018 13:41,0.1,-25.7,-22.62,-37.63,-13.46
9/17/2018 13:41,0.15,-26.92,-29.03,-47.05,-15.7
9/17/2018 13:41,0.2,-27.12,-29.44,-47.55,-17.42
9/17/2018 13:41,0.25,-26.41,-28.95,-47.55,-17.61
9/17/2018 13:41,0.3,-25.63,-28.84,-47.56,-17.24
9/17/2018 13:41,0.35,-25.65,-28.81,-47.66,-17.21
9/17/2018 13:41,0.4,-26.04,-28.75,-47.57,-17.12
9/17/2018 13:41,0.45,-26.67,-28.53,-47.14,-17.21
9/17/2018 13:41,0.5,-26.85,-28.51,-47.05,-17.2
9/17/2018 13:41,0.55,-26.6,-28.85,-47,-17.24
9/17/2018 13:41,0.6,-26.38,-29.02,-46.72,-17.05
9/17/2018 13:41,0.65,-26.31,-28.96,-46.6,-17.04
9/17/2018 13:41,0.7,-26.68,-28.63,-46.54,-16.93
9/17/2018 13:41,0.75,-26.66,-28.69,-46.6,-16.75
9/17/2018 13:41,0.8,-26.56,-28.8,-46.65,-16.84
9/17/2018 13:41,0.85,-26.88,-28.91,-46.81,-17.08
9/17/2018 13:41,0.9,-26.91,-29.05,-47.33,-17.43
9/17/2018 13:41,0.95,-26.7,-28.72,-47.17,-17.62
9/17/2018 13:41,1,-26.79,-14.29,-47.15,-17.51
9/17/2018 13:41,1.05,-26.44,-28.16,-47.99,-17.7
9/17/2018 13:41,1.1,-26.28,-28.36,-47.75,-17.25
9/17/2018 13:41,1.15,-26.02,-28.9,-47.37,-17.46
9/17/2018 13:41,1.2,-26.22,-28.9,-47.59,-17.3
9/17/2018 13:41,1.25,-26.22,-28.39,-47.36,-17.29
9/17/2018 13:41,1.3,-26.37,-27.66,-47.01,-17.06
9/17/2018 13:41,1.35,-26.5,-27.7,-47.14,-17.19
9/17/2018 13:41,1.4,-26.63,-28.53,-46.95,-17.21
9/17/2018 13:41,1.45,-25.99,-9.2,-46.95,-19.73
9/17/2018 13:41,1.5,-26.33,-23.72,-47.8,-16.74
9/17/2018 13:41,1.55,-26.03,-21.52,-48.42,-16.4
9/17/2018 13:41,1.6,-23.66,-7.78,-49.53,-14.02
9/17/2018 13:41,1.65,-28.68,-24.01,-45.71,14.7
9/17/2018 13:41,1.7,8.74,-11.57,-27.4,-9.81
9/17/2018 13:41,1.75,-9.86,9.28,20.34,22.71
9/17/2018 13:41,1.8,-7.18,21.36,13.3,47.47
9/17/2018 13:41,1.85,-9.12,28.27,34.77,84.23
9/17/2018 13:41,1.9,-7.01,43.56,47.48,65.54
9/17/2018 13:41,1.95,-10.1,27.76,18.94,55.24
9/17/2018 13:41,2,-22.78,-12.77,-27.67,23.9
9/17/2018 13:41,2.05,-27.71,-29.99,-47.86,-14.31
9/17/2018 13:41,2.1,-24.69,-30.25,-48.2,-14.31
9/17/2018 13:41,2.15,-24.23,-28.9,-48.9,-11.48
9/17/2018 13:41,2.2,-24.19,-28.61,-48.57,-10.38
9/17/2018 13:41,2.25,-24.94,-29.39,-47.86,-14.21
9/17/2018 13:41,2.3,-25.66,-30.53,-48.95,-15.34
9/17/2018 13:41,2.35,-25.22,-30.81,-48.55,-15.93
9/17/2018 13:41,2.4,-25.09,-30.84,-48.27,-15.16
9/17/2018 13:41,2.45,-24.96,-30.46,-48.02,-14.9
9/17/2018 13:41,2.5,-25.04,-30.22,-47.98,-14.83
9/17/2018 13:41,2.55,-25.19,-30.06,-47.86,-14.84
9/17/2018 13:41,2.6,-25.47,-30.14,-47.86,-15
9/17/2018 13:41,2.65,-24.94,-30.05,-47.89,-14.22
9/17/2018 13:41,2.7,-24.92,-23.03,-48.64,-16.17
9/17/2018 13:41,2.75,-23.88,-15.93,-49.51,-15.08
9/17/2018 13:41,2.8,-22.9,-29.47,-23.65,-15.23
