Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/13/2018 11:07,0,-13.03,-2.33,-19.36,-8.45,,,,
8/13/2018 11:07,0.05,-12.97,-2.31,-19.31,-8.47,,,,
8/13/2018 11:07,0.1,-12.97,-2.28,-19.27,-8.51,,,,
8/13/2018 11:07,0.15,-12.88,-2.24,-19.22,-8.46,,,,
8/13/2018 11:07,0.2,-12.81,-2.28,-19.29,-8.44,,,,
8/13/2018 11:07,0.25,-12.8,-2.41,-19.4,-8.48,,,,
8/13/2018 11:07,0.3,-12.16,3.06,-3.52,-0.25,,,,
8/13/2018 11:07,0.35,-12.34,-1.59,-12.7,-4.72,,,,
8/13/2018 11:07,0.4,-11.31,-1.08,-7.22,-3.79,,,,
8/13/2018 11:07,0.45,-11.03,-0.59,-2.71,-0.04,,,,
8/13/2018 11:07,0.5,-9.09,9.22,-3.68,-6.35,,,,
8/13/2018 11:07,0.55,0.2,3.82,-4.58,-6.66,,,,
8/13/2018 11:07,0.6,-8.55,7.37,4.59,-5.17,,,,
8/13/2018 11:07,0.65,-8.74,13.83,5.05,-3.59,,,,
8/13/2018 11:07,0.7,-3.62,17.43,8.01,-4.58,,,,
8/13/2018 11:07,0.75,-1.99,21.6,9.98,-4.42,,,,
8/13/2018 11:07,0.8,-4.79,26.54,13.3,-2.98,,,,
8/13/2018 11:07,0.85,-3.97,28.81,14.12,-2.4,,,,
8/13/2018 11:07,0.9,-2.5,30.47,14.67,-2.16,,,,
8/13/2018 11:07,0.95,-2.41,32.04,17.12,-1.39,,,,
8/13/2018 11:07,1,-2.16,33.12,18.36,-1.1,,,,
8/13/2018 11:07,1.05,-1.46,33.73,18.83,-0.92,,,,
8/13/2018 11:07,1.1,-1.76,34.54,18.98,-0.31,,,,
8/13/2018 11:07,1.15,-2.25,34.91,17.38,0.02,,,,
8/13/2018 11:07,1.2,-1.71,34.32,14.79,-1.1,,,,
8/13/2018 11:07,1.25,-1.29,33.79,12.68,-2.26,,,,
8/13/2018 11:07,1.3,-2.77,33.7,9.66,-2.53,,,,
8/13/2018 11:07,1.35,-3.38,32.24,8.72,-2.87,,,,
8/13/2018 11:07,1.4,-3.75,31.35,7.07,-3.06,,,,
8/13/2018 11:07,1.45,-4.69,31.16,6.52,-2.71,,,,
8/13/2018 11:07,1.5,-4.51,29.68,7.24,-3.27,,,,
8/13/2018 11:07,1.55,-2.74,27.36,7.04,-4.06,,,,
8/13/2018 11:07,1.6,-2.42,27.67,7.32,-3.78,,,,
8/13/2018 11:07,1.65,-3.78,28.65,7.34,-3.21,,,,
8/13/2018 11:07,1.7,-3.86,28.36,5.93,-3.84,,,,
8/13/2018 11:07,1.75,-4.44,27.81,4.35,-3.84,,,,
8/13/2018 11:07,1.8,-5.97,27.95,3.77,-2.97,,,,
8/13/2018 11:07,1.85,-6.69,28.81,3.61,-2.33,,,,
8/13/2018 11:07,1.9,-6.78,29.1,2.98,-2.28,,,,
8/13/2018 11:07,1.95,-6.81,28.44,2.24,-2.59,,,,
8/13/2018 11:07,2,-6.6,26.24,0.29,-3.84,,,,
8/13/2018 11:07,2.05,-6.47,23.24,-0.82,-4.52,,,,
8/13/2018 11:07,2.1,-6.98,19.29,-0.02,-4.85,,,,
8/13/2018 11:07,2.15,-6.94,17.65,0.18,-4.9,,,,
8/13/2018 11:07,2.2,-7.26,16.09,0.38,-4.92,,,,
8/13/2018 11:07,2.25,-6.03,13.45,1.49,-5.25,,,,
8/13/2018 11:07,2.3,-5.12,11.6,2.56,-5.38,,,,
8/13/2018 11:07,2.35,-5.82,11.49,1.82,-5.4,,,,
8/13/2018 11:07,2.4,-7.02,10.23,1.38,-5.68,,,,
8/13/2018 11:07,2.45,-8.35,8.21,-0.56,-6.02,,,,
8/13/2018 11:07,2.5,-9.98,6.49,-3.46,-6.18,,,,
8/13/2018 11:07,2.55,-10.5,5.2,-5.06,-6.25,,,,
8/13/2018 11:07,2.6,-10.9,3.31,-6.98,-6.6,,,,
8/13/2018 11:07,2.65,-11.8,1.84,-10.09,-6.82,,,,
8/13/2018 11:07,2.7,-12.17,0.19,-12.03,-6.74,,,,
8/13/2018 11:07,2.75,-12.37,-1.82,-14.55,-7.55,,,,
8/13/2018 11:07,2.8,-12.34,-1.85,-13.85,-7.9,,,,
8/13/2018 11:07,2.85,-12.67,-2.01,-16.51,-8.31,,,,
8/13/2018 11:07,2.9,-12.91,-2.12,-18.67,-8.5,,,,
8/13/2018 11:07,2.95,-12.8,-1.93,-18.7,-8.58,,,,
8/13/2018 11:07,3,-12.78,-1.81,-18.44,-8.62,,,,
8/13/2018 11:07,3.05,-12.82,-1.95,-19.32,-8.66,,,,
8/13/2018 11:07,3.1,-12.83,-2.17,-19.75,-8.76,,,,
8/13/2018 11:07,3.15,-12.86,-2.3,-19.76,-8.69,,,,
8/13/2018 11:07,3.2,-12.79,-2.33,-19.68,-8.53,,,,
8/13/2018 11:07,3.25,-12.7,-2.41,-19.67,-8.4,,,,
8/13/2018 11:07,3.3,-12.72,-2.41,-19.67,-8.39,,,,
8/13/2018 11:07,3.35,-12.7,-2.41,-19.59,-8.33,,,,
8/13/2018 11:07,3.4,-12.76,-2.37,-19.64,-8.41,,,,
8/13/2018 11:07,3.45,-12.75,-2.27,-19.5,-8.35,,,,
8/13/2018 11:07,3.5,-12.82,-2.41,-19.37,-8.34,,,,
8/13/2018 11:07,3.55,-12.94,-2.46,-19.41,-8.39,,,,
8/13/2018 11:07,3.6,-12.87,-2.45,-19.47,-8.38,,,,
8/13/2018 11:07,3.65,-12.9,-2.37,-19.37,-8.42,,,,
8/13/2018 11:07,3.7,-12.77,-2.35,-19.41,-8.4,,,,
8/13/2018 11:07,3.75,-11.96,-2.28,-19.53,-8.35,,,,
8/13/2018 11:07,3.8,-10.2,-0.45,-19.22,-8.44,,,,
8/13/2018 11:07,3.85,-9.7,1.77,-19.37,-8.59,,,,
8/13/2018 11:07,3.9,-7.8,4.05,-19.28,-8.46,,,,
8/13/2018 11:07,3.95,-4.8,9.08,-10.83,-4.3,,,,
8/13/2018 11:07,4,-9.72,5.67,-7.95,10.45,,,,
8/13/2018 11:07,4.05,-2.23,18.58,-6.8,-0.36,,,,
8/13/2018 11:07,4.1,-0.19,23.69,-1.76,-0.72,,,,
8/13/2018 11:07,4.15,-2.71,24.45,3.11,11.24,,,,
8/13/2018 11:07,4.2,-0.32,27.39,5.78,11.41,,,,
8/13/2018 11:07,4.25,1.76,29.14,6.56,10.32,,,,
8/13/2018 11:07,4.3,1.74,28.99,7.65,11.44,,,,
8/13/2018 11:07,4.35,2.64,29.05,6.46,10.14,,,,
8/13/2018 11:07,4.4,2.53,26.78,6.5,7.16,,,,
8/13/2018 11:07,4.45,1.57,24.76,5.99,5.43,,,,
8/13/2018 11:07,4.5,0.21,23.31,5.59,5.55,,,,
8/13/2018 11:07,4.55,-0.77,20.83,4.78,2.57,,,,
8/13/2018 11:07,4.6,-2.11,18.84,1.34,0.55,,,,
8/13/2018 11:07,4.65,-3.87,16.13,-0.6,-0.14,,,,
8/13/2018 11:07,4.7,-5.17,12.74,-1.24,-0.9,,,,
8/13/2018 11:07,4.75,-6.17,10.94,-3.52,-0.69,,,,
8/13/2018 11:07,4.8,-7.38,8.76,-4.4,-1.23,,,,
8/13/2018 11:07,4.85,-7.97,7.62,-6.23,-1.24,,,,
8/13/2018 11:07,4.9,-8.87,5.72,-8.01,-0.95,,,,
8/13/2018 11:07,4.95,-10.03,3.42,-11.4,1.1,,,,
8/13/2018 11:07,5,-11.16,1.12,-14.49,-0.15,,,,
8/13/2018 11:07,5.05,-11.84,-0.12,-17.18,-1.5,,,,
8/13/2018 11:07,5.1,-12.63,-1.54,-19.41,-2.34,,,,
8/13/2018 11:07,5.15,-12.79,-2.07,-20,-3.82,,,,
8/13/2018 11:07,5.2,-12.66,-2.1,-20.06,-4.3,,,,
8/13/2018 11:07,5.25,-12.55,-2.13,-20.14,-5.18,,,,
8/13/2018 11:07,5.3,-12.45,-2.09,-20.15,-5.28,,,,
8/13/2018 11:07,5.35,-12.38,-2.12,-20.29,-5.71,,,,
8/13/2018 11:07,5.4,-12.3,-2.07,-20.28,-5.84,,,,
8/13/2018 11:07,5.45,-12.25,-1.97,-20.24,-4.7,,,,
8/13/2018 11:07,5.5,-12.18,-1.84,-20.33,-4.5,,,,
8/13/2018 11:07,5.55,-12.14,-1.8,-20.34,-4.57,,,,
8/13/2018 11:07,5.6,-12.17,-1.82,-20.49,-5.04,,,,
8/13/2018 11:07,5.65,-12.4,-2.15,-20.44,-6.89,,,,
8/13/2018 11:07,5.7,-12.61,-2.51,-20.22,-8,,,,
8/13/2018 11:07,5.75,-12.71,-2.64,-20.09,-8.08,,,,
8/13/2018 11:07,5.8,-12.68,-2.54,-20,-7.97,,,,
8/13/2018 11:07,5.85,-12.65,-2.56,-19.97,-7.97,,,,
8/13/2018 11:07,5.9,-12.65,-2.55,-19.8,-7.92,,,,
8/13/2018 11:07,5.95,-12.75,-2.48,-19.62,-7.9,,,,
8/13/2018 11:07,6,-13,-2.52,-19.55,-8.03,,,,
8/13/2018 11:07,6.05,-13.05,-2.52,-19.58,-8.07,,,,
8/13/2018 11:07,6.1,-13.02,-2.45,-19.54,-8.01,,,,
8/13/2018 11:07,6.15,-13.05,-2.36,-19.46,-8.11,,,,
8/13/2018 11:07,6.2,-12.89,-2.42,-19.51,-8.12,,,,
8/13/2018 11:07,6.25,-12.91,-2.48,-19.62,-8.06,,,,
8/13/2018 11:07,6.3,-12.93,-2.58,-19.61,-8.07,,,,
