Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/10/2018 22:28,0,-0.76,-9.49,-1.56,6.65
8/10/2018 22:28,0.05,-1.14,-12.09,-4.01,7.34
8/10/2018 22:28,0.1,-1.37,-14.27,-7.36,8.64
8/10/2018 22:28,0.15,-1.44,-14.28,-8.68,8.35
8/10/2018 22:28,0.2,-1.41,-14.3,-9.01,7.72
8/10/2018 22:28,0.25,-1.28,-14.39,-9.32,6.41
8/10/2018 22:28,0.3,-1.1,-14.55,-9.42,5.87
8/10/2018 22:28,0.35,-0.96,-14.67,-9.45,4.68
8/10/2018 22:28,0.4,-0.83,-14.63,-9.48,4.62
8/10/2018 22:28,0.45,-0.77,-14.75,-9.43,4.41
8/10/2018 22:28,0.5,-0.61,-14.65,-9.55,4.65
8/10/2018 22:28,0.55,-0.64,-14.71,-9.6,3.93
8/10/2018 22:28,0.6,-0.69,-14.83,-9.73,2.82
8/10/2018 22:28,0.65,-1.25,-14.86,-10.45,-1
8/10/2018 22:28,0.7,-1.41,-14.48,-9.75,-0.9
8/10/2018 22:28,0.75,-1.28,-15.04,-9.59,-1.54
8/10/2018 22:28,0.8,-1.1,-15.31,-9.63,-1.71
8/10/2018 22:28,0.85,-1.03,-15.27,-9.6,-1.7
8/10/2018 22:28,0.9,-1.08,-15.2,-9.7,-1.63
8/10/2018 22:28,0.95,-1.06,-15.18,-9.66,-1.67
8/10/2018 22:28,1,-1.11,-15.14,-9.62,-1.72
8/10/2018 22:28,1.05,-1.14,-15.11,-9.53,-1.72
8/10/2018 22:28,1.1,-1.09,-15.12,-9.53,-1.68
8/10/2018 22:28,1.15,-1.1,-15.14,-9.61,-1.59
8/10/2018 22:28,1.2,-1.15,-15.18,-9.57,-1.58
8/10/2018 22:28,1.25,-1.14,-15.21,-9.46,-1.51
8/10/2018 22:28,1.3,-1.21,-15.22,-9.51,-1.5
8/10/2018 22:28,1.35,-1.21,-15.31,-9.49,-1.44
8/10/2018 22:28,1.4,-1.26,-15.36,-9.55,-1.5
8/10/2018 22:28,1.45,-1.17,-15.4,-9.58,-1.46
8/10/2018 22:28,1.5,-1.18,-15.37,-9.6,-1.46
8/10/2018 22:28,1.55,-1.14,-15.37,-9.59,-1.42
