Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/13/2018 11:37,0,-14.69,-19.28,-21.74,-2.47,,,,
8/13/2018 11:37,0.05,-14.62,-19.32,-21.74,-2.43,,,,
8/13/2018 11:37,0.1,-14.66,-19.45,-21.67,-2.33,,,,
8/13/2018 11:37,0.15,-14.71,-19.47,-21.54,-2.25,,,,
8/13/2018 11:37,0.2,-14.69,-19.57,-21.5,-2.19,,,,
8/13/2018 11:37,0.25,-14.76,-19.45,-21.47,-2.24,,,,
8/13/2018 11:37,0.3,-14.75,-19.47,-21.46,-2.24,,,,
8/13/2018 11:37,0.35,-14.83,-19.38,-21.43,-2.27,,,,
8/13/2018 11:37,0.4,-14.79,-19.5,-21.45,-2.23,,,,
8/13/2018 11:37,0.45,-14.88,-19.49,-21.45,-2.31,,,,
8/13/2018 11:37,0.5,-14.79,-19.5,-21.44,-2.23,,,,
8/13/2018 11:37,0.55,-14.83,-19.48,-21.36,-2.34,,,,
8/13/2018 11:37,0.6,-14.82,-19.45,-21.37,-2.27,,,,
8/13/2018 11:37,0.65,-14.89,-19.49,-21.4,-2.27,,,,
8/13/2018 11:37,0.7,-14.92,-19.34,-21.33,-2.31,,,,
8/13/2018 11:37,0.75,-14.84,-19.59,-21.41,-2.28,,,,
8/13/2018 11:37,0.8,-13.12,-19.49,-21.24,-2.29,,,,
8/13/2018 11:37,0.85,-12.42,-19.33,-21.01,-2.65,,,,
8/13/2018 11:37,0.9,-11.36,-18.25,-21.32,-2.49,,,,
8/13/2018 11:37,0.95,-11.04,-16.77,-21.25,-2.26,,,,
8/13/2018 11:37,1,-10.39,-17.06,-21.29,-2.26,,,,
8/13/2018 11:37,1.05,-13.63,-15.92,-10.83,-2.44,,,,
8/13/2018 11:37,1.1,-10.26,-13.41,-13.79,-0.53,,,,
8/13/2018 11:37,1.15,-10.79,-10.27,-9.13,-0.24,,,,
