Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/13/2018 11:43,0,12.63,-9.82,15.46,-15.68
8/13/2018 11:43,0.05,13.62,-13.56,18.8,-15.85
8/13/2018 11:43,0.1,16.16,-16.69,20.13,-16.24
8/13/2018 11:43,0.15,22.2,-18.52,19.86,-17.01
8/13/2018 11:43,0.2,25.9,-19.9,29.13,-17.15
8/13/2018 11:43,0.25,27.39,-16.23,37.5,-16.48
8/13/2018 11:43,0.3,29.3,-15.71,35.8,-16.57
8/13/2018 11:43,0.35,30.71,-19.73,32.39,-17.13
8/13/2018 11:43,0.4,28.35,-19.17,33.38,-16.98
8/13/2018 11:43,0.45,22.19,-15.43,33.62,-16.44
8/13/2018 11:43,0.5,21.56,-14.52,29.03,-16.52
8/13/2018 11:43,0.55,22.54,-17.02,25.6,-17.03
8/13/2018 11:43,0.6,23.85,-19.74,26.58,-17.43
8/13/2018 11:43,0.65,23.63,-23.57,25.56,-17.98
8/13/2018 11:43,0.7,23.53,-29.62,19.51,-18.9
8/13/2018 11:43,0.75,16.77,-36.23,8.56,-19.79
8/13/2018 11:43,0.8,2.54,-39.38,-5.4,-20.55
8/13/2018 11:43,0.85,-6.27,-40.01,-11.61,-20.68
8/13/2018 11:43,0.9,-7.21,-39.92,-21.73,-21.5
8/13/2018 11:43,0.95,-7.09,-39.62,-21.98,-21.7
8/13/2018 11:43,1,-6.87,-39.31,-22.01,-21.99
8/13/2018 11:43,1.05,-6.93,-38.95,-21.54,-22.13
8/13/2018 11:43,1.1,-7.29,-39.23,-21.55,-22.04
8/13/2018 11:43,1.15,-7.23,-39.39,-21.52,-21.96
8/13/2018 11:43,1.2,-7.06,-39.64,-21.5,-21.7
8/13/2018 11:43,1.25,-6.99,-39.67,-21.21,-21.42
8/13/2018 11:43,1.3,-7.01,-39.6,-21.18,-21.33
8/13/2018 11:43,1.35,-7.13,-39.58,-21.43,-21.24
8/13/2018 11:43,1.4,-7.36,-39.56,-21.42,-21.34
8/13/2018 11:43,1.45,-7.51,-39.8,-21.46,-21.56
8/13/2018 11:43,1.5,-7.45,-39.53,-21.36,-21.42
8/13/2018 11:43,1.55,-7.32,-39.59,-21.18,-21.31
8/13/2018 11:43,1.6,-7.27,-39.64,-21.09,-21.18
8/13/2018 11:43,1.65,-7.21,-36.24,-20.63,-21.21
8/13/2018 11:43,1.7,-1.33,-32.35,-21.13,-21.61
8/13/2018 11:43,1.75,-0.64,-31.47,-20.87,-21.59
8/13/2018 11:43,1.8,1.11,-27.07,-21.01,-21.59
8/13/2018 11:43,1.85,3.58,-21.78,-20.75,-21.38
8/13/2018 11:43,1.9,6.41,-18.81,-20.62,-21.52
8/13/2018 11:43,1.95,1.81,-16.59,-6.4,-23.73
8/13/2018 11:43,2,-3.52,-7.04,-6.31,-6.42
8/13/2018 11:43,2.05,-2.73,5.27,2.29,-8.93
8/13/2018 11:43,2.1,-1.93,10.51,7.68,-2.16
8/13/2018 11:43,2.15,-3.47,5.68,-2.03,21.63
8/13/2018 11:43,2.2,-3.57,5.38,-7.6,29.41
8/13/2018 11:43,2.25,-3.02,12.88,-5.06,23.52
8/13/2018 11:43,2.3,-3.04,11.22,-4.51,25.65
8/13/2018 11:43,2.35,-3.1,8.01,-1.14,27.56
8/13/2018 11:43,2.4,-2.57,11.16,4.53,18.07
8/13/2018 11:43,2.45,-2.1,10.47,9.59,16.31
8/13/2018 11:43,2.5,-2.23,7.28,12.74,18.06
8/13/2018 11:43,2.55,-2.06,5.93,16.16,11.11
8/13/2018 11:43,2.6,-0.39,10.37,20.3,2.8
8/13/2018 11:43,2.65,-0.57,7.33,21.99,1.77
8/13/2018 11:43,2.7,1.14,7.13,21.28,-2.86
8/13/2018 11:43,2.75,1.76,7.92,25.78,-4.16
8/13/2018 11:43,2.8,7.04,9.66,30.25,-7.9
8/13/2018 11:43,2.85,10.38,10.42,31.82,-11.79
8/13/2018 11:43,2.9,12.21,7.85,34.03,-13
8/13/2018 11:43,2.95,14.24,6.61,36.23,-13.37
8/13/2018 11:43,3,15.61,4.92,41.64,-13.47
8/13/2018 11:43,3.05,19.47,4.31,46,-13.69
8/13/2018 11:43,3.1,26.61,1.45,51.36,-14.38
8/13/2018 11:43,3.15,30.91,-1.9,54.3,-15.28
8/13/2018 11:43,3.2,30.71,-1.2,53.67,-15.44
8/13/2018 11:43,3.25,28.34,-3.73,56.49,-15.28
8/13/2018 11:43,3.3,30.42,-8.45,49.29,-16.01
8/13/2018 11:43,3.35,27.93,-13.86,42.22,-16.89
8/13/2018 11:43,3.4,18.53,-22.4,29.9,-18.07
8/13/2018 11:43,3.45,3.75,-32,10.79,-19.18
8/13/2018 11:43,3.5,-7.21,-40.12,-8.94,-20.7
8/13/2018 11:43,3.55,-7.39,-40.36,-21.48,-21.88
8/13/2018 11:43,3.6,-6.93,-39.57,-21.59,-22.02
8/13/2018 11:43,3.65,-6.74,-39.23,-21.7,-22.04
8/13/2018 11:43,3.7,-6.72,-39.37,-21.69,-21.95
8/13/2018 11:43,3.75,-6.68,-39.37,-21.47,-21.87
8/13/2018 11:43,3.8,-6.85,-39.38,-21.49,-21.87
8/13/2018 11:43,3.85,-6.98,-39.4,-21.47,-21.83
8/13/2018 11:43,3.9,-7.12,-39.58,-21.51,-21.78
8/13/2018 11:43,3.95,-7.11,-39.56,-21.35,-21.61
8/13/2018 11:43,4,-7.11,-39.66,-21.12,-21.55
8/13/2018 11:43,4.05,-7.18,-39.55,-21.21,-21.41
8/13/2018 11:43,4.1,-7.23,-39.82,-21.33,-21.5
8/13/2018 11:43,4.15,-7.21,-39.87,-21.39,-21.44
8/13/2018 11:43,4.2,-7.04,-39.79,-21.26,-21.37
8/13/2018 11:43,4.25,-7.08,-39.85,-21.35,-21.43
8/13/2018 11:43,4.3,-7.02,-39.59,-21.67,-21.36
8/13/2018 11:43,4.35,-6.74,-32.48,-22.72,-19.98
8/13/2018 11:43,4.4,-2.44,-31.74,-22.1,-21.01
8/13/2018 11:43,4.45,-2.56,-30,-22.25,-20.55
8/13/2018 11:43,4.5,0.34,-28.74,-22.11,-20.75
8/13/2018 11:43,4.55,1.96,-28.51,-21.98,-21.02
8/13/2018 11:43,4.6,3.49,-25.84,-21.86,-21.03
8/13/2018 11:43,4.65,4.32,-20.63,-21.69,-20.81
8/13/2018 11:43,4.7,6.02,-16.87,-21.43,-20.57
8/13/2018 11:43,4.75,8.74,-14.59,-21.24,-20.75
8/13/2018 11:43,4.8,10.58,-8.56,-21.02,-20.73
8/13/2018 11:43,4.85,1.25,-10.77,7.65,-12.51
8/13/2018 11:43,4.9,6.15,-0.35,-6.64,-4.41
8/13/2018 11:43,4.95,7.63,2.37,4.42,-7.5
8/13/2018 11:43,5,3.13,-1.83,12.8,3.49
8/13/2018 11:43,5.05,4.26,-0.52,14.5,6.06
8/13/2018 11:43,5.1,6.6,-0.42,15.67,5.22
8/13/2018 11:43,5.15,4.67,-2.41,18.13,9.07
8/13/2018 11:43,5.2,4.78,-2.89,21.09,7.86
8/13/2018 11:43,5.25,5.41,-2.52,20.5,9.89
8/13/2018 11:43,5.3,4.17,-2.69,19.47,13.82
8/13/2018 11:43,5.35,4.61,-1.77,18.1,13.79
8/13/2018 11:43,5.4,5.46,-2.89,19.32,10.55
8/13/2018 11:43,5.45,6.86,-2.93,20.29,4.75
8/13/2018 11:43,5.5,6.67,-5.01,23.7,-0.41
8/13/2018 11:43,5.55,9.73,-4.44,19.96,-3.49
8/13/2018 11:43,5.6,9.63,-6.41,20.37,-6.48
8/13/2018 11:43,5.65,9.27,-7.69,25.56,-7.83
8/13/2018 11:43,5.7,12.5,-6.21,22.95,-9.58
8/13/2018 11:43,5.75,13.02,-6.69,26.06,-11.93
8/13/2018 11:43,5.8,14.3,-6.71,30.23,-10.86
8/13/2018 11:43,5.85,16.48,-7.33,37.39,-12.2
8/13/2018 11:43,5.9,24.73,-9.54,42.25,-14.77
8/13/2018 11:43,5.95,29.28,-13.78,47.12,-15.61
8/13/2018 11:43,6,32.36,-16.33,50.28,-15.99
8/13/2018 11:43,6.05,31.33,-15.37,55.48,-15.66
8/13/2018 11:43,6.1,31.87,-15.21,57.73,-15.51
8/13/2018 11:43,6.15,34,-14.31,54.6,-15.86
8/13/2018 11:43,6.2,35.36,-14.72,54.34,-16.3
8/13/2018 11:43,6.25,33.51,-11.81,55.72,-15.96
8/13/2018 11:43,6.3,29.09,-7.52,54.97,-15.43
8/13/2018 11:43,6.35,25.25,-5.98,52.32,-11.14
8/13/2018 11:43,6.4,23.94,-3.7,51.79,-13.56
8/13/2018 11:43,6.45,20.63,-3.47,49.43,-12.55
8/13/2018 11:43,6.5,16.89,-3.31,42.43,-7.06
8/13/2018 11:43,6.55,12.09,-3.47,33.16,-3.41
8/13/2018 11:43,6.6,4.88,-7.25,22.52,-2.4
8/13/2018 11:43,6.65,-3.6,-18.9,9.86,-8.48
8/13/2018 11:43,6.7,-6.69,-35.99,-6.41,-12.3
8/13/2018 11:43,6.75,-7.49,-40.05,-21.08,-20.43
8/13/2018 11:43,6.8,-7.27,-39.88,-22.08,-21.42
8/13/2018 11:43,6.85,-6.91,-39.39,-21.99,-21.48
8/13/2018 11:43,6.9,-6.88,-39.29,-21.97,-21.45
8/13/2018 11:43,6.95,-6.86,-39.23,-21.91,-21.52
8/13/2018 11:43,7,-6.89,-39.35,-21.87,-21.46
8/13/2018 11:43,7.05,-6.79,-39.57,-21.87,-21.37
8/13/2018 11:43,7.1,-6.85,-39.81,-21.82,-21.39
8/13/2018 11:43,7.15,-6.81,-39.74,-21.8,-21.13
8/13/2018 11:43,7.2,-7.03,-39.75,-21.85,-21.11
8/13/2018 11:43,7.25,-7.2,-39.81,-21.76,-21.18
8/13/2018 11:43,7.3,-7.25,-39.78,-21.64,-21.12
8/13/2018 11:43,7.35,-7.34,-39.78,-21.63,-21.15
8/13/2018 11:43,7.4,-7.31,-39.7,-21.53,-20.99
8/13/2018 11:43,7.45,-7.31,-39.81,-21.55,-21.01
8/13/2018 11:43,7.5,-4.66,-39.34,-20.66,-20.94
8/13/2018 11:43,7.55,-5.33,-36.11,-22.13,-21.2
8/13/2018 11:43,7.6,-3.4,-35.14,-21.59,-20.95
8/13/2018 11:43,7.65,-2.6,-29.96,-21.66,-20.91
8/13/2018 11:43,7.7,0.71,-30.2,-21.52,-21.08
8/13/2018 11:43,7.75,3.7,-28.7,-21.36,-21.31
8/13/2018 11:43,7.8,5.83,-25.01,-21.14,-21.3
8/13/2018 11:43,7.85,2.69,-24.95,-15.41,-19.28
8/13/2018 11:43,7.9,1.65,-23.36,-3.77,-1.24
8/13/2018 11:43,7.95,9.78,-14.76,-9.35,-6.7
8/13/2018 11:43,8,7.24,-15.1,-5.79,0.54
8/13/2018 11:43,8.05,5.35,-15.63,-3.16,6.31
8/13/2018 11:43,8.1,8.24,-12.43,-3.54,5.37
8/13/2018 11:43,8.15,9.51,-11.25,-1.38,6.81
8/13/2018 11:43,8.2,9.11,-12.49,3,10.38
8/13/2018 11:43,8.25,10.14,-11.95,6.12,11.35
8/13/2018 11:43,8.3,10.56,-10.83,6.58,12.44
8/13/2018 11:43,8.35,10.64,-9.9,3.54,12.79
8/13/2018 11:43,8.4,9.62,-9.35,3.09,13.1
8/13/2018 11:43,8.45,9.89,-7.04,-1.08,16.71
8/13/2018 11:43,8.5,8.54,-6.43,-3.75,19.8
8/13/2018 11:43,8.55,7.13,-4.66,-4.76,22.86
8/13/2018 11:43,8.6,7.12,-1.09,-8.02,23.61
8/13/2018 11:43,8.65,6.73,0.83,-9.64,24.04
8/13/2018 11:43,8.7,6.11,1.28,-10.63,21.59
8/13/2018 11:43,8.75,6.44,1.67,-7.95,17.2
8/13/2018 11:43,8.8,6.59,1.61,-7.23,17.74
