Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/11/2018 14:34,0,49.76,6.4,35.21,100,,,,
8/11/2018 14:34,0.05,52.59,11.4,34.5,100,,,,
8/11/2018 14:34,0.1,52.04,10.91,32.17,100,,,,
8/11/2018 14:34,0.15,54.35,13.14,31.83,100,,,,
8/11/2018 14:34,0.2,55.75,13.25,35.49,100,,,,
8/11/2018 14:34,0.25,57.53,14.44,32.71,100,,,,
8/11/2018 14:34,0.3,58.27,17.7,31.87,100,,,,
8/11/2018 14:34,0.35,57.75,21.45,29.92,100,,,,
8/11/2018 14:34,0.4,57.34,22.97,29.62,100,,,,
8/11/2018 14:34,0.45,59.23,24.78,28.82,100,,,,
8/11/2018 14:34,0.5,53.43,20.3,30.42,100,,,,
8/11/2018 14:34,0.55,52.73,16.45,31.31,100,,,,
8/11/2018 14:34,0.6,51.88,12.83,27.67,100,,,,
8/11/2018 14:34,0.65,49.34,12.13,25.09,100,,,,
8/11/2018 14:34,0.7,46.27,11.32,22.74,100,,,,
8/11/2018 14:34,0.75,46.22,12.13,19.77,100,,,,
8/11/2018 14:34,0.8,36.52,8.55,20.06,100,,,,
8/11/2018 14:34,0.85,31.66,7.54,19.09,100,,,,
8/11/2018 14:34,0.9,27.66,3.83,14.55,100,,,,
8/11/2018 14:34,0.95,17.07,-2.56,8.96,100,,,,
8/11/2018 14:34,1,-0.34,-18.95,7.59,100,,,,
8/11/2018 14:34,1.05,-10.92,-33.89,3.68,100,,,,
8/11/2018 14:34,1.1,-27.48,-52.76,2.4,96.74,,,,
8/11/2018 14:34,1.15,-28.99,-55.01,-4.3,73.02,,,,
8/11/2018 14:34,1.2,-28.24,-54.91,-9.4,72.25,,,,
8/11/2018 14:34,1.25,-28.05,-55.43,-10.63,60.27,,,,
8/11/2018 14:34,1.3,-27.69,-55.81,-11.8,50.53,,,,
8/11/2018 14:34,1.35,-27.5,-55.85,-11.91,48.67,,,,
8/11/2018 14:34,1.4,-27.37,-55.78,-11.87,48.85,,,,
8/11/2018 14:34,1.45,-27.38,-56.09,-12.15,48.73,,,,
8/11/2018 14:34,1.5,-27.72,-56.28,-12.36,48.59,,,,
8/11/2018 14:34,1.55,-27.77,-56,-11.95,49.09,,,,
8/11/2018 14:34,1.6,-27.87,-56.04,-11.56,49.17,,,,
8/11/2018 14:34,1.65,-27.7,-56.17,-11.66,49.19,,,,
8/11/2018 14:34,1.7,-28.1,-56.03,-11.69,48.91,,,,
8/11/2018 14:34,1.75,-28.42,-56,-11.86,48.76,,,,
8/11/2018 14:34,1.8,-27.79,-55.78,-11.26,49.15,,,,
8/11/2018 14:34,1.85,-28.49,-55.83,-11.19,48.91,,,,
8/11/2018 14:34,1.9,-28.86,-55.66,-11.59,48.83,,,,
8/11/2018 14:34,1.95,-25.47,-25.1,-14.76,49.88,,,,
8/11/2018 14:34,2,-19.59,-38.45,-12.09,50.31,,,,
8/11/2018 14:34,2.05,-18.84,-39.42,-13.17,49.3,,,,
8/11/2018 14:34,2.1,-6.12,-18.25,-11.49,50.08,,,,
8/11/2018 14:34,2.15,-3.03,-16.85,-11.09,49.53,,,,
8/11/2018 14:34,2.2,5.68,-9.85,-10.37,49.67,,,,
8/11/2018 14:34,2.25,10.6,-3.67,-9.2,48.62,,,,
8/11/2018 14:34,2.3,11.55,3.73,-9.66,48.84,,,,
8/11/2018 14:34,2.35,12.87,9.1,-9.83,49.14,,,,
8/11/2018 14:34,2.4,15.58,8.72,-9.44,49.23,,,,
8/11/2018 14:34,2.45,20.1,15.5,-8.81,49.18,,,,
8/11/2018 14:34,2.5,19.1,18.56,-8.66,49.04,,,,
8/11/2018 14:34,2.55,20.69,22.02,-8.61,49.02,,,,
8/11/2018 14:34,2.6,25.61,28.71,-8.37,49.03,,,,
8/11/2018 14:34,2.65,28.24,32.52,-7.65,49,,,,
8/11/2018 14:34,2.7,31.9,19.71,1.31,97.53,,,,
8/11/2018 14:34,2.75,36.7,28.95,11.02,100,,,,
8/11/2018 14:34,2.8,38.53,26,13.89,100,,,,
8/11/2018 14:34,2.85,32.36,15.96,35.85,100,,,,
8/11/2018 14:34,2.9,36.13,8.07,61.94,100,,,,
8/11/2018 14:34,2.95,50.82,10.56,74.33,100,,,,
8/11/2018 14:34,3,65.57,13.38,79.06,100,,,,
8/11/2018 14:34,3.05,72.58,7.18,94.67,100,,,,
8/11/2018 14:34,3.1,78.92,7.58,94.95,100,,,,
8/11/2018 14:34,3.15,88.85,15.16,76.72,100,,,,
8/11/2018 14:34,3.2,77.04,13.45,64.12,100,,,,
8/11/2018 14:34,3.25,77.92,11.25,73.83,100,,,,
8/11/2018 14:34,3.3,84.23,22.36,62.29,100,,,,
8/11/2018 14:34,3.35,72.55,18.74,60.29,100,,,,
8/11/2018 14:34,3.4,66.31,10.05,59.83,100,,,,
8/11/2018 14:34,3.45,65.88,11.29,52.91,100,,,,
8/11/2018 14:34,3.5,60.14,7.88,55.64,100,,,,
8/11/2018 14:34,3.55,56.83,3.33,56.18,100,,,,
8/11/2018 14:34,3.6,55.42,-2.81,47.12,100,,,,
8/11/2018 14:34,3.65,50.17,-2.84,47.23,100,,,,
8/11/2018 14:34,3.7,39,-3.15,36.82,100,,,,
8/11/2018 14:34,3.75,36.83,-3.89,28.28,100,,,,
8/11/2018 14:34,3.8,29.46,-0.86,28.59,100,,,,
8/11/2018 14:34,3.85,22.51,-0.83,18.93,100,,,,
8/11/2018 14:34,3.9,22.32,3.97,15.69,100,,,,
8/11/2018 14:34,3.95,19.19,5.41,13.35,100,,,,
8/11/2018 14:34,4,16.3,5.13,10.57,100,,,,
8/11/2018 14:34,4.05,13.84,6.84,13.28,100,,,,
