Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/11/2018 14:29,0,12.65,-4.04,42.29,92.91,,,,
8/11/2018 14:29,0.05,16.9,-4.56,46.65,88.64,,,,
8/11/2018 14:29,0.1,20.54,-6.33,50.24,86.2,,,,
8/11/2018 14:29,0.15,24.01,-6.07,50.5,86.97,,,,
8/11/2018 14:29,0.2,26.44,-3.66,52.07,87.68,,,,
8/11/2018 14:29,0.25,28.84,-0.12,53.59,89.75,,,,
8/11/2018 14:29,0.3,29.46,4.52,53.88,92.01,,,,
8/11/2018 14:29,0.35,29.6,5.81,53.53,98.44,,,,
8/11/2018 14:29,0.4,29.8,6.56,52.81,100,,,,
8/11/2018 14:29,0.45,32.05,10.73,53.33,100,,,,
8/11/2018 14:29,0.5,33.2,13.39,52.01,100,,,,
8/11/2018 14:29,0.55,32.68,15.7,48.54,100,,,,
8/11/2018 14:29,0.6,29.43,15.95,43.07,100,,,,
8/11/2018 14:29,0.65,16.84,8.69,29.77,100,,,,
8/11/2018 14:29,0.7,-3.62,-7.25,16.13,95.57,,,,
8/11/2018 14:29,0.75,-25.4,-33.89,4.16,82.62,,,,
8/11/2018 14:29,0.8,-28.88,-51.46,-9.29,66,,,,
8/11/2018 14:29,0.85,-28.01,-56.93,-11.76,49.31,,,,
8/11/2018 14:29,0.9,-27.7,-56.8,-11.79,49.22,,,,
8/11/2018 14:29,0.95,-27.48,-56.57,-11.84,49.34,,,,
8/11/2018 14:29,1,-27.42,-56.71,-11.92,49.16,,,,
8/11/2018 14:29,1.05,-27.69,-56.5,-11.55,49.3,,,,
8/11/2018 14:29,1.1,-28.06,-56.66,-11.29,49.19,,,,
8/11/2018 14:29,1.15,-28.03,-56.77,-11.27,49.31,,,,
8/11/2018 14:29,1.2,-27.97,-56.47,-10.93,49.51,,,,
8/11/2018 14:29,1.25,-28.4,-56.09,-10.82,49.39,,,,
8/11/2018 14:29,1.3,-28.44,-56.39,-10.89,49.31,,,,
8/11/2018 14:29,1.35,-28.67,-56.52,-10.8,49.17,,,,
8/11/2018 14:29,1.4,-20.97,-46.13,-7.43,49.8,,,,
8/11/2018 14:29,1.45,-18.08,-36.27,-11.02,48.89,,,,
8/11/2018 14:29,1.5,-5.35,-17.7,-10.1,49.75,,,,
8/11/2018 14:29,1.55,0.58,-27.35,-8.44,100,,,,
8/11/2018 14:29,1.6,4.43,-39.21,24.13,100,,,,
8/11/2018 14:29,1.65,49.67,-3.72,9.1,100,,,,
8/11/2018 14:29,1.7,58.99,5.74,29.06,100,,,,
8/11/2018 14:29,1.75,47.75,-1.76,65.27,100,,,,
8/11/2018 14:29,1.8,63.91,17.23,46.46,100,,,,
8/11/2018 14:29,1.85,58.2,11.93,51.58,100,,,,
