Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/11/2018 14:25,0,-22.8,-31.8,54.81,60.77
8/11/2018 14:25,0.05,-22.39,-30.28,56.22,58.56
8/11/2018 14:25,0.1,-21.88,-25.17,55.85,58.96
8/11/2018 14:25,0.15,-20.26,-16.58,59.73,60.16
8/11/2018 14:25,0.2,-18.99,-7.89,64.7,61.39
8/11/2018 14:25,0.25,6.04,-7.83,59.41,60.09
8/11/2018 14:25,0.3,-0.43,-7.69,72.29,58.94
8/11/2018 14:25,0.35,-12.69,2.9,81.51,61.91
8/11/2018 14:25,0.4,-15.94,5.19,77.07,63.31
8/11/2018 14:25,0.45,-6.31,1.52,71.07,61.7
8/11/2018 14:25,0.5,-2.43,-4.66,72.75,60.53
8/11/2018 14:25,0.55,-11.11,-9.8,66.87,60.07
8/11/2018 14:25,0.6,-22.46,-18.01,52.94,58.79
8/11/2018 14:25,0.65,-25.75,-44.86,28,55.3
8/11/2018 14:25,0.7,-27.59,-57.6,5.38,51.17
8/11/2018 14:25,0.75,-27.84,-57.46,-11.95,50.53
8/11/2018 14:25,0.8,-27.5,-57.1,-13.16,50.74
8/11/2018 14:25,0.85,-26.99,-56.84,-13.37,50.95
8/11/2018 14:25,0.9,-26.81,-57.13,-13.61,50.77
8/11/2018 14:25,0.95,-26.74,-57.36,-13.44,50.74
8/11/2018 14:25,1,-27.12,-57.52,-13.16,50.75
8/11/2018 14:25,1.05,-27.36,-57.48,-12.87,50.8
8/11/2018 14:25,1.1,-27.47,-57.37,-12.69,50.86
8/11/2018 14:25,1.15,-27.59,-57.27,-12.61,50.82
8/11/2018 14:25,1.2,-27.71,-56.95,-12.62,50.84
8/11/2018 14:25,1.25,-27.87,-57,-12.76,50.76
8/11/2018 14:25,1.3,-27.94,-57.12,-12.47,50.7
8/11/2018 14:25,1.35,-27.96,-56.89,-12.32,50.71
8/11/2018 14:25,1.4,-28.05,-57.09,-12.37,50.49
8/11/2018 14:25,1.45,-27.99,-57.07,-12.35,50.67
8/11/2018 14:25,1.5,-27.87,-57.11,-12.36,50.72
8/11/2018 14:25,1.55,-27.96,-57.24,-12.39,50.71
8/11/2018 14:25,1.6,-27.77,-57.16,-12.26,50.71
8/11/2018 14:25,1.65,-26.75,-52.51,-12.67,50.95
8/11/2018 14:25,1.7,-21.16,-52.29,-12.46,49.68
8/11/2018 14:25,1.75,-21.43,-49.51,-7.44,50.31
8/11/2018 14:25,1.8,-25.37,-54.67,17.15,67.94
8/11/2018 14:25,1.85,-24.52,-54.52,27.3,67.36
8/11/2018 14:25,1.9,-24.25,-54.91,39.83,68.96
8/11/2018 14:25,1.95,0.5,-43.19,20.13,70.17
8/11/2018 14:26,2,-13.7,-45.46,55.06,96.49
8/11/2018 14:26,2.05,-8.13,-37.42,51.6,100
8/11/2018 14:26,2.1,-4.16,-35.77,39.22,89.9
8/11/2018 14:26,2.15,-8.97,-41.99,43.63,96.9
8/11/2018 14:26,2.2,-7.77,-41.37,41.13,88.98
8/11/2018 14:26,2.25,-11.57,-44.85,47.03,85.08
8/11/2018 14:26,2.3,-19.56,-47.97,48.33,74.41
8/11/2018 14:26,2.35,-28.67,-54.14,36.26,77.85
8/11/2018 14:26,2.4,-28.4,-55.33,-2.34,83.55
8/11/2018 14:26,2.45,-27.45,-56.79,-12.68,65.79
8/11/2018 14:26,2.5,-26.13,-56.69,-13.68,57.18
8/11/2018 14:26,2.55,-27.47,-57.76,-3.04,52.08
8/11/2018 14:26,2.6,-27.54,-56.93,-14.39,50.48
8/11/2018 14:26,2.65,-27.62,-56.72,-14.08,50.93
8/11/2018 14:26,2.7,-27.65,-56.45,-13.96,50.89
8/11/2018 14:26,2.75,-27.6,-56.74,-13.83,50.83
8/11/2018 14:26,2.8,-27.71,-56.98,-13.59,50.89
8/11/2018 14:26,2.85,-27.74,-57.02,-13.09,51.09
8/11/2018 14:26,2.9,-27.7,-57.08,-12.96,51.07
8/11/2018 14:26,2.95,-27.76,-56.87,-13.18,51.13
8/11/2018 14:26,3,-27.76,-57.12,-13.25,50.96
8/11/2018 14:26,3.05,-27.7,-57,-12.97,50.91
8/11/2018 14:26,3.1,-27.79,-56.95,-12.89,50.89
8/11/2018 14:26,3.15,-27.99,-57.04,-13.02,50.85
8/11/2018 14:26,3.2,-28,-54.86,-13.13,51.38
8/11/2018 14:26,3.25,-27.69,-57.14,-13.12,50.22
8/11/2018 14:26,3.3,-27.75,-56.54,-12.31,51.34
8/11/2018 14:26,3.35,-27.3,-52.65,-12.9,50.97
8/11/2018 14:26,3.4,-27.19,-51.59,-13.6,50.91
8/11/2018 14:26,3.45,-27.17,-52.31,-13.31,50.97
8/11/2018 14:26,3.5,-27.2,-50.8,-13.24,51.11
8/11/2018 14:26,3.55,-27.4,-51.58,-13.18,51.06
8/11/2018 14:26,3.6,-27.64,-52.8,-12.97,51.04
8/11/2018 14:26,3.65,-27.48,-48.38,-13.26,51.55
8/11/2018 14:26,3.7,-27.02,-47.93,-13.27,51.46
8/11/2018 14:26,3.75,-25.12,-55.76,2.12,52.77
8/11/2018 14:26,3.8,-26.62,-54.83,-2.39,51.75
8/11/2018 14:26,3.85,-26,-54.09,4.57,69.51
8/11/2018 14:26,3.9,-24.51,-40.45,29.18,58.45
8/11/2018 14:26,3.95,-23.68,-31.41,38.1,56.96
8/11/2018 14:26,4,-23.81,-30.29,47.55,57.48
8/11/2018 14:26,4.05,-24.25,-38.14,48.39,74.63
8/11/2018 14:26,4.1,-24.92,-42.92,51.55,71.01
8/11/2018 14:26,4.15,-26.69,-49.54,44.43,62.96
8/11/2018 14:26,4.2,-27.91,-56.49,24.45,59.73
