Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/11/2018 15:26,0,23.51,15.69,21.62,71.52
8/11/2018 15:26,0.05,24.36,16.37,22.41,72.2
8/11/2018 15:26,0.1,25.25,17.41,22.85,74.51
8/11/2018 15:26,0.15,26.76,17.76,24.65,75.13
8/11/2018 15:26,0.2,29.36,18.51,26.74,76.12
8/11/2018 15:26,0.25,31.46,19.15,29.54,77.01
8/11/2018 15:26,0.3,34.24,19.19,31.57,76.92
8/11/2018 15:26,0.35,37.08,19.68,35.13,76.47
8/11/2018 15:26,0.4,41.31,19.61,39.16,74.81
8/11/2018 15:26,0.45,45.71,20.46,44.04,73.07
8/11/2018 15:26,0.5,49.12,21.54,48.31,75.76
8/11/2018 15:26,0.55,52.06,21.98,50.2,76.17
8/11/2018 15:26,0.6,54.45,23.27,50.86,76.28
8/11/2018 15:26,0.65,55.97,24.87,53.94,76.14
8/11/2018 15:26,0.7,57.77,24.85,57.45,75.39
8/11/2018 15:26,0.75,59.2,24.99,58.42,73.14
8/11/2018 15:26,0.8,61.14,24.54,59.95,69.44
8/11/2018 15:26,0.85,61.11,24.36,59.97,68.29
8/11/2018 15:26,0.9,61.63,22.09,61.11,63.78
8/11/2018 15:26,0.95,62.19,21.36,62.44,62
8/11/2018 15:26,1,61.06,19.99,61.74,62.01
8/11/2018 15:26,1.05,60.52,19.05,60.36,61.67
8/11/2018 15:26,1.1,58.21,18.68,57.7,62.46
8/11/2018 15:26,1.15,57.71,18.83,56.96,63.17
8/11/2018 15:26,1.2,55.75,19.02,54.21,64.89
8/11/2018 15:26,1.25,51.2,19.73,46.46,68.57
8/11/2018 15:26,1.3,46.63,20.24,41.54,73.64
8/11/2018 15:26,1.35,40.65,19.9,36.78,76.47
8/11/2018 15:26,1.4,38.35,18.38,35.88,75.28
8/11/2018 15:26,1.45,36.93,10.88,37.95,64.67
8/11/2018 15:26,1.5,34.36,3.82,37.75,55.38
8/11/2018 15:26,1.55,27.79,0.02,39.45,49.55
8/11/2018 15:26,1.6,11.91,-1.08,32.27,48.78
8/11/2018 15:26,1.65,1.76,-1.33,18.55,47.75
8/11/2018 15:26,1.7,0.59,-1.2,9.98,46.57
8/11/2018 15:26,1.75,0.79,-0.81,8.94,46.24
8/11/2018 15:26,1.8,0.98,-0.41,10.41,46.36
8/11/2018 15:26,1.85,0.5,-0.64,5.22,45.63
8/11/2018 15:26,1.9,0.08,-1,0.7,44.64
8/11/2018 15:26,1.95,0.2,-0.53,0.35,45.36
8/11/2018 15:26,2,0.39,-0.7,0.1,45.05
8/11/2018 15:26,2.05,0.5,-1.13,0.14,45.46
8/11/2018 15:26,2.1,0.14,-1.27,0.7,45.79
8/11/2018 15:26,2.15,0.27,-1.45,0.96,46.01
8/11/2018 15:26,2.2,0.34,-1.33,1.07,45.97
8/11/2018 15:26,2.25,0.08,-1.15,1.09,45.83
8/11/2018 15:26,2.3,-0.02,-1.19,1.04,45.73
8/11/2018 15:26,2.35,0.15,-1.23,1.18,45.86
8/11/2018 15:26,2.4,0.01,-1.03,1.23,45.99
8/11/2018 15:26,2.45,-0.08,1.5,1.14,46.6
8/11/2018 15:26,2.5,5.06,0,0.87,46.14
8/11/2018 15:26,2.55,10.63,3.89,0.89,45.65
8/11/2018 15:26,2.6,10.43,8.71,0.89,45.95
8/11/2018 15:26,2.65,14.47,14.17,0.88,46.15
8/11/2018 15:26,2.7,4.56,17.46,39.8,51.19
8/11/2018 15:26,2.75,5.42,31.05,26.33,60.95
8/11/2018 15:26,2.8,7.9,39.55,45.62,60.45
8/11/2018 15:26,2.85,9.42,43.32,57.53,56.93
8/11/2018 15:26,2.9,18.15,41.91,65.87,56.84
8/11/2018 15:26,2.95,22.37,35.73,69.67,55.9
8/11/2018 15:26,3,22.82,33.58,72.24,55.66
8/11/2018 15:26,3.05,22.66,34.52,72.94,55.98
8/11/2018 15:26,3.1,21.48,37.38,67.82,56.09
8/11/2018 15:26,3.15,18.92,40.4,62.44,56.19
8/11/2018 15:26,3.2,13.84,42.94,59.54,56.7
8/11/2018 15:26,3.25,11.11,44.66,58.36,57.38
8/11/2018 15:26,3.3,9.99,45.18,59.96,57.94
8/11/2018 15:26,3.35,8.74,45.47,55.49,57.96
8/11/2018 15:26,3.4,8.48,45.1,53.51,57.75
8/11/2018 15:26,3.45,8.54,42.36,50.89,63.56
8/11/2018 15:26,3.5,8.47,37.18,52.77,67.36
8/11/2018 15:26,3.55,8.97,39.21,59.93,58.42
8/11/2018 15:26,3.6,9.19,38.63,60.03,57.55
8/11/2018 15:26,3.65,17.85,29.89,57.53,56.08
8/11/2018 15:26,3.7,23.35,25.33,63.71,54.77
8/11/2018 15:26,3.75,17.07,31.18,70.12,56.26
8/11/2018 15:26,3.8,20.47,28.28,73.07,56.24
8/11/2018 15:26,3.85,30.07,20.69,73.81,55.32
8/11/2018 15:26,3.9,29.29,20.52,76.98,55.24
8/11/2018 15:26,3.95,30.4,13.91,72.49,54.28
8/11/2018 15:26,4,34.56,5.15,68.43,52.64
8/11/2018 15:26,4.05,25.45,3.62,62.54,51.86
8/11/2018 15:26,4.1,4.51,5.08,52.32,51.77
8/11/2018 15:26,4.15,1.73,8.78,29.32,51.09
8/11/2018 15:26,4.2,-0.56,0.87,0.46,77.41
8/11/2018 15:26,4.25,-1.86,1.09,-3.22,59.76
8/11/2018 15:26,4.3,-0.42,0.25,-0.28,49.43
8/11/2018 15:26,4.35,0.54,-1.46,-0.85,46.29
8/11/2018 15:26,4.4,0.91,-1.14,0.13,46.35
8/11/2018 15:26,4.45,0.93,-1.04,0.24,46.21
8/11/2018 15:26,4.5,0.55,-1.07,0.19,46.18
8/11/2018 15:26,4.55,0.24,-1.17,0.22,46.09
8/11/2018 15:26,4.6,0.07,-1.2,0.18,46.09
8/11/2018 15:26,4.65,0.12,-1.41,0.32,46.08
8/11/2018 15:26,4.7,0.13,-1.45,0.4,46.23
8/11/2018 15:26,4.75,0.05,-1.32,0.81,46.32
8/11/2018 15:26,4.8,0.23,-1.18,0.98,46.54
8/11/2018 15:26,4.85,0.67,6.5,-1.71,46.27
8/11/2018 15:26,4.9,8.47,-0.68,1.42,46.32
8/11/2018 15:26,4.95,12.33,8.44,1.41,45.49
8/11/2018 15:26,5,22.7,12.03,1.95,45.44
8/11/2018 15:26,5.05,39.77,15.97,3.19,44.69
8/11/2018 15:26,5.1,38.13,9.12,32.72,55.89
8/11/2018 15:26,5.15,50.87,13.12,43.85,61.48
8/11/2018 15:26,5.2,58.56,23.75,40.18,60.44
8/11/2018 15:26,5.25,59.12,24.01,51.95,72.55
8/11/2018 15:26,5.3,53.97,24.07,45.26,88.97
8/11/2018 15:26,5.35,52.39,23.98,46.14,93.34
8/11/2018 15:26,5.4,50.41,24.72,46.71,95.98
8/11/2018 15:26,5.45,45.5,27.57,36.63,100
8/11/2018 15:26,5.5,42.7,30.38,25.71,100
8/11/2018 15:26,5.55,40.58,30.94,27.76,100
8/11/2018 15:26,5.6,38.57,30.53,26.78,100
8/11/2018 15:26,5.65,38.84,31.17,25.45,100
8/11/2018 15:26,5.7,38.86,31.07,25.75,100
8/11/2018 15:26,5.75,38.99,28.16,28.36,100
8/11/2018 15:26,5.8,42.55,27.92,33.85,100
8/11/2018 15:26,5.85,46.02,27.34,40.67,95.77
8/11/2018 15:26,5.9,49.71,26.62,45.83,89.27
8/11/2018 15:26,5.95,50.67,27.29,44.19,86.23
8/11/2018 15:26,6,50.02,26.69,41.78,82.65
8/11/2018 15:26,6.05,46.78,23.42,43.08,81.37
8/11/2018 15:26,6.1,45.04,23.7,37.66,83.07
8/11/2018 15:26,6.15,42.94,22.99,32.77,82.97
8/11/2018 15:26,6.2,38.14,23.81,28.74,85.35
8/11/2018 15:26,6.25,34.16,22.79,27.05,87.05
8/11/2018 15:26,6.3,27.46,22.57,17.91,92.09
8/11/2018 15:26,6.35,26.36,23,17.1,90.82
8/11/2018 15:26,6.4,20.76,23.38,10.71,93.27
8/11/2018 15:26,6.45,15.43,22.63,7.85,96.14
8/11/2018 15:26,6.5,10.93,21.95,6.44,97.36
8/11/2018 15:26,6.55,3.93,22.21,3.52,99
8/11/2018 15:26,6.6,0.53,22.98,1.72,100
8/11/2018 15:26,6.65,0.17,19.64,1.83,100
8/11/2018 15:26,6.7,0.09,16.4,1.63,100
8/11/2018 15:26,6.75,0.15,11.5,0.78,88.38
8/11/2018 15:26,6.8,0.3,0.47,0.35,60.09
8/11/2018 15:26,6.85,0.59,-1.47,-0.54,47.19
8/11/2018 15:26,6.9,0.86,-1.22,-0.94,47.18
8/11/2018 15:26,6.95,0.56,-0.9,-0.44,47.05
8/11/2018 15:26,7,0.22,-1.18,-0.07,46.64
8/11/2018 15:26,7.05,-0.03,-1.42,0.05,46.46
8/11/2018 15:26,7.1,0.05,-1.35,0.11,46.69
8/11/2018 15:26,7.15,0.01,-1.33,0.65,46.69
8/11/2018 15:26,7.2,0.32,0.04,0.19,47.59
8/11/2018 15:26,7.25,0.49,4.68,-0.22,47.36
8/11/2018 15:26,7.3,0.45,11.02,-0.44,47.43
8/11/2018 15:26,7.35,0.76,20.45,-0.64,48.16
8/11/2018 15:26,7.4,1.51,35.16,-1.34,59.66
8/11/2018 15:26,7.45,2.12,17.88,1.13,100
8/11/2018 15:26,7.5,1.15,38.32,1.59,100
8/11/2018 15:26,7.55,2.44,49.51,0.97,96.09
8/11/2018 15:26,7.6,3.71,53.21,-0.71,100
8/11/2018 15:26,7.65,4.37,55.93,-0.29,100
8/11/2018 15:26,7.7,5.36,59.57,-0.23,100
8/11/2018 15:26,7.75,8.31,69.79,27.72,97.28
8/11/2018 15:26,7.8,8.23,73.62,15.35,100
8/11/2018 15:26,7.85,10.64,69.72,30.86,100
8/11/2018 15:26,7.9,18.33,75.49,50,86.77
