Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/12/2018 13:59,0,-10.84,-10.96,-23.93,-0.77
9/12/2018 13:59,0.05,-10.75,-10.82,-24.05,-0.6
9/12/2018 13:59,0.1,-10.86,-10.66,-24.23,-0.56
9/12/2018 13:59,0.15,-10.93,-10.6,-24.29,-0.64
9/12/2018 13:59,0.2,8.97,-9.55,-23.19,-0.27
9/12/2018 13:59,0.25,-3.46,-12.47,-7.98,-2.54
9/12/2018 13:59,0.3,-8.83,-11.31,-4.16,0.27
9/12/2018 13:59,0.35,-0.57,-10.47,-2.78,0.08
9/12/2018 13:59,0.4,3.15,-9.79,7.12,-0.03
9/12/2018 13:59,0.45,5,-9.61,21,0.51
9/12/2018 13:59,0.5,10.39,-9.08,34.49,0.69
9/12/2018 13:59,0.55,13.02,-8.85,47.36,0.56
9/12/2018 13:59,0.6,-3.42,30.4,50.68,4.55
9/12/2018 13:59,0.65,-5.03,22.11,87.46,8.16
9/12/2018 13:59,0.7,3.31,38.82,96.12,11.57
9/12/2018 13:59,0.75,1.26,90.15,84.64,17.99
9/12/2018 13:59,0.8,-0.78,72.49,80.47,71.41
9/12/2018 13:59,0.85,0.56,97.96,72.41,75.95
9/12/2018 13:59,0.9,2.32,100,79.88,58.65
9/12/2018 13:59,0.95,4.12,100,84.87,64.59
9/12/2018 13:59,1,4.83,100,79.21,82.24
9/12/2018 13:59,1.05,10.78,100,86.78,73.04
9/12/2018 13:59,1.1,18.03,100,88.02,73.08
9/12/2018 13:59,1.15,22.91,100,76.19,81.05
9/12/2018 13:59,1.2,23.64,100,53.4,91.62
9/12/2018 13:59,1.25,14.83,100,31.86,74.55
9/12/2018 13:59,1.3,3.5,100,22.56,20.73
9/12/2018 13:59,1.35,-1.1,60.22,2.64,28.78
9/12/2018 13:59,1.4,-7.89,28.68,-18.04,22.39
9/12/2018 13:59,1.45,-11.15,-0.51,-24.53,2.16
9/12/2018 13:59,1.5,-11.52,-10.02,-25.3,-1.52
9/12/2018 13:59,1.55,-11.65,-9.94,-25.01,-1.37
9/12/2018 13:59,1.6,-11.57,-9.81,-24.94,-0.99
9/12/2018 13:59,1.65,-11.67,-9.73,-24.91,-0.91
9/12/2018 13:59,1.7,-11.24,-9.84,-25.18,-0.38
9/12/2018 13:59,1.75,-11.15,-9.53,-25.05,-0.13
9/12/2018 13:59,1.8,-11.01,-9.93,-25.44,0.41
9/12/2018 13:59,1.85,-11.27,-9.77,-25.32,-0.1
9/12/2018 13:59,1.9,-11.1,-9.99,-25.47,0.01
9/12/2018 13:59,1.95,-11.14,-9.89,-25.23,-0.23
9/12/2018 13:59,2,14.1,-12.84,-24.97,-0.25
9/12/2018 13:59,2.05,-10.63,-10.42,-19.55,-0.69
9/12/2018 13:59,2.1,-2.31,-10.43,-5.45,0.06
9/12/2018 13:59,2.15,2.8,-9.66,4.54,-0.45
9/12/2018 13:59,2.2,6.06,-8.71,18.44,-0.55
9/12/2018 13:59,2.25,11.3,-7.54,28.69,-1.68
9/12/2018 13:59,2.3,17.78,-6.25,36.78,-2.7
9/12/2018 13:59,2.35,21.62,-5.45,44.03,-3.26
9/12/2018 13:59,2.4,0.1,56.78,39.97,6.49
9/12/2018 13:59,2.45,9.14,36.16,68.6,17.98
9/12/2018 13:59,2.5,25.67,73.7,54.93,8.1
9/12/2018 13:59,2.55,20.34,99.82,40.56,10.86
9/12/2018 13:59,2.6,15.64,91.56,48.45,20.32
9/12/2018 13:59,2.65,12.58,96.07,44.65,25.77
9/12/2018 13:59,2.7,14.39,90.61,41.99,34.42
9/12/2018 13:59,2.75,16.39,89.78,46.45,52.39
9/12/2018 13:59,2.8,13.18,91.37,41.63,66.14
9/12/2018 13:59,2.85,13.8,93.32,33.52,65.11
9/12/2018 13:59,2.9,17.98,91.31,32.33,48.43
9/12/2018 13:59,2.95,12.62,82.64,18.67,32.42
9/12/2018 13:59,3,2.18,75.62,2.45,15.31
9/12/2018 13:59,3.05,-5.71,47.56,-10.18,7.75
