Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/11/2018 15:35,0,-0.25,0.46,0.41,44.77
8/11/2018 15:35,0.05,-0.31,0.51,0.35,44.81
8/11/2018 15:35,0.1,-0.32,0.55,0.34,44.82
8/11/2018 15:35,0.15,-0.28,0.57,0.41,44.82
8/11/2018 15:35,0.2,-0.19,0.52,0.44,44.78
8/11/2018 15:35,0.25,-0.12,0.6,0.55,44.81
8/11/2018 15:35,0.3,-0.21,0.47,0.43,44.72
8/11/2018 15:35,0.35,-0.2,0.47,0.32,44.71
8/11/2018 15:35,0.4,-0.35,0.38,0.18,44.69
8/11/2018 15:35,0.45,-0.13,0.46,0.33,44.82
8/11/2018 15:35,0.5,-0.07,0.56,0.5,44.92
8/11/2018 15:35,0.55,-0.02,0.45,0.54,44.94
8/11/2018 15:35,0.6,-0.04,0.36,0.47,44.84
8/11/2018 15:35,0.65,-0.21,0.43,0.52,44.84
8/11/2018 15:35,0.7,-0.38,0.62,0.58,44.79
8/11/2018 15:35,0.75,-0.39,0.57,0.68,44.8
8/11/2018 15:35,0.8,-0.53,0.56,0.69,44.85
8/11/2018 15:35,0.85,-0.71,5.44,0.77,45.68
8/11/2018 15:35,0.9,0.77,7.29,16.95,47.29
8/11/2018 15:35,0.95,1.38,11.95,3.72,58.21
8/11/2018 15:35,1,3.15,21.51,23.15,50.03
8/11/2018 15:35,1.05,4.97,32.69,34.2,51.57
8/11/2018 15:35,1.1,6.73,50.54,44.36,53.56
8/11/2018 15:35,1.15,8.92,64.55,53.21,63.53
8/11/2018 15:35,1.2,12.52,86.9,77.4,60.9
8/11/2018 15:35,1.25,36.58,99.04,78.93,61.47
8/11/2018 15:35,1.3,55.68,100,89.47,60.42
8/11/2018 15:35,1.35,57.89,100,100,63.33
8/11/2018 15:35,1.4,67.39,100,100,63.97
8/11/2018 15:35,1.45,83.65,100,100,62.49
8/11/2018 15:35,1.5,100,100,100,60.39
8/11/2018 15:35,1.55,100,100,100,60.06
8/11/2018 15:35,1.6,100,100,100,60.73
8/11/2018 15:35,1.65,100,100,100,61.14
8/11/2018 15:35,1.7,100,100,100,62.54
8/11/2018 15:35,1.75,100,100,100,64.23
8/11/2018 15:35,1.8,100,100,100,65.83
8/11/2018 15:35,1.85,100,100,100,67.32
8/11/2018 15:35,1.9,100,100,100,70.11
8/11/2018 15:35,1.95,100,100,100,83.04
8/11/2018 15:35,2,100,100,100,87.85
8/11/2018 15:35,2.05,100,100,100,85.05
8/11/2018 15:35,2.1,100,100,100,74.68
8/11/2018 15:35,2.15,70.41,100,100,66.03
8/11/2018 15:35,2.2,32.62,67.93,86.19,63.64
8/11/2018 15:35,2.25,10.42,40.99,36.18,77.62
8/11/2018 15:35,2.3,2.68,3.66,0.09,89.55
8/11/2018 15:35,2.35,0.56,0.16,-0.65,50.02
8/11/2018 15:35,2.4,0.35,-0.29,-0.53,44.91
8/11/2018 15:35,2.45,0.32,-0.31,-0.5,45.29
8/11/2018 15:35,2.5,0.33,-0.24,-0.2,45.88
8/11/2018 15:35,2.55,0.21,-0.06,-0.09,46.21
8/11/2018 15:35,2.6,0.57,-0.48,-0.21,46.31
8/11/2018 15:35,2.65,0.13,-0.8,-0.41,46.13
8/11/2018 15:35,2.7,0.41,-0.62,-0.29,46.26
8/11/2018 15:35,2.75,0.41,-0.83,-0.28,46.16
8/11/2018 15:35,2.8,0.55,-0.59,0.02,46.23
8/11/2018 15:35,2.85,0.41,-0.67,-0.13,46.13
8/11/2018 15:35,2.9,0.37,-0.6,-0.2,46.28
8/11/2018 15:35,2.95,0.23,-0.62,-0.29,46.19
8/11/2018 15:35,3,0.38,-0.71,-0.16,46.25
8/11/2018 15:35,3.05,0.52,3.98,0.26,46.34
8/11/2018 15:35,3.1,0.62,9.13,-0.38,46.62
8/11/2018 15:35,3.15,1.45,3.18,3.76,70.13
8/11/2018 15:35,3.2,1.44,3.15,10.27,77.68
8/11/2018 15:35,3.25,4.44,42.87,29.22,52.07
8/11/2018 15:35,3.3,9.75,65.83,62.36,69.19
8/11/2018 15:35,3.35,21.75,85.71,81.96,91.27
8/11/2018 15:35,3.4,54.49,100,91.94,82.16
8/11/2018 15:35,3.45,89.7,100,100,85.52
8/11/2018 15:35,3.5,100,100,100,90.4
8/11/2018 15:35,3.55,100,100,100,89.34
8/11/2018 15:35,3.6,100,100,100,87.12
8/11/2018 15:35,3.65,100,100,100,87.68
8/11/2018 15:35,3.7,100,100,100,93.25
8/11/2018 15:35,3.75,100,100,100,96.62
8/11/2018 15:35,3.8,100,100,100,97.59
