Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
8/15/2018 11:57,0,23.06,40.22,12.36,-61.35,,,,
8/15/2018 11:57,0.05,20.1,40,9.88,38.16,,,,
8/15/2018 11:57,0.1,17.73,37.72,8.71,36.95,,,,
8/15/2018 11:57,0.15,15.88,34.36,7.06,36.35,,,,
8/15/2018 11:57,0.2,15.07,31.96,9.01,36.53,,,,
8/15/2018 11:57,0.25,13.67,30.14,8.89,35.04,,,,
8/15/2018 11:57,0.3,11.44,27.71,8.66,32.07,,,,
8/15/2018 11:57,0.35,10.27,24.72,8.21,30.31,,,,
8/15/2018 11:57,0.4,9.79,23.06,8.26,28.67,,,,
8/15/2018 11:57,0.45,10.66,23.6,9.15,27.28,,,,
8/15/2018 11:57,0.5,9.75,20.46,9.66,23.73,,,,
8/15/2018 11:57,0.55,6.61,12.29,9.44,14.92,,,,
8/15/2018 11:57,0.6,1.17,4.84,9.82,9.12,,,,
8/15/2018 11:57,0.65,0.56,2.43,7.57,5.31,,,,
8/15/2018 11:57,0.7,-2.42,-1.97,5.84,2.65,,,,
8/15/2018 11:57,0.75,-7.03,-4.38,1.62,-0.86,,,,
8/15/2018 11:57,0.8,-7.36,-4.66,-2.24,-4.25,,,,
8/15/2018 11:57,0.85,-7.68,-4.33,-5.67,-4.31,,,,
8/15/2018 11:57,0.9,-7.48,-4.29,-6.1,-4.66,,,,
8/15/2018 11:57,0.95,-7.37,-4.39,-6.2,-4.93,,,,
8/15/2018 11:57,1,-7.52,-4.41,-6.11,-4.88,,,,
8/15/2018 11:57,1.05,-7.53,-4.41,-6.09,-4.86,,,,
8/15/2018 11:57,1.1,-7.68,-4.54,-5.95,-4.88,,,,
8/15/2018 11:57,1.15,-7.68,-4.56,-5.81,-4.84,,,,
8/15/2018 11:57,1.2,-7.66,-1.82,-5.85,-4.64,,,,
8/15/2018 11:57,1.25,-7.84,-4.51,-5.78,-4.84,,,,
8/15/2018 11:57,1.3,-7.83,-4.54,-5.81,-4.76,,,,
8/15/2018 11:57,1.35,-7.74,-4.56,-5.68,-4.75,,,,
8/15/2018 11:57,1.4,-7.6,-4.13,-5.68,-4.6,,,,
8/15/2018 11:57,1.45,-7.7,-4.14,-5.84,-4.55,,,,
8/15/2018 11:57,1.5,-7.75,-4.23,-5.75,-4.56,,,,
8/15/2018 11:57,1.55,-7.59,-2.75,-5.78,-4.39,,,,
8/15/2018 11:57,1.6,-7.51,-1.89,-5.81,-4.31,,,,
8/15/2018 11:57,1.65,-7.26,0.83,-6.02,-4.13,,,,
8/15/2018 11:57,1.7,-7.09,1.82,-6.07,-4,,,,
8/15/2018 11:57,1.75,-6.95,3.9,-6.07,-3.86,,,,
8/15/2018 11:57,1.8,-6.55,6.83,-6.14,-3.59,,,,
8/15/2018 11:57,1.85,-6.3,9.68,-6.26,-3.36,,,,
8/15/2018 11:57,1.9,1.54,6.35,-4.6,-4.38,,,,
8/15/2018 11:57,1.95,5.24,9.16,-4.22,-4.69,,,,
8/15/2018 11:57,2,9.57,12.88,-3.65,-5.04,,,,
8/15/2018 11:57,2.05,11.22,14.35,9.39,-3.09,,,,
8/15/2018 11:57,2.1,14.33,11.93,27.28,-2.79,,,,
8/15/2018 11:57,2.15,24.35,14.78,24.72,-3.15,,,,
8/15/2018 11:57,2.2,26.91,14.23,38.49,-2.58,,,,
8/15/2018 11:57,2.25,24.99,16.41,48.91,-1.5,,,,
8/15/2018 11:57,2.3,22.38,17.75,54.8,-0.46,,,,
8/15/2018 11:57,2.35,25.61,18.13,54.33,-0.47,,,,
8/15/2018 11:57,2.4,29.36,17.93,53.59,-0.92,,,,
8/15/2018 11:57,2.45,30.69,20.12,52.37,-1.08,,,,
8/15/2018 11:57,2.5,31.77,24.4,49.55,-1.07,,,,
8/15/2018 11:57,2.55,32.06,27.26,48.69,-0.82,,,,
8/15/2018 11:57,2.6,31.92,33.04,48.11,-0.49,,,,
8/15/2018 11:57,2.65,31.64,39.27,48.37,0.24,,,,
8/15/2018 11:57,2.7,29.13,45.61,50.05,1.03,,,,
8/15/2018 11:57,2.75,28.27,53.65,46.86,5.35,,,,
8/15/2018 11:57,2.8,29.79,59.42,44.54,6.45,,,,
8/15/2018 11:57,2.85,30.21,63.16,42.2,8.4,,,,
8/15/2018 11:57,2.9,28.35,68.05,37.76,16.95,,,,
8/15/2018 11:57,2.95,27.74,72.69,33.49,26.26,,,,
8/15/2018 11:57,3,29.33,79.97,36.85,29.15,,,,
8/15/2018 11:57,3.05,27.54,83.52,36.21,45.84,,,,
8/15/2018 11:57,3.1,33.52,87.45,35.62,42.5,,,,
8/15/2018 11:57,3.15,35.42,89.45,43.07,34.87,,,,
8/15/2018 11:57,3.2,38.11,87.46,42.41,41.76,,,,
8/15/2018 11:57,3.25,41.73,89.58,42.72,50.39,,,,
8/15/2018 11:57,3.3,49.93,94.01,44.38,51.86,,,,
8/15/2018 11:57,3.35,61.92,98.84,47.33,51.25,,,,
8/15/2018 11:57,3.4,76.1,100,48.62,55.97,,,,
8/15/2018 11:57,3.45,88.97,100,52.37,56.2,,,,
8/15/2018 11:57,3.5,93.58,100,49.13,45.5,,,,
8/15/2018 11:57,3.55,79.36,99.52,42.4,38.86,,,,
8/15/2018 11:57,3.6,55.59,66.47,47.86,14.59,,,,
8/15/2018 11:57,3.65,46.11,62.6,34.96,13.84,,,,
8/15/2018 11:57,3.7,22.29,29.43,33.53,1.48,,,,
8/15/2018 11:57,3.75,-1.77,8.22,19.43,-1.22,,,,
8/15/2018 11:57,3.8,-6.26,-4.35,7.27,-3.09,,,,
8/15/2018 11:57,3.85,-6.74,-4.18,0.93,-4.21,,,,
8/15/2018 11:57,3.9,-7.22,-3.94,-5.99,-4.94,,,,
8/15/2018 11:57,3.95,-7.26,-4.06,-6.52,-5.42,,,,
8/15/2018 11:57,4,-7.16,-4.31,-6.43,-5.04,,,,
8/15/2018 11:57,4.05,-7.43,-4.13,-6.26,-5,,,,
8/15/2018 11:57,4.1,-7.46,-4.18,-6.08,-5.03,,,,
8/15/2018 11:57,4.15,-7.45,-4.39,-5.94,-5.13,,,,
8/15/2018 11:57,4.2,-7.44,-4.5,-5.75,-5.05,,,,
8/15/2018 11:57,4.25,-7.55,-4.54,-5.82,-5.04,,,,
8/15/2018 11:57,4.3,-7.63,-4.65,-5.67,-4.94,,,,
8/15/2018 11:57,4.35,-7.52,-4.51,-5.79,-4.74,,,,
8/15/2018 11:57,4.4,-7.54,-4.52,-5.86,-4.75,,,,
8/15/2018 11:57,4.45,-7.66,-4.55,-5.77,-4.89,,,,
8/15/2018 11:57,4.5,-7.86,-4.55,-5.72,-5.01,,,,
8/15/2018 11:57,4.55,-7.97,-4.6,-5.49,-4.91,,,,
8/15/2018 11:57,4.6,-7.5,-4.71,-4.97,-5.21,,,,
8/15/2018 11:57,4.65,-7.94,-4.5,-5.57,-4.62,,,,
8/15/2018 11:57,4.7,-7.92,-4.74,-5.61,-4.85,,,,
8/15/2018 11:57,4.75,-7.87,-4.07,-5.72,-4.78,,,,
