Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/15/2018 11:35,0,-15.55,-17.49,-20,-2.66
8/15/2018 11:35,0.05,-15.85,-20.51,-20.02,-2.95
8/15/2018 11:35,0.1,-15.87,-20.59,-20.14,-3.01
8/15/2018 11:35,0.15,-15.71,-20.61,-20.12,-2.94
8/15/2018 11:35,0.2,-15.64,-20.55,-20,-2.8
8/15/2018 11:35,0.25,-15.61,-20.65,-19.97,-2.68
8/15/2018 11:35,0.3,-15.55,-20.74,-19.93,-2.72
8/15/2018 11:35,0.35,-15.27,-20.73,-19.94,-2.64
8/15/2018 11:35,0.4,-15.18,-20.43,-20.03,-2.56
8/15/2018 11:35,0.45,-15.23,-20.25,-20,-2.7
8/15/2018 11:35,0.5,-15.47,-20.33,-19.99,-2.73
8/15/2018 11:35,0.55,-15.54,-20.37,-19.91,-2.77
8/15/2018 11:35,0.6,-15.51,-20.37,-19.91,-2.77
8/15/2018 11:35,0.65,-15.5,-20.3,-19.98,-2.69
8/15/2018 11:35,0.7,-15.49,-20.39,-20.1,-2.74
8/15/2018 11:35,0.75,-15.45,-20.36,-20.3,-2.77
8/15/2018 11:35,0.8,-15.31,-20.25,-20.34,-2.68
8/15/2018 11:35,0.85,-15.25,-20.2,-20.24,-2.63
8/15/2018 11:35,0.9,-15.17,-20.27,-20.23,-2.63
8/15/2018 11:35,0.95,-15.18,-20.31,-20.22,-2.6
8/15/2018 11:35,1,-15.23,-20.2,-20.1,-2.53
8/15/2018 11:35,1.05,-15.41,-20.23,-20.09,-2.58
8/15/2018 11:35,1.1,-15.41,-20.29,-20.12,-2.74
8/15/2018 11:35,1.15,-15.26,-20.27,-20.14,-2.76
8/15/2018 11:35,1.2,-15.3,-20.25,-20.18,-2.81
8/15/2018 11:35,1.25,-15.39,-20.28,-20.17,-2.95
8/15/2018 11:35,1.3,-15.44,-20.3,-20.08,-3.04
8/15/2018 11:35,1.35,-15.45,-20.21,-20.05,-2.92
8/15/2018 11:35,1.4,-15.49,-20.3,-20.03,-2.73
8/15/2018 11:35,1.45,-15.56,-20.5,-19.9,-2.95
8/15/2018 11:35,1.5,-15.58,-20.34,-19.93,-2.68
8/15/2018 11:35,1.55,-15.7,-20.25,-20.03,-2.7
8/15/2018 11:35,1.6,-15.63,-20.18,-20.07,-2.72
8/15/2018 11:35,1.65,-15.56,-20.23,-20,-2.86
8/15/2018 11:35,1.7,-15.45,-20.25,-19.95,-2.75
8/15/2018 11:35,1.75,-15.47,-19.97,-20.1,-2.57
8/15/2018 11:35,1.8,-15.79,-20.14,-20.18,-2.84
8/15/2018 11:35,1.85,-15.79,-20.42,-20.2,-3.16
8/15/2018 11:35,1.9,-15.72,-20.28,-20.16,-3.11
8/15/2018 11:35,1.95,-15.77,-20.14,-20.18,-3.04
8/15/2018 11:35,2,-15.71,-20.08,-19.94,-3
8/15/2018 11:35,2.05,-15.61,-20.01,-19.85,-2.93
8/15/2018 11:35,2.1,-15.63,-19.96,-19.94,-2.88
8/15/2018 11:35,2.15,-15.83,-20.07,-20.02,-2.94
8/15/2018 11:35,2.2,-15.83,-20.19,-19.94,-2.94
8/15/2018 11:35,2.25,-15.7,-20.17,-19.87,-2.8
8/15/2018 11:35,2.3,-15.56,-19.91,-19.83,-2.56
8/15/2018 11:35,2.35,-15.05,-19.98,-19.58,-2.31
8/15/2018 11:35,2.4,-15.49,-20.37,-20.12,-2.67
8/15/2018 11:35,2.45,-15.87,-20.37,-19.79,-2.63
8/15/2018 11:35,2.5,-16.18,-20.39,-19.36,-2.91
8/15/2018 11:35,2.55,-15.02,-19.8,-19.61,-1.96
8/15/2018 11:35,2.6,-15.27,-20.2,-20.54,-2.47
8/15/2018 11:35,2.65,-15.54,-20.29,-20.14,-2.88
8/15/2018 11:35,2.7,-16.05,-20.94,-20.74,-3.43
8/15/2018 11:35,2.75,-15.65,-20.57,-20.31,-3.09
8/15/2018 11:35,2.8,-15.79,-19.98,-19.8,-2.77
8/15/2018 11:35,2.85,-15.65,-20.01,-19.67,-2.82
8/15/2018 11:35,2.9,-15.9,-20.2,-19.83,-2.88
8/15/2018 11:35,2.95,-15.65,-20.21,-19.94,-2.59
8/15/2018 11:35,3,-15.69,-20.31,-19.82,-2.75
8/15/2018 11:35,3.05,-15.57,-20.41,-19.6,-2.7
8/15/2018 11:35,3.1,-15.75,-6.41,-22.86,-2
8/15/2018 11:35,3.15,-15.67,-20.67,-18.93,-1.48
8/15/2018 11:35,3.2,-14.74,-20.62,-17.5,0.38
8/15/2018 11:35,3.25,-16.32,-19.02,-21.09,12.14
8/15/2018 11:35,3.3,-14.57,-12.29,-19.82,15.64
8/15/2018 11:35,3.35,-13.61,-9.78,-18.63,22.56
8/15/2018 11:35,3.4,6.98,-12.46,-17.52,26.15
8/15/2018 11:35,3.45,3.95,-15.54,-10.33,10.59
8/15/2018 11:35,3.5,-2.05,-15.82,-15.73,38.88
8/15/2018 11:35,3.55,8.81,-15.93,8.88,9.98
8/15/2018 11:35,3.6,6.67,-16.2,16.23,11.12
8/15/2018 11:35,3.65,11.04,-16.12,17.16,9.9
8/15/2018 11:35,3.7,15,-16.07,11.83,11.92
8/15/2018 11:35,3.75,16.05,-16.4,15.89,4.98
8/15/2018 11:35,3.8,16.38,-16.55,16.08,3.29
8/15/2018 11:35,3.85,17.51,-16.43,11.1,6.4
8/15/2018 11:35,3.9,20.17,-16.5,11.64,3.67
8/15/2018 11:35,3.95,19.34,-16.64,11.57,3.44
8/15/2018 11:35,4,17.8,-16.53,6.51,7.43
8/15/2018 11:35,4.05,18.54,-16.6,3.12,8.21
8/15/2018 11:35,4.1,17.84,-16.77,5.76,5.53
8/15/2018 11:35,4.15,17.57,-16.65,2.09,7.76
8/15/2018 11:35,4.2,17.16,-16.49,-5.31,12.52
8/15/2018 11:35,4.25,17.81,-16.37,-7.46,12.71
8/15/2018 11:35,4.3,16.86,-16.48,-3.59,10.4
8/15/2018 11:35,4.35,13.73,-16.64,1.75,9.26
8/15/2018 11:35,4.4,11.73,-16.72,9.46,7.99
8/15/2018 11:35,4.45,11.89,-16.83,22.79,3.13
8/15/2018 11:35,4.5,10.63,-17.29,31.09,-1.42
8/15/2018 11:35,4.55,10.11,-17.57,33.54,-1.14
8/15/2018 11:35,4.6,14.27,-17.5,36.64,-1.12
8/15/2018 11:35,4.65,18.01,-17.15,32.59,-1.51
8/15/2018 11:35,4.7,20.96,-16.98,25.54,-1.94
8/15/2018 11:35,4.75,21.35,-16.93,22.44,-2.11
8/15/2018 11:35,4.8,24.34,-16.46,-2.72,13.43
8/15/2018 11:35,4.85,24.4,-16.56,3.23,2.54
8/15/2018 11:35,4.9,17.25,-16.95,4.93,4.77
8/15/2018 11:35,4.95,18.15,-17.22,2.8,3.64
8/15/2018 11:35,5,19.01,-17.27,-1.28,5.1
8/15/2018 11:35,5.05,18.27,-17.46,1.46,2.85
8/15/2018 11:35,5.1,16.28,-17.4,0.41,3.55
8/15/2018 11:35,5.15,16.75,-17.09,-6.17,6.74
8/15/2018 11:35,5.2,16.19,-16.9,-11.61,10.21
8/15/2018 11:35,5.25,16.72,-16.81,-13.95,10.15
8/15/2018 11:35,5.3,11.75,-15.06,-14.72,9.84
8/15/2018 11:35,5.35,8.18,-12.83,-15.09,9.87
8/15/2018 11:35,5.4,8.76,-16.52,-15.32,10.69
8/15/2018 11:35,5.45,3.19,-12.75,-15.91,9.84
8/15/2018 11:35,5.5,1.41,-10.82,-16.02,8.76
8/15/2018 11:35,5.55,4.65,-16.32,-15.77,10.14
8/15/2018 11:35,5.6,3.01,-17.47,-15.69,10.39
8/15/2018 11:35,5.65,-0.76,-15.91,-16.1,8.12
8/15/2018 11:35,5.7,-3.15,-15.03,-16.3,5.42
8/15/2018 11:35,5.75,-7.93,-18.25,-17.04,5.03
8/15/2018 11:35,5.8,-15.86,-17.37,-18.19,3.13
8/15/2018 11:35,5.85,-15.74,-19.93,-19.05,0.7
8/15/2018 11:35,5.9,-15.65,-20.57,-19.76,-3.46
8/15/2018 11:35,5.95,-15.68,-20.64,-20.01,-3.58
8/15/2018 11:35,6,-15.69,-20.44,-19.83,-3.66
8/15/2018 11:35,6.05,-15.54,-20.08,-19.67,-3.57
8/15/2018 11:35,6.1,-15.52,-19.91,-19.63,-3.5
8/15/2018 11:35,6.15,-15.65,-19.9,-19.67,-3.55
8/15/2018 11:35,6.2,-15.99,-20.02,-19.46,-3.59
8/15/2018 11:35,6.25,-16,-20.01,-19.52,-3.61
8/15/2018 11:35,6.3,-15.72,-19.97,-19.58,-3.39
8/15/2018 11:35,6.35,-15.99,-20.12,-19.48,-3.46
8/15/2018 11:35,6.4,-15.75,-20.12,-19.54,-3.51
8/15/2018 11:35,6.45,-15.75,-20.09,-19.4,-3.5
8/15/2018 11:35,6.5,-15.77,-20.02,-19.38,-3.44
8/15/2018 11:35,6.55,-15.76,-20.11,-19.44,-3.44
8/15/2018 11:35,6.6,-15.69,-20.09,-19.47,-3.5
8/15/2018 11:35,6.65,-15.64,-20.02,-19.58,-3.47
8/15/2018 11:35,6.7,-15.65,-20.11,-19.61,-3.45
8/15/2018 11:35,6.75,-15.54,-20.19,-19.62,-3.49
8/15/2018 11:35,6.8,-15.36,-20.12,-19.6,-3.38
8/15/2018 11:35,6.85,-15.36,-20.03,-19.66,-3.31
8/15/2018 11:35,6.9,-15.4,-20.01,-19.65,-3.35
8/15/2018 11:35,6.95,-15.36,-20.08,-19.68,-3.35
8/15/2018 11:35,7,-15.43,-19.99,-19.79,-3.34
8/15/2018 11:35,7.05,-15.45,-19.87,-19.8,-3.33
8/15/2018 11:35,7.1,-15.38,-19.85,-19.86,-3.2
8/15/2018 11:35,7.15,-15.32,-19.85,-19.91,-3.17
8/15/2018 11:35,7.2,-15.34,-19.85,-20.01,-3.21
8/15/2018 11:35,7.25,-15.24,-19.75,-20,-3.21
8/15/2018 11:35,7.3,-15.18,-19.69,-19.94,-3.15
8/15/2018 11:35,7.35,-15.34,-19.74,-19.91,-3.18
8/15/2018 11:35,7.4,-15.59,-19.75,-19.94,-3.39
8/15/2018 11:35,7.45,-15.6,-20.01,-20.01,-3.62
8/15/2018 11:35,7.5,-15.34,-19.9,-19.76,-3.47
8/15/2018 11:35,7.55,-15.48,-19.84,-19.89,-3.38
8/15/2018 11:35,7.6,-15.69,-20.01,-19.83,-3.44
8/15/2018 11:35,7.65,-15.75,-20.11,-19.71,-3.41
8/15/2018 11:35,7.7,-15.46,-20.07,-19.58,-3.31
8/15/2018 11:35,7.75,-15.5,-19.89,-19.6,-3.21
8/15/2018 11:35,7.8,-15.69,-19.79,-19.67,-3.27
8/15/2018 11:35,7.85,-15.58,-19.8,-19.5,-3.38
8/15/2018 11:35,7.9,-15.55,-19.83,-19.34,-3.38
8/15/2018 11:35,7.95,-15.86,-19.88,-19.74,-3.55
