Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
1/1/2009 0:59,0,0.09,-0.11,0.16,3.13
1/1/2009 0:59,0.05,0.12,-0.2,0.09,3.86
1/1/2009 0:59,0.1,0.1,-0.11,0.14,3.3
1/1/2009 0:59,0.15,0.12,-0.2,0.11,3.68
1/1/2009 0:59,0.2,0.1,-0.13,0.17,3.36
1/1/2009 0:59,0.25,0.13,-0.21,0.13,2.94
1/1/2009 0:59,0.3,0.11,-0.1,0.14,2.54
1/1/2009 0:59,0.35,0.13,-0.08,0.45,2.75
1/1/2009 0:59,0.4,-0.1,2.11,4.43,3.41
1/1/2009 0:59,0.45,-0.32,1.24,8.04,3.87
1/1/2009 0:59,0.5,-0.33,3.05,3.99,3.88
1/1/2009 0:59,0.55,-0.29,3.71,3.13,3.66
1/1/2009 0:59,0.6,-0.3,4.18,5.56,3.64
1/1/2009 0:59,0.65,0.35,7.36,7.96,4.24
1/1/2009 0:59,0.7,0.39,15.3,12.31,5.88
1/1/2009 0:59,0.75,0.05,20.29,19.74,8.94
1/1/2009 0:59,0.8,-0.02,25.47,28.38,20.1
1/1/2009 0:59,0.85,7.87,38.21,32.2,16.85
1/1/2009 0:59,0.9,17.23,55.9,41.26,21.82
1/1/2009 0:59,0.95,30.61,72.84,51.26,31.45
1/1/2009 0:59,1,38.68,93.79,54.26,40.83
1/1/2009 0:59,1.05,41.93,100,69.95,53.68
1/1/2009 0:59,1.1,45.97,100,100,100
1/1/2009 0:59,1.15,50.69,100,100,100
1/1/2009 0:59,1.2,50.85,100,100,100
1/1/2009 0:59,1.25,49.93,100,100,100
1/1/2009 0:59,1.3,48.24,100,100,100
1/1/2009 0:59,1.35,38.07,100,100,100
1/1/2009 0:59,1.4,35.81,100,100,100
1/1/2009 0:59,1.45,36.39,100,100,68.51
1/1/2009 0:59,1.5,29.31,45,55.72,18.41
1/1/2009 0:59,1.55,0.56,-8.22,-6.92,-2.78
1/1/2009 0:59,1.6,-0.96,-5.96,-9.16,-1.4
1/1/2009 0:59,1.65,-0.73,-5.87,-8.6,-1.65
1/1/2009 0:59,1.7,-0.38,-6.26,-8.55,-0.98
1/1/2009 0:59,1.75,-0.13,-6.32,-7.94,-0.57
1/1/2009 0:59,1.8,0.04,-6.47,-7.69,-1.21
1/1/2009 0:59,1.85,-1.19,-6.58,-7.51,-1.04
1/1/2009 0:59,1.9,-1.33,-6.47,-7.25,-2.49
1/1/2009 0:59,1.95,-2.13,-6.5,-7.11,-2.25
1/1/2009 0:59,2,-2.37,-6.5,-7.17,-2.16
1/1/2009 0:59,2.05,-3.07,1.34,-8.72,-2.49
1/1/2009 0:59,2.1,-3.17,-2.53,-7.66,-1.75
1/1/2009 0:59,2.15,-0.39,-2.14,-8.58,-1.98
1/1/2009 0:59,2.2,5.7,0.3,-7.59,-2.1
1/1/2009 0:59,2.25,2.91,-3.95,-5.5,34.52
1/1/2009 0:59,2.3,4.28,-2.58,-0.84,22.08
1/1/2009 0:59,2.35,8.32,-0.86,-3.59,23.56
1/1/2009 0:59,2.4,15.06,15.1,-2.83,27.73
1/1/2009 0:59,2.45,23.06,32.26,-0.52,33.34
1/1/2009 0:59,2.5,23.07,30.1,2.84,100
1/1/2009 0:59,2.55,20.22,55.44,27.52,100
1/1/2009 0:59,2.6,23.18,100,50.51,100
1/1/2009 0:59,2.65,40.96,100,65.54,100
1/1/2009 0:59,2.7,39.07,100,100,100
1/1/2009 0:59,2.75,30.01,100,100,100
1/1/2009 0:59,2.8,21.03,100,100,100
1/1/2009 0:59,2.85,12.19,100,100,100
1/1/2009 0:59,2.9,11.13,100,100,100
1/1/2009 0:59,2.95,9.16,100,100,100
1/1/2009 0:59,3,7.15,100,100,100
1/1/2009 0:59,3.05,8.34,26.47,51.37,50.28
1/1/2009 0:59,3.1,4.34,-4.14,-5.48,6.8
1/1/2009 0:59,3.15,-1.28,-7.65,-9.91,2.3
1/1/2009 0:59,3.2,-1.42,-6.46,-9.51,3.43
1/1/2009 0:59,3.25,-1.46,-7.25,-9.85,2.46
1/1/2009 0:59,3.3,-1.11,-7.06,-9.25,3.82
1/1/2009 0:59,3.35,-0.71,-6.69,-8.8,3.31
1/1/2009 0:59,3.4,-0.21,-6.82,-8.46,2.4
1/1/2009 0:59,3.45,0.06,-6.46,-8.12,3.19
1/1/2009 0:59,3.5,-1.5,-6.78,-7.97,2.53
1/1/2009 0:59,3.55,-1.71,-7.19,-8.35,2.57
1/1/2009 0:59,3.6,-1.65,-7.23,-8.19,3
1/1/2009 0:59,3.65,-3.87,-2.58,-8.79,3.91
1/1/2009 0:59,3.7,-3.04,-1.78,-9.26,5.04
1/1/2009 0:59,3.75,2.37,3.15,-8.92,3.99
1/1/2009 0:59,3.8,9.28,6.47,-7.69,2.67
1/1/2009 0:59,3.85,9.42,11.86,-7.24,3.14
1/1/2009 0:59,3.9,11.56,21.91,-4.13,0.24
1/1/2009 0:59,3.95,9.98,26.55,39.41,13.97
1/1/2009 0:59,4,10.94,48.74,22.27,25.46
1/1/2009 0:59,4.05,29.16,61.91,39.89,13.62
1/1/2009 0:59,4.1,32.84,75.67,63.9,53.3
1/1/2009 0:59,4.15,61.7,100,92.4,81.23
1/1/2009 0:59,4.2,64.21,100,100,100
1/1/2009 0:59,4.25,63.8,100,100,100
1/1/2009 0:59,4.3,73.27,100,100,100
1/1/2009 0:59,4.35,73.15,100,100,100
1/1/2009 0:59,4.4,56.52,100,100,100
1/1/2009 0:59,4.45,50.26,100,100,100
1/1/2009 0:59,4.5,51.46,100,100,100
1/1/2009 0:59,4.55,47.55,100,100,100
1/1/2009 0:59,4.6,42.14,100,100,100
1/1/2009 0:59,4.65,41.49,74.41,53.42,100
1/1/2009 0:59,4.7,3.72,1.05,3.19,42.79
1/1/2009 0:59,4.75,-3.28,-8.14,-9.85,3
1/1/2009 0:59,4.8,-2.99,-7.98,-10.45,3.63
1/1/2009 0:59,4.85,-3.11,-7.72,-11.13,3.99
1/1/2009 0:59,4.9,-2.99,-7.49,-10.82,4.28
1/1/2009 0:59,4.95,-2.87,-6.96,-9.8,3.86
1/1/2009 0:59,5,-2.77,-6.58,-9.41,4.12
1/1/2009 0:59,5.05,-2.8,-7.07,-9.4,3.03
1/1/2009 0:59,5.1,-2.72,-7.39,-9.03,3.89
1/1/2009 0:59,5.15,-2.64,-7.41,-8.83,2.89
1/1/2009 0:59,5.2,-2.58,-7.68,-8.84,2.87
1/1/2009 0:59,5.25,-2.47,-7.24,-8.76,3.31
1/1/2009 0:59,5.3,-2.52,21.38,-10.44,10.42
1/1/2009 0:59,5.35,5.47,2.81,-10.37,3.48
1/1/2009 0:59,5.4,4.94,1.04,-8.18,3.13
1/1/2009 0:59,5.45,6.6,13.82,-8.21,4.37
1/1/2009 0:59,5.5,11.93,19.23,-5.64,2.62
1/1/2009 0:59,5.55,23.97,25.28,-3.16,0.23
1/1/2009 0:59,5.6,34.96,16.74,0.89,53.63
1/1/2009 0:59,5.65,33.84,16.19,22.77,68.37
1/1/2009 0:59,5.7,61.16,42.96,16.56,74.91
1/1/2009 0:59,5.75,69.07,67.26,51.17,100
1/1/2009 0:59,5.8,65.22,83.55,100,100
1/1/2009 0:59,5.85,68.01,100,100,100
1/1/2009 0:59,5.9,78.87,100,100,100
1/1/2009 0:59,5.95,84.43,100,100,100
1/1/2009 0:59,6,83.96,100,100,100
1/1/2009 0:59,6.05,80.96,100,100,100
1/1/2009 0:59,6.1,79.05,100,100,100
1/1/2009 0:59,6.15,76.8,100,100,100
1/1/2009 0:59,6.2,74.79,100,100,100
1/1/2009 0:59,6.25,72.76,100,100,100
1/1/2009 0:59,6.3,68.49,78.94,100,100
1/1/2009 0:59,6.35,27.95,9.83,36.22,51.61
1/1/2009 0:59,6.4,-0.33,-8.13,-8.07,2.61
1/1/2009 0:59,6.45,-0.87,-7,-9.98,-2.14
1/1/2009 0:59,6.5,-1.14,-6.6,-10.67,-3.28
1/1/2009 0:59,6.55,-1.02,-6.7,-10.7,-0.32
1/1/2009 0:59,6.6,-0.79,-6.79,-9.7,-0.93
1/1/2009 0:59,6.65,-0.65,-6.89,-9.13,-0.57
1/1/2009 0:59,6.7,-0.58,-6.93,-8.96,-0.29
1/1/2009 0:59,6.75,-0.46,-7.08,-8.6,-0.35
1/1/2009 0:59,6.8,-0.44,-7.03,-8.32,-0.24
1/1/2009 0:59,6.85,-0.28,-7.24,-8.05,-0.33
1/1/2009 0:59,6.9,-0.52,-7.17,-8.23,-0.25
1/1/2009 0:59,6.95,-1.23,-7.04,-7.9,0.37
1/1/2009 0:59,7,-2.32,-6.87,-7.7,0.48
1/1/2009 0:59,7.05,-2.38,16.02,-8.66,4.22
1/1/2009 0:59,7.1,8.51,11.54,-5.18,-2.41
1/1/2009 0:59,7.15,12.64,11.88,-3.2,-4.54
1/1/2009 0:59,7.2,12.42,22.44,-2,-4.19
1/1/2009 0:59,7.25,13.61,27.25,-1.23,-4.66
1/1/2009 0:59,7.3,26.76,38.97,0.05,-5.97
1/1/2009 0:59,7.35,33.56,56.2,1.45,-6.84
1/1/2009 0:59,7.4,42.12,71.18,2.91,-7.49
1/1/2009 0:59,7.45,40,61.92,54.2,30.83
1/1/2009 0:59,7.5,39.6,75.5,61.13,63.97
1/1/2009 0:59,7.55,62.43,100,75.25,100
1/1/2009 0:59,7.6,69.72,100,100,100
1/1/2009 0:59,7.65,65.62,99.46,100,100
1/1/2009 0:59,7.7,100,100,100,100
1/1/2009 0:59,7.75,100,100,100,100
1/1/2009 0:59,7.8,100,100,100,100
1/1/2009 0:59,7.85,100,100,100,100
1/1/2009 0:59,7.9,100,100,100,100
1/1/2009 0:59,7.95,100,100,100,100
1/1/2009 0:59,8,98.96,100,100,100
1/1/2009 0:59,8.05,46.52,54.11,43.05,100
1/1/2009 0:59,8.1,-1.63,-7.24,-9.83,-3.91
1/1/2009 0:59,8.15,-1.89,-6.8,-8.69,-6.46
1/1/2009 0:59,8.2,-1.73,-5.39,-8.79,-4.49
1/1/2009 0:59,8.25,-1.58,-5.91,-9.26,-2.91
1/1/2009 0:59,8.3,-1.41,-5.78,-8.81,-3.22
1/1/2009 0:59,8.35,-1.2,-5.78,-8.43,-3.06
1/1/2009 0:59,8.4,-1.07,-5.84,-7.94,-3.64
1/1/2009 0:59,8.45,-1.02,-6.1,-7.67,-4.4
1/1/2009 0:59,8.5,-0.95,-6.07,-7.48,-3.81
1/1/2009 0:59,8.55,-0.91,-5.92,-7.04,-4.62
1/1/2009 0:59,8.6,-0.83,-5.82,-7.26,-2.72
1/1/2009 0:59,8.65,-0.78,-6,-6.83,-1.52
1/1/2009 0:59,8.7,-1.77,-5.79,-6.86,-3.58
1/1/2009 0:59,8.75,-1.75,-6.07,-6.91,-3.03
1/1/2009 0:59,8.8,2.16,0.81,-7.2,-1.55
1/1/2009 0:59,8.85,5.33,2.33,-5.53,-4.55
1/1/2009 0:59,8.9,10.34,6.4,-4.45,-4.73
1/1/2009 0:59,8.95,11.75,12.88,-2.57,-7.12
1/1/2009 0:59,9,8.75,11.91,38.52,31.29
1/1/2009 0:59,9.05,13.27,36.32,45.06,36.98
1/1/2009 0:59,9.1,32.14,50.2,50.7,14.92
1/1/2009 0:59,9.15,29.99,50.47,66.75,35.57
1/1/2009 0:59,9.2,25.62,46.73,88.08,48.3
1/1/2009 0:59,9.25,25.47,74.58,82.47,57.26
1/1/2009 0:59,9.3,26,100,100,100
1/1/2009 0:59,9.35,26.78,100,100,100
1/1/2009 0:59,9.4,25.45,100,100,100
1/1/2009 0:59,9.45,27.01,100,100,100
1/1/2009 0:59,9.5,23.34,100,100,100
1/1/2009 0:59,9.55,22.46,100,100,100
1/1/2009 0:59,9.6,20.91,100,100,100
1/1/2009 0:59,9.65,18.74,100,100,100
1/1/2009 0:59,9.7,20.05,95.67,84.11,100
1/1/2009 0:59,9.75,18.81,45.09,41.48,38.29
1/1/2009 0:59,9.8,8.37,20.32,7.27,7.18
1/1/2009 0:59,9.85,-0.19,10.66,-1.64,0.63
1/1/2009 0:59,9.9,-3.16,3.68,3.08,6.51
1/1/2009 0:59,9.95,-3.17,-0.55,3.04,11.33
1/1/2009 0:59,10,-2.59,3.69,2.59,2.81
1/1/2009 0:59,10.05,-1.51,2.89,0.35,0.79
1/1/2009 0:59,10.1,-0.32,0.92,-0.17,0.31
1/1/2009 0:59,10.15,-1.14,0.65,0.57,0.04
1/1/2009 0:59,10.2,-1.26,0.87,0.48,0.22
1/1/2009 0:59,10.25,-1.25,1.14,0.41,0.35
1/1/2009 0:59,10.3,-1.15,0.76,0.4,0.08
1/1/2009 0:59,10.35,-1.38,1.06,0.84,0.87
1/1/2009 0:59,10.4,-1.46,0.9,0.62,1.04
1/1/2009 0:59,10.45,-1.29,1.04,0.66,0.56
1/1/2009 0:59,10.5,-1.34,0.98,0.69,-0.24
1/1/2009 0:59,10.55,-1.45,1.12,0.75,0.47
1/1/2009 0:59,10.6,-1.39,0.9,0.67,0.48
1/1/2009 0:59,10.65,-1.41,1.13,0.73,0.56
1/1/2009 0:59,10.7,-1.42,0.93,0.64,0.48
1/1/2009 0:59,10.75,-1.43,1.08,0.8,0.95
1/1/2009 0:59,10.8,-1.37,0.96,0.66,0.83
1/1/2009 0:59,10.85,-1.45,1.15,0.74,0.81
1/1/2009 0:59,10.9,-1.4,0.89,0.7,-0.11
1/1/2009 0:59,10.95,-1.43,1.2,0.69,-0.3
1/1/2009 0:59,11,-1.44,1.05,0.68,-0.1
1/1/2009 0:59,11.05,-1.46,1.14,0.82,-0.05
1/1/2009 0:59,11.1,-1.64,1.01,0.99,0.67
