Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
9/13/2018 12:41,0,-6.44,4.2,-2.92,0.18,,,,
9/13/2018 12:41,0.05,-3.68,2.48,-4.13,0.01,,,,
9/13/2018 12:41,0.1,-2.78,3.32,-6.79,-0.23,,,,
9/13/2018 12:41,0.15,-3.69,4.55,-9.4,-0.34,,,,
9/13/2018 12:41,0.2,-3.14,2.33,-4.94,0,,,,
9/13/2018 12:41,0.25,-5.25,2.93,-0.9,0.38,,,,
9/13/2018 12:41,0.3,-0.35,3.78,-3.37,0.21,,,,
9/13/2018 12:41,0.35,2,3.6,4.82,0.53,,,,
9/13/2018 12:41,0.4,3.12,3.25,1.93,0.39,,,,
9/13/2018 12:41,0.45,5.26,5.14,8.47,0.91,,,,
9/13/2018 12:41,0.5,4.09,9.1,11.73,2.06,,,,
9/13/2018 12:41,0.55,12.66,10.59,9.67,0.97,,,,
9/13/2018 12:41,0.6,13.22,13.9,21.24,6.61,,,,
9/13/2018 12:41,0.65,15.98,18.05,32.92,24.25,,,,
9/13/2018 12:41,0.7,25.26,28.2,32.16,19.62,,,,
9/13/2018 12:41,0.75,26.19,32.23,27.19,33.61,,,,
9/13/2018 12:41,0.8,27.6,40.73,22.23,29.44,,,,
9/13/2018 12:41,0.85,27.16,42.99,20.47,33.8,,,,
9/13/2018 12:41,0.9,37.12,50.55,24.16,36.49,,,,
9/13/2018 12:41,0.95,42.38,51.47,34.54,29.7,,,,
9/13/2018 12:41,1,50.67,56.4,30.98,29.38,,,,
9/13/2018 12:41,1.05,59.56,54.11,35.25,21.6,,,,
9/13/2018 12:41,1.1,63.55,54.16,44.32,13.11,,,,
9/13/2018 12:41,1.15,70.54,49.69,42.78,16.44,,,,
9/13/2018 12:41,1.2,81.47,62.14,51.39,16.46,,,,
9/13/2018 12:41,1.25,86.13,66.13,55.77,19.72,,,,
9/13/2018 12:41,1.3,89.75,67.05,52.78,30.69,,,,
9/13/2018 12:41,1.35,91.49,70.07,56.51,28.7,,,,
9/13/2018 12:41,1.4,93.28,71.98,54.67,34.7,,,,
9/13/2018 12:41,1.45,94.73,76.27,48.95,33.18,,,,
9/13/2018 12:41,1.5,87.86,67.62,51.27,28.28,,,,
9/13/2018 12:41,1.55,85.81,68.36,42.53,27.72,,,,
9/13/2018 12:41,1.6,83.94,70.7,40.5,29.43,,,,
9/13/2018 12:41,1.65,82.57,73.68,33.66,29.94,,,,
9/13/2018 12:41,1.7,88.35,75.14,32.56,31.3,,,,
9/13/2018 12:41,1.75,93.6,79.35,28.28,32.84,,,,
9/13/2018 12:41,1.8,95.51,80.7,25.01,33.24,,,,
9/13/2018 12:41,1.85,94.11,84.1,22.47,34.59,,,,
9/13/2018 12:41,1.9,86.87,87.27,17.4,38,,,,
9/13/2018 12:41,1.95,83.06,87.1,16.97,34.97,,,,
9/13/2018 12:41,2,77.26,86.77,13.58,36.15,,,,
9/13/2018 12:41,2.05,67.62,80.61,14.51,34.13,,,,
9/13/2018 12:41,2.1,66.51,75.93,12.02,32.68,,,,
9/13/2018 12:41,2.15,54.61,70.15,12.6,31.11,,,,
9/13/2018 12:41,2.2,45.34,65.75,7.68,33.57,,,,
9/13/2018 12:41,2.25,37.6,51.83,10.84,24.7,,,,
9/13/2018 12:41,2.3,30.09,52.97,3.38,22.81,,,,
9/13/2018 12:41,2.35,15.25,34.84,7.81,25.92,,,,
9/13/2018 12:41,2.4,12.58,27.48,3.68,17.69,,,,
9/13/2018 12:41,2.45,0.97,14.87,4.73,13.63,,,,
9/13/2018 12:41,2.5,-2.65,9.32,2.06,8.09,,,,
9/13/2018 12:41,2.55,-7.76,-6.36,-3.36,7.86,,,,
9/13/2018 12:41,2.6,-9.08,-9.72,-11.93,9.5,,,,
9/13/2018 12:41,2.65,-10.25,-19.29,-22.08,6.29,,,,
9/13/2018 12:41,2.7,-9.41,-19.13,-22.48,3.96,,,,
9/13/2018 12:41,2.75,-9.6,-20.22,-23.11,-4,,,,
9/13/2018 12:41,2.8,-9.8,-19.05,-23.19,-3.14,,,,
9/13/2018 12:41,2.85,-10.21,-19.53,-23.26,-2.83,,,,
9/13/2018 12:41,2.9,-9.3,-19.07,-23.03,-2.45,,,,
9/13/2018 12:41,2.95,-9.69,-19.32,-23.19,-2.68,,,,
9/13/2018 12:41,3,-10.25,-19.4,-22.59,-2.93,,,,
9/13/2018 12:41,3.05,-9.93,-20.46,-23.09,-2.82,,,,
9/13/2018 12:41,3.1,-9.82,-19.75,-22.8,-3.1,,,,
9/13/2018 12:41,3.15,-10.4,-18.96,-22.04,-3.05,,,,
9/13/2018 12:41,3.2,-10.06,-18.89,-22.39,-2.64,,,,
9/13/2018 12:41,3.25,-10.36,-19.05,-22.35,-2.83,,,,
9/13/2018 12:41,3.3,-10.46,-19.56,-22.11,-3.08,,,,
9/13/2018 12:41,3.35,-10.28,-19.39,-22.19,-3.07,,,,
9/13/2018 12:41,3.4,-10.53,-19,-21.96,-2.93,,,,
9/13/2018 12:41,3.45,-10.33,-19.18,-22.01,-2.89,,,,
9/13/2018 12:41,3.5,-10.77,-19.05,-21.85,-3.35,,,,
9/13/2018 12:41,3.55,-10.34,-19.16,-22.2,-3,,,,
9/13/2018 12:41,3.6,-9.87,-19.58,-22.21,-3.09,,,,
9/13/2018 12:41,3.65,8.77,-19.26,-22.24,-3.31,,,,
9/13/2018 12:41,3.7,-6.97,-17.56,-22.01,-5.22,,,,
9/13/2018 12:41,3.75,-7.09,-17.16,-21.78,-4.97,,,,
9/13/2018 12:41,3.8,-1.41,-8.6,-21.11,-4.69,,,,
9/13/2018 12:41,3.85,-3.52,-6.51,-22.63,-3.78,,,,
9/13/2018 12:41,3.9,2.43,-8.69,-21.89,-3.81,,,,
9/13/2018 12:41,3.95,2.94,-3.37,-21.79,-3.59,,,,
9/13/2018 12:42,4,0.34,1.48,-22.35,-3.15,,,,
9/13/2018 12:42,4.05,2.88,0.89,-21.99,-3.49,,,,
9/13/2018 12:42,4.1,6.69,-5.9,-20.99,-4.34,,,,
9/13/2018 12:42,4.15,-6.81,-13.16,0.76,24.65,,,,
9/13/2018 12:42,4.2,5.05,-1.76,-12.07,13.29,,,,
9/13/2018 12:42,4.25,7.77,3.75,-8.2,9.79,,,,
9/13/2018 12:42,4.3,-1.68,-6.22,4.2,26.39,,,,
9/13/2018 12:42,4.35,4.84,1.74,-0.86,28.02,,,,
9/13/2018 12:42,4.4,6.37,6.93,-4.36,32.85,,,,
9/13/2018 12:42,4.45,6.64,6.07,-6.03,32.58,,,,
9/13/2018 12:42,4.5,6.41,7.08,2.05,32.95,,,,
9/13/2018 12:42,4.55,9.82,13.12,-2.86,33.38,,,,
9/13/2018 12:42,4.6,10.9,15.76,-9.96,41.32,,,,
9/13/2018 12:42,4.65,11.56,16.49,-5.9,37.47,,,,
9/13/2018 12:42,4.7,16.95,18.4,-5.99,35.01,,,,
9/13/2018 12:42,4.75,26.81,18.96,5.63,32.72,,,,
9/13/2018 12:42,4.8,31.8,21.37,7.37,28.06,,,,
9/13/2018 12:42,4.85,30.9,23.22,6.72,34.6,,,,
9/13/2018 12:42,4.9,33.67,27.24,7.84,39.69,,,,
9/13/2018 12:42,4.95,40.45,32.49,11.58,32.84,,,,
9/13/2018 12:42,5,44.43,32.66,12.22,33.91,,,,
9/13/2018 12:42,5.05,51.35,34.83,18.18,32.15,,,,
9/13/2018 12:42,5.1,61.66,47.01,20,35.15,,,,
9/13/2018 12:42,5.15,58.18,46.95,18.66,42.16,,,,
9/13/2018 12:42,5.2,63.98,57.17,22.12,38.33,,,,
9/13/2018 12:42,5.25,67.35,61.23,25.8,49.32,,,,
9/13/2018 12:42,5.3,65.36,63.55,18.7,47.09,,,,
9/13/2018 12:42,5.35,60.53,63.41,19.64,52.3,,,,
9/13/2018 12:42,5.4,63.77,68.52,14.96,53.2,,,,
9/13/2018 12:42,5.45,61.18,70.98,12.57,57.63,,,,
9/13/2018 12:42,5.5,59.63,69.58,14.08,57.56,,,,
9/13/2018 12:42,5.55,62.3,73.31,20.68,52.07,,,,
9/13/2018 12:42,5.6,64.82,68.36,19.86,47.23,,,,
9/13/2018 12:42,5.65,56.45,61.93,25.36,41.73,,,,
9/13/2018 12:42,5.7,43.91,43.57,16.56,44.86,,,,
9/13/2018 12:42,5.75,42.36,39.9,20.52,27.71,,,,
9/13/2018 12:42,5.8,28.49,24.83,16.89,30.06,,,,
9/13/2018 12:42,5.85,25.81,20.12,14.56,21.68,,,,
9/13/2018 12:42,5.9,21.72,17.76,15.62,21.72,,,,
9/13/2018 12:42,5.95,10.79,7.73,10.53,21.28,,,,
9/13/2018 12:42,6,7.45,5.59,5.42,21.71,,,,
9/13/2018 12:42,6.05,-8.81,-8.37,-12.6,17.48,,,,
9/13/2018 12:42,6.1,-10.29,-16.03,-21.44,12.06,,,,
9/13/2018 12:42,6.15,-9.81,-19.31,-22.34,5.1,,,,
9/13/2018 12:42,6.2,-9.47,-20.17,-22.64,-2.92,,,,
9/13/2018 12:42,6.25,-9.72,-19.87,-22.72,-3.33,,,,
9/13/2018 12:42,6.3,-10.13,-19.53,-22.82,-3.15,,,,
9/13/2018 12:42,6.35,-9.84,-18.78,-22.82,-2.9,,,,
9/13/2018 12:42,6.4,-10.76,-19.4,-22.56,-2.92,,,,
9/13/2018 12:42,6.45,-10.5,-19.72,-22.48,-3.11,,,,
9/13/2018 12:42,6.5,-10.6,-19.52,-22.39,-3,,,,
9/13/2018 12:42,6.55,-10.38,-19.65,-22.4,-2.93,,,,
9/13/2018 12:42,6.6,-10.25,-19.49,-21.94,-2.93,,,,
9/13/2018 12:42,6.65,-10.21,-19.47,-21.82,-2.9,,,,
9/13/2018 12:42,6.7,-10.4,-19.25,-21.77,-2.92,,,,
9/13/2018 12:42,6.75,-10.83,-19.48,-21.88,-3.13,,,,
9/13/2018 12:42,6.8,-10.13,-19.39,-21.71,-2.65,,,,
9/13/2018 12:42,6.85,-10.43,-19.47,-21.76,-2.94,,,,
9/13/2018 12:42,6.9,-10.42,-19.45,-21.94,-2.97,,,,
9/13/2018 12:42,6.95,-10.15,-19.12,-21.87,-2.9,,,,
9/13/2018 12:42,7,-10.2,-19.37,-21.94,-3.09,,,,
9/13/2018 12:42,7.05,-10.39,-19.5,-22.16,-3.25,,,,
9/13/2018 12:42,7.1,-10.23,-19.38,-22.18,-3.08,,,,
9/13/2018 12:42,7.15,-0.29,-18.33,-19.69,-6.03,,,,
9/13/2018 12:42,7.2,-4.52,-15.57,-22.37,-4.77,,,,
9/13/2018 12:42,7.25,-3.08,-14.76,-21.89,-4.53,,,,
9/13/2018 12:42,7.3,1.76,-4.98,-21.27,-3.96,,,,
9/13/2018 12:42,7.35,-0.64,1,-21.48,-3.79,,,,
9/13/2018 12:42,7.4,3.33,2.57,-21.95,-3.76,,,,
9/13/2018 12:42,7.45,7.44,-1.11,-21.6,-3.96,,,,
9/13/2018 12:42,7.5,6.51,-2.5,-21.13,-4.22,,,,
9/13/2018 12:42,7.55,5.01,1.23,-21.04,-4.08,,,,
9/13/2018 12:42,7.6,6.81,2.36,-21.11,-3.84,,,,
9/13/2018 12:42,7.65,7.21,3.39,-20.64,-3.95,,,,
9/13/2018 12:42,7.7,7.58,5.94,-11.94,-8.36,,,,
9/13/2018 12:42,7.75,-7.06,-4.28,-7.99,36.88,,,,
9/13/2018 12:42,7.8,6.13,3.43,-8.22,9.13,,,,
9/13/2018 12:42,7.85,12.96,9.99,-8.1,-0.83,,,,
9/13/2018 12:42,7.9,10.03,0.64,2.12,-0.73,,,,
9/13/2018 12:42,7.95,10.49,2.58,2.96,-0.4,,,,
9/13/2018 12:42,8,7.97,5.13,3.22,5.28,,,,
9/13/2018 12:42,8.05,10.46,5.88,9.52,2.51,,,,
9/13/2018 12:42,8.1,14.12,4.55,16.87,0.83,,,,
9/13/2018 12:42,8.15,16.7,8.03,11.26,3.36,,,,
9/13/2018 12:42,8.2,15.49,8.68,16.5,6.92,,,,
9/13/2018 12:42,8.25,20.3,10.79,18.64,10.66,,,,
9/13/2018 12:42,8.3,23.27,15.33,23.15,14.36,,,,
9/13/2018 12:42,8.35,27.16,19.86,24.92,18.06,,,,
9/13/2018 12:42,8.4,32.64,23.23,28.16,15.44,,,,
9/13/2018 12:42,8.45,37.15,27.26,26.17,15.24,,,,
9/13/2018 12:42,8.5,42.69,28.86,34.82,22.35,,,,
9/13/2018 12:42,8.55,48.76,32.9,41.39,15.33,,,,
9/13/2018 12:42,8.6,56.21,42.29,35.59,29.5,,,,
9/13/2018 12:42,8.65,54.87,45.62,36.86,29.79,,,,
9/13/2018 12:42,8.7,58.22,55.07,32.17,31.39,,,,
9/13/2018 12:42,8.75,58.29,57.43,28.57,40.2,,,,
9/13/2018 12:42,8.8,61.08,61.15,34.76,37.17,,,,
