Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
10/1/2018 13:00,0,6.27,13.9,21.64,14.51
10/1/2018 13:00,0.05,6.37,13.74,21.7,14.66
10/1/2018 13:00,0.1,6.69,13.53,20.95,15.04
10/1/2018 13:00,0.15,6.94,13.38,19.66,15.12
10/1/2018 13:00,0.2,7.66,13.55,18.36,15.25
10/1/2018 13:00,0.25,8.42,13.04,17.2,16.19
10/1/2018 13:00,0.3,10.06,13.02,16.06,17.8
10/1/2018 13:00,0.35,11.57,12.76,15.24,20.09
10/1/2018 13:00,0.4,13.04,12.75,14.88,22.2
10/1/2018 13:00,0.45,14.85,12.91,14.33,24.55
10/1/2018 13:00,0.5,17.17,12.98,13.79,29.06
10/1/2018 13:00,0.55,21.27,13.25,13.45,33.86
10/1/2018 13:00,0.6,22.84,13.93,14.15,39.45
10/1/2018 13:00,0.65,23.88,13.85,15.66,44.39
10/1/2018 13:00,0.7,25.78,14.22,15.65,48.2
10/1/2018 13:00,0.75,27.06,14.25,14.45,51.57
10/1/2018 13:00,0.8,27.8,14.37,14.22,53.07
10/1/2018 13:00,0.85,28.35,14.48,13.81,53.47
10/1/2018 13:00,0.9,27.3,15.34,14.65,51.71
10/1/2018 13:00,0.95,24.66,16.29,17.9,47.67
10/1/2018 13:00,1,22.12,17.61,21.19,43.04
10/1/2018 13:00,1.05,21.13,18.15,23.18,38.87
10/1/2018 13:00,1.1,21.7,18.23,21.52,39.62
10/1/2018 13:00,1.15,21.7,18.23,21.52,39.62
10/1/2018 13:00,1.2,21.7,18.23,21.52,39.62
10/1/2018 13:00,1.25,-0.16,18.23,21.52,39.62
10/1/2018 13:00,1.3,-0.16,0.3,-0.01,1.42
10/1/2018 13:00,1.35,-0.16,0.3,-0.01,1.42
10/1/2018 13:00,1.4,-0.16,0.3,-0.01,1.42
10/1/2018 13:00,1.45,-0.77,2.48,1.85,-2.59
10/1/2018 13:00,1.5,-1.21,3.51,4.11,-2.15
10/1/2018 13:00,1.55,-0.94,4.27,4.69,-2.1
10/1/2018 13:00,1.6,-1.66,5.59,5.28,-7.02
10/1/2018 13:00,1.65,-5.17,5.29,6.03,-12.68
10/1/2018 13:00,1.7,-11,3.12,5.55,-18.08
10/1/2018 13:00,1.75,-16.43,1.04,5.66,-25.09
10/1/2018 13:00,1.8,-19.8,-5.32,2.03,-30.28
10/1/2018 13:00,1.85,-24.11,-11.63,-4.36,-35.11
10/1/2018 13:00,1.9,-26.89,-16.63,-8.59,-41
10/1/2018 13:00,1.95,-27.29,-22.01,-14.12,-44.16
10/1/2018 13:00,2,-27.05,-23.99,-19.44,-44.94
10/1/2018 13:00,2.05,-26.71,-24.56,-23.35,-45.18
10/1/2018 13:00,2.1,-26.38,-24.84,-24.9,-45.37
10/1/2018 13:00,2.15,-26.43,-24.95,-25.83,-45.46
10/1/2018 13:00,2.2,-26.45,-25.12,-25.97,-45.6
10/1/2018 13:00,2.25,-26.52,-25.09,-25.99,-45.54
10/1/2018 13:00,2.3,-26.55,-25.09,-26.04,-45.37
10/1/2018 13:00,2.35,-26.67,-25.07,-26.03,-45.16
10/1/2018 13:00,2.4,-26.72,-25,-26.07,-45.06
10/1/2018 13:00,2.45,-26.74,-24.96,-26.09,-44.95
10/1/2018 13:00,2.5,-26.65,-24.93,-26.1,-44.88
10/1/2018 13:00,2.55,-26.7,-24.86,-26.11,-44.88
10/1/2018 13:00,2.6,-26.78,-24.94,-26.12,-44.98
10/1/2018 13:00,2.65,-26.84,-24.99,-26.17,-45.09
10/1/2018 13:00,2.7,-26.72,-24.81,-26.12,-45.04
10/1/2018 13:00,2.75,-26.6,-24.69,-26.06,-44.94
10/1/2018 13:00,2.8,-26.59,-24.53,-26.02,-44.8
10/1/2018 13:00,2.85,-26.68,-24.6,-26.09,-44.81
10/1/2018 13:00,2.9,-27.01,-25.1,-26.33,-45.1
10/1/2018 13:00,2.95,-27.06,-25.06,-26.27,-45.16
10/1/2018 13:00,3,-26.66,-24.79,-26.12,-45.1
10/1/2018 13:00,3.05,-26.32,-24.74,-26.04,-45.12
10/1/2018 13:00,3.1,-26.5,-24.79,-26.09,-45.06
10/1/2018 13:00,3.15,-26.63,-24.83,-26.06,-44.98
10/1/2018 13:00,3.2,-26.86,-24.88,-26.09,-44.97
10/1/2018 13:00,3.25,-26.27,-19.73,-25.58,-46.19
10/1/2018 13:00,3.3,-26.31,-21.06,-26.08,-45.41
