Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
10/1/2018 13:26,0,-3.27,-6.61,2.59,-5.97,,,,
10/1/2018 13:26,0.05,-3.12,-6.58,1.4,-5.35,,,,
10/1/2018 13:26,0.1,-3.08,-6.44,1.81,-6.36,,,,
10/1/2018 13:26,0.15,-2.86,-6.48,0.73,-5.31,,,,
10/1/2018 13:26,0.2,-2.74,-6.52,3.09,-6.58,,,,
10/1/2018 13:26,0.25,-2.82,-6.72,-0.23,-4.85,,,,
10/1/2018 13:26,0.3,-3.09,-6.92,-1.05,-4.7,,,,
10/1/2018 13:26,0.35,-3.15,-6.84,-0.93,-6.67,,,,
10/1/2018 13:26,0.4,-3.19,-6.85,-1.05,-7.66,,,,
10/1/2018 13:26,0.45,-2.84,-6.86,-0.67,-5.58,,,,
10/1/2018 13:26,0.5,-2.77,-6.91,-0.29,-6.71,,,,
10/1/2018 13:26,0.55,-3.37,-6.92,-1.1,-7.45,,,,
10/1/2018 13:26,0.6,-3.23,-6.82,-1.31,-7.8,,,,
10/1/2018 13:26,0.65,-2.97,-6.65,-1.08,-7.71,,,,
10/1/2018 13:26,0.7,-2.72,-6.77,-0.79,-7.47,,,,
10/1/2018 13:26,0.75,-3.46,-6.99,-1.27,-7.73,,,,
10/1/2018 13:26,0.8,-3.67,-6.84,-1.3,-7.83,,,,
10/1/2018 13:26,0.85,-3.24,-6.67,-1.03,-7.64,,,,
10/1/2018 13:26,0.9,-2.63,-6.52,-0.62,-7.28,,,,
10/1/2018 13:26,0.95,-2.78,-6.66,-0.79,-7.28,,,,
10/1/2018 13:26,1,-3.33,-6.78,-1.04,-7.54,,,,
10/1/2018 13:26,1.05,-3.13,-7.54,1.46,-4.84,,,,
10/1/2018 13:26,1.1,-3.35,-6.27,-0.86,-7.03,,,,
10/1/2018 13:26,1.15,-3.2,-6.7,-1.23,-7.57,,,,
10/1/2018 13:26,1.2,-2.62,-6.74,-0.72,-3.52,,,,
10/1/2018 13:26,1.25,-2.46,-6.24,-0.02,-3.87,,,,
10/1/2018 13:26,1.3,-2.32,-7.22,1.23,3.82,,,,
10/1/2018 13:26,1.35,-2.98,-6.42,-2.5,4.44,,,,
10/1/2018 13:26,1.4,-3.6,-5.67,1.64,0,,,,
10/1/2018 13:26,1.45,-3.32,-6.5,0.87,-3.21,,,,
10/1/2018 13:26,1.5,-2.63,-6.37,4.32,0.94,,,,
10/1/2018 13:26,1.55,-2.5,-6.1,6.61,-0.95,,,,
10/1/2018 13:26,1.6,-2.15,-6.06,5.68,0.32,,,,
10/1/2018 13:26,1.65,-2.13,-5.99,5.28,0.52,,,,
10/1/2018 13:26,1.7,5.22,-2.13,0.72,-1.76,,,,
10/1/2018 13:26,1.75,-0.13,-2.01,0.01,-0.5,,,,
10/1/2018 13:26,1.8,-1.78,-0.93,0.19,2.26,,,,
10/1/2018 13:26,1.85,-1.81,-1.29,0.22,2.06,,,,
10/1/2018 13:26,1.9,-0.05,0.23,0.07,-1.42,,,,
10/1/2018 13:26,1.95,-0.22,0.5,0.02,-0.74,,,,
10/1/2018 13:26,2,0.46,-0.8,0.13,-0.26,,,,
10/1/2018 13:26,2.05,-0.73,-0.01,0.16,0.36,,,,
10/1/2018 13:26,2.1,0.37,-0.2,0.07,-0.41,,,,
10/1/2018 13:26,2.15,-0.07,0.6,0.1,-0.58,,,,
10/1/2018 13:26,2.2,-0.11,-0.17,0.25,0.73,,,,
10/1/2018 13:26,2.25,0.16,-0.81,0.78,4.35,,,,
10/1/2018 13:26,2.3,-1.14,1.64,0.82,4.6,,,,
10/1/2018 13:26,2.35,-1.26,2.4,1.01,5.52,,,,
10/1/2018 13:26,2.4,-1.15,1.63,1.25,8.14,,,,
10/1/2018 13:26,2.45,-1.04,2.15,1.35,9.3,,,,
10/1/2018 13:26,2.5,-1.11,-0.15,10.96,5.91,,,,
10/1/2018 13:26,2.55,-0.84,0.73,4.09,12.33,,,,
10/1/2018 13:26,2.6,-0.66,3.98,2.32,11.34,,,,
10/1/2018 13:26,2.65,-0.66,2.22,5.42,11.98,,,,
10/1/2018 13:26,2.7,-0.58,1,7.6,12.28,,,,
10/1/2018 13:26,2.75,-0.05,6.99,7.57,11.55,,,,
10/1/2018 13:26,2.8,-0.25,3.68,3.02,14.96,,,,
10/1/2018 13:26,2.85,-0.49,2.33,9.11,12.97,,,,
10/1/2018 13:26,2.9,-0.27,4.27,5.18,14.33,,,,
10/1/2018 13:26,2.95,-0.26,4.83,4.87,14,,,,
10/1/2018 13:26,3,-0.26,3.17,8.55,13.07,,,,
10/1/2018 13:26,3.05,-0.19,4.73,6.02,14.44,,,,
10/1/2018 13:26,3.1,-0.08,4.79,7.55,14.11,,,,
10/1/2018 13:26,3.15,0.05,5.12,7.81,15.3,,,,
10/1/2018 13:26,3.2,0.33,7.19,6.18,16.85,,,,
10/1/2018 13:26,3.25,0.61,7.61,6.74,18.03,,,,
10/1/2018 13:26,3.3,0.79,7.85,7.44,19.1,,,,
10/1/2018 13:26,3.35,1.06,9.3,5.67,21.09,,,,
10/1/2018 13:26,3.4,1.35,10.3,6.02,23.02,,,,
10/1/2018 13:26,3.45,1.62,11.5,6.51,25.53,,,,
10/1/2018 13:26,3.5,2.14,13.53,5.56,28.11,,,,
10/1/2018 13:26,3.55,2.45,15.45,5.08,30.43,,,,
10/1/2018 13:26,3.6,3.95,16.36,5.31,31.26,,,,
10/1/2018 13:26,3.65,3.95,18.28,5.72,32.98,,,,
10/1/2018 13:26,3.7,3.05,19,8.29,33.24,,,,
10/1/2018 13:26,3.75,3.05,18.69,8.09,35.79,,,,
10/1/2018 13:26,3.8,4.03,20.67,6.54,36.25,,,,
10/1/2018 13:26,3.85,4.11,21.18,7.09,38.2,,,,
10/1/2018 13:26,3.9,5.2,21.96,7.95,38.04,,,,
10/1/2018 13:26,3.95,5.67,22.85,8.23,39.04,,,,
10/1/2018 13:26,4,5.63,23.38,9.7,38.5,,,,
10/1/2018 13:26,4.05,6.33,23.83,9.13,39.56,,,,
10/1/2018 13:26,4.1,6.64,24.28,10.3,38.81,,,,
10/1/2018 13:26,4.15,6.64,24.73,10.69,39.2,,,,
10/1/2018 13:26,4.2,6.78,25.15,11.81,38.96,,,,
10/1/2018 13:26,4.25,6.72,25.62,13.08,38.71,,,,
10/1/2018 13:26,4.3,6.66,25.55,13.8,38.88,,,,
10/1/2018 13:26,4.35,6.94,25.86,13.93,38.76,,,,
10/1/2018 13:26,4.4,6.99,25.85,14.16,38.68,,,,
10/1/2018 13:26,4.45,7.55,25.99,13.02,39.24,,,,
10/1/2018 13:26,4.5,7.96,25.98,13.08,39.57,,,,
10/1/2018 13:26,4.55,8.69,26.14,12.24,40.12,,,,
10/1/2018 13:26,4.6,9.06,26.15,12.5,40.62,,,,
10/1/2018 13:26,4.65,9.92,26.24,11.72,40.98,,,,
10/1/2018 13:26,4.7,10.34,26.22,11.4,41.66,,,,
10/1/2018 13:26,4.75,10.75,26.33,11.06,41.89,,,,
10/1/2018 13:26,4.8,11.45,26.25,10.21,41.8,,,,
10/1/2018 13:26,4.85,12.13,25.95,9.62,42.26,,,,
10/1/2018 13:26,4.9,12.31,25.78,8.85,42.64,,,,
10/1/2018 13:26,4.95,12.35,25.31,9.18,42.63,,,,
10/1/2018 13:26,5,12.74,25,8.29,43.11,,,,
10/1/2018 13:26,5.05,12.85,24.55,7.79,43.5,,,,
10/1/2018 13:26,5.1,13.16,24.18,7.49,44.04,,,,
10/1/2018 13:26,5.15,13.76,23.77,7.31,44.46,,,,
10/1/2018 13:26,5.2,14.21,23.26,7.26,44.99,,,,
10/1/2018 13:26,5.25,14.15,23.56,7.28,45.01,,,,
10/1/2018 13:26,5.3,14.06,23.75,7.59,45.59,,,,
10/1/2018 13:26,5.35,14.05,23.82,7.74,46.35,,,,
10/1/2018 13:26,5.4,13.53,23.64,8.89,46.81,,,,
10/1/2018 13:26,5.45,13.66,23.67,8.75,47.62,,,,
10/1/2018 13:26,5.5,13.38,23.67,9.37,47.85,,,,
10/1/2018 13:26,5.55,13.82,24.44,9.98,47.97,,,,
10/1/2018 13:26,5.6,14.11,25.14,11.06,47.97,,,,
10/1/2018 13:26,5.65,15.26,26.25,12.2,48.19,,,,
10/1/2018 13:26,5.7,16.62,27.07,12.8,48.95,,,,
10/1/2018 13:26,5.75,18.5,28.19,13.24,50.84,,,,
10/1/2018 13:26,5.8,19.58,29.99,13.65,51.99,,,,
10/1/2018 13:26,5.85,21.39,30.84,14.83,51.34,,,,
10/1/2018 13:26,5.9,23.46,32.01,13.58,51.49,,,,
10/1/2018 13:26,5.95,24.28,33.3,13.68,50.52,,,,
10/1/2018 13:26,6,25.67,34.06,13.03,50.01,,,,
10/1/2018 13:26,6.05,26.63,35.27,12.1,49.77,,,,
10/1/2018 13:26,6.1,26.87,35.97,11.67,49.15,,,,
10/1/2018 13:26,6.15,26.59,36.69,12.08,47.99,,,,
10/1/2018 13:26,6.2,25.37,36.45,13.07,47.51,,,,
10/1/2018 13:26,6.25,24.11,36.64,14.04,46.49,,,,
10/1/2018 13:26,6.3,21.4,35.68,15.47,45.45,,,,
10/1/2018 13:26,6.35,20.67,34.33,16.19,44.89,,,,
10/1/2018 13:26,6.4,20.2,32.42,15.28,45.09,,,,
10/1/2018 13:26,6.45,20.21,30.9,13.32,46.33,,,,
10/1/2018 13:26,6.5,20.39,29.43,12.29,47.96,,,,
10/1/2018 13:26,6.55,21.19,28.22,10.92,48.65,,,,
10/1/2018 13:26,6.6,21.32,26.64,9.69,49.4,,,,
10/1/2018 13:26,6.65,22.37,25.95,8.59,49.67,,,,
10/1/2018 13:26,6.7,22.24,24.99,7.41,48.85,,,,
10/1/2018 13:26,6.75,21.64,24.34,7.27,46.99,,,,
10/1/2018 13:26,6.8,22.51,23.99,7.11,45.33,,,,
10/1/2018 13:26,6.85,21.1,23.66,7.08,44.35,,,,
10/1/2018 13:26,6.9,19.75,23.65,7.22,42.85,,,,
10/1/2018 13:26,6.95,21.15,22.3,6.71,41.4,,,,
10/1/2018 13:26,7,20.81,21.05,6.69,42.02,,,,
10/1/2018 13:26,7.05,19.49,18,6.37,40.69,,,,
10/1/2018 13:26,7.1,18.84,12.3,5.68,38.15,,,,
10/1/2018 13:26,7.15,13.74,9.44,5.74,38.74,,,,
10/1/2018 13:26,7.2,9,10.38,6.17,39.58,,,,
