Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
9/12/2018 14:02,0,17.4,-40.49,12.95,30.77,,,,
9/12/2018 14:02,0.05,16.65,-40.17,10.88,29.28,,,,
9/12/2018 14:02,0.1,17.46,-40.77,8.48,26.54,,,,
9/12/2018 14:02,0.15,18.64,-40.95,7.33,22.77,,,,
9/12/2018 14:02,0.2,19.57,-41.22,6.96,20.02,,,,
9/12/2018 14:02,0.25,20.63,-42.3,6.33,18.55,,,,
9/12/2018 14:02,0.3,21.03,-41.31,5.2,17.71,,,,
9/12/2018 14:02,0.35,23.43,-39.33,4.7,14.91,,,,
9/12/2018 14:02,0.4,25.39,-35.59,3.09,13.13,,,,
9/12/2018 14:02,0.45,27.62,-33.57,0.37,9.84,,,,
9/12/2018 14:02,0.5,29.49,-32.3,-1.3,4.32,,,,
9/12/2018 14:02,0.55,27.98,-32.81,-2.25,2.46,,,,
9/12/2018 14:02,0.6,22.26,-34.24,-4.51,4.18,,,,
9/12/2018 14:02,0.65,16.94,-38.11,-6.11,7.4,,,,
9/12/2018 14:02,0.7,13.25,-39.63,-7.24,11.33,,,,
9/12/2018 14:02,0.75,14.19,-38.95,-7.62,11.04,,,,
9/12/2018 14:02,0.8,16.99,-34.82,-6.64,9.42,,,,
9/12/2018 14:02,0.85,20.95,-32.71,-3.53,9.36,,,,
9/12/2018 14:02,0.9,22.67,-33.33,-1.67,10.21,,,,
9/12/2018 14:02,0.95,20.82,-32.4,-1.4,10.37,,,,
9/12/2018 14:02,1,18.06,-32.44,-2.35,10.08,,,,
9/12/2018 14:02,1.05,13.64,-29.77,-4.63,12.85,,,,
9/12/2018 14:02,1.1,9.47,-24.01,-9.65,13.59,,,,
9/12/2018 14:02,1.15,6.41,-21.61,-12.62,13.8,,,,
9/12/2018 14:02,1.2,2.86,-17.31,-18.62,11.75,,,,
9/12/2018 14:02,1.25,-7.07,-11.15,-27.92,5.19,,,,
9/12/2018 14:02,1.3,-29.99,-13.54,-40.26,5.08,,,,
9/12/2018 14:02,1.35,-51.37,-24.55,-49.4,6.84,,,,
9/12/2018 14:02,1.4,-59.33,-63.65,-55.45,4.15,,,,
9/12/2018 14:02,1.45,-59.82,-82.69,-56.08,-12.45,,,,
9/12/2018 14:02,1.5,-58.57,-82.72,-56.16,-11.67,,,,
9/12/2018 14:02,1.55,-59.77,-82.33,-56.15,-11.14,,,,
9/12/2018 14:02,1.6,-60.65,-82.12,-56.75,-10.66,,,,
9/12/2018 14:02,1.65,-60.39,-81.93,-56.62,-10.11,,,,
9/12/2018 14:02,1.7,-60.31,-81.68,-56.95,-9.68,,,,
9/12/2018 14:02,1.75,-60.36,-81.68,-57.2,-9.53,,,,
9/12/2018 14:02,1.8,-59.98,-81.45,-57.29,-8.95,,,,
9/12/2018 14:02,1.85,-59.7,-80.9,-24.22,-8.66,,,,
9/12/2018 14:02,1.9,-19.88,-79.6,-11.78,-8.84,,,,
9/12/2018 14:02,1.95,-1.45,-81.6,-8.62,-9.58,,,,
9/12/2018 14:02,2,9.21,-80.21,-4.07,-12.77,,,,
9/12/2018 14:02,2.05,0.86,-80.3,4.1,-12.22,,,,
9/12/2018 14:02,2.1,0.2,-81.37,14,-10.11,,,,
9/12/2018 14:02,2.15,7.68,-81.35,20.97,-9.84,,,,
9/12/2018 14:02,2.2,20.73,-79.3,21.55,-11.84,,,,
