Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
10/1/2018 13:03,0,22.4,7.39,6.78,25.87,,,,
10/1/2018 13:03,0.05,22.08,7,5.93,25.94,,,,
10/1/2018 13:03,0.1,20.15,6.3,6.83,26.05,,,,
10/1/2018 13:03,0.15,17.59,7.75,8.76,22.58,,,,
10/1/2018 13:03,0.2,13.83,10.46,10.94,15.91,,,,
10/1/2018 13:03,0.25,12.58,10.99,10.21,13.52,,,,
10/1/2018 13:03,0.3,14.34,10.73,7.7,11.82,,,,
10/1/2018 13:03,0.35,13.49,10.56,5.38,9.68,,,,
10/1/2018 13:03,0.4,12.55,10.43,4.42,8.26,,,,
10/1/2018 13:03,0.45,11.12,9.94,4.84,7.87,,,,
10/1/2018 13:03,0.5,9.04,8.53,6.1,9.94,,,,
10/1/2018 13:03,0.55,7.5,7.76,7.79,11.05,,,,
10/1/2018 13:03,0.6,5.19,9.28,11.48,11.01,,,,
10/1/2018 13:03,0.65,2.48,8.04,16.29,11.87,,,,
10/1/2018 13:03,0.7,1.41,6.27,22.88,11.6,,,,
10/1/2018 13:03,0.75,0.99,5.74,25.47,10.94,,,,
10/1/2018 13:03,0.8,1.1,5.28,25.15,12.74,,,,
10/1/2018 13:03,0.85,1.13,5.33,23.46,12.43,,,,
10/1/2018 13:03,0.9,1.41,4.01,20.41,13.39,,,,
10/1/2018 13:03,0.95,1.74,2.95,18.68,15.8,,,,
10/1/2018 13:03,1,1.2,2.12,18.72,15.25,,,,
10/1/2018 13:03,1.05,0.84,0.59,15.35,14.73,,,,
10/1/2018 13:03,1.1,-0.63,-1.11,13.58,9.47,,,,
10/1/2018 13:03,1.15,-1.79,-4.3,11.74,4.89,,,,
10/1/2018 13:03,1.2,-2.22,-5.2,8.56,1.27,,,,
10/1/2018 13:03,1.25,-2.7,-5.39,3.69,-1.99,,,,
10/1/2018 13:03,1.3,-3,-5.74,0.05,-3.85,,,,
10/1/2018 13:03,1.35,-3.14,-5.7,-1.66,-5.81,,,,
10/1/2018 13:03,1.4,-3.25,-5.62,-1.92,-7.84,,,,
10/1/2018 13:03,1.45,-3.15,-5.66,-1.78,-7.97,,,,
10/1/2018 13:03,1.5,-3.31,-5.77,-1.69,-7.96,,,,
10/1/2018 13:03,1.55,-3.38,-5.78,-1.56,-7.77,,,,
10/1/2018 13:03,1.6,-3.4,-5.87,-1.55,-7.75,,,,
10/1/2018 13:03,1.65,-3.6,-5.8,-1.57,-7.6,,,,
10/1/2018 13:03,1.7,-3.53,-5.83,-1.59,-7.63,,,,
10/1/2018 13:03,1.75,-3.53,-5.99,-1.54,-7.52,,,,
10/1/2018 13:03,1.8,-3.43,-5.94,-1.5,-7.43,,,,
10/1/2018 13:03,1.85,-3.62,-6.01,-1.5,-7.38,,,,
10/1/2018 13:03,1.9,-1.15,-1.22,-1.49,-7.69,,,,
10/1/2018 13:03,1.95,-2.95,-5.36,-1.35,-7.39,,,,
10/1/2018 13:03,2,0.29,-2.36,-1.4,-7.5,,,,
10/1/2018 13:03,2.05,0.81,2.66,-1.9,-7,,,,
10/1/2018 13:03,2.1,3.29,2.45,-1.56,-6.73,,,,
10/1/2018 13:03,2.15,7.73,4.35,-1.76,-6.05,,,,
10/1/2018 13:03,2.2,10.75,6.97,-2.21,-5.34,,,,
10/1/2018 13:03,2.25,12.74,9.51,-2.43,-4.99,,,,
10/1/2018 13:03,2.3,14.58,11.54,-2.6,-4.67,,,,
10/1/2018 13:03,2.35,10.64,7.95,3.24,11.39,,,,
10/1/2018 13:03,2.4,3.67,2.27,9.64,20.56,,,,
10/1/2018 13:03,2.45,11.69,6.51,5.71,15.19,,,,
10/1/2018 13:03,2.5,19.7,9.76,2.25,8.67,,,,
10/1/2018 13:03,2.55,22.76,10.43,2.13,8.36,,,,
10/1/2018 13:03,2.6,22.13,9.67,3.73,11.76,,,,
10/1/2018 13:03,2.65,20.99,8.38,5.27,16.45,,,,
10/1/2018 13:03,2.7,20.63,8.17,6.07,17.76,,,,
10/1/2018 13:03,2.75,19.82,9.67,7.09,16.31,,,,
10/1/2018 13:03,2.8,20.62,9.35,6.98,17.39,,,,
10/1/2018 13:03,2.85,20.63,10.29,7.34,17,,,,
10/1/2018 13:03,2.9,18.55,10.58,7.94,15.32,,,,
10/1/2018 13:03,2.95,19.02,10.73,7.21,15.16,,,,
10/1/2018 13:03,3,15.1,11.27,9.71,14.09,,,,
10/1/2018 13:03,3.05,12.77,11.31,11.75,14.29,,,,
10/1/2018 13:03,3.1,12.64,11.64,11.93,13,,,,
10/1/2018 13:03,3.15,13.03,11.78,9.9,12.8,,,,
10/1/2018 13:03,3.2,10.38,12.7,12.11,10.9,,,,
10/1/2018 13:03,3.25,8.89,13.35,11.68,10.74,,,,
10/1/2018 13:03,3.3,8.74,12.48,10.06,11.3,,,,
10/1/2018 13:03,3.35,6.06,11.46,12.8,10.86,,,,
10/1/2018 13:03,3.4,4.28,11.51,15.71,10.73,,,,
10/1/2018 13:03,3.45,1.9,12.8,22.85,6.67,,,,
10/1/2018 13:03,3.5,0.59,11.84,29.34,6.54,,,,
10/1/2018 13:03,3.55,0.77,11.3,31.46,8.56,,,,
10/1/2018 13:03,3.6,2.02,11.53,28.49,11.25,,,,
10/1/2018 13:03,3.65,2.23,10.8,30,13.08,,,,
10/1/2018 13:03,3.7,1.56,9.15,32.6,15.82,,,,
10/1/2018 13:03,3.75,1.9,8.13,31.66,17.76,,,,
10/1/2018 13:03,3.8,2.4,7.79,28.43,17.91,,,,
