Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
9/12/2018 14:01,0,27.44,23.29,28.27,16.71,,,,
9/12/2018 14:01,0.05,27.69,24.83,26.16,11.66,,,,
9/12/2018 14:01,0.1,26.97,22.89,24.45,12.2,,,,
9/12/2018 14:01,0.15,27.38,23.7,23.57,10.06,,,,
9/12/2018 14:01,0.2,26.14,22.67,23.86,10.8,,,,
9/12/2018 14:01,0.25,25.28,21.77,24.05,10.84,,,,
9/12/2018 14:01,0.3,23.26,18.88,24.51,11.95,,,,
9/12/2018 14:01,0.35,21.75,17.54,24.34,10.84,,,,
9/12/2018 14:01,0.4,21.72,17.57,25.03,10.59,,,,
9/12/2018 14:01,0.45,24.08,18.21,26.93,11.07,,,,
9/12/2018 14:01,0.5,26.14,19.12,29.51,12.87,,,,
9/12/2018 14:01,0.55,25.37,22.4,29.4,12.95,,,,
9/12/2018 14:01,0.6,25.89,20.9,28.98,14.28,,,,
9/12/2018 14:01,0.65,24.8,20.27,26.17,14.19,,,,
9/12/2018 14:01,0.7,21.83,19.99,23.07,12.71,,,,
9/12/2018 14:01,0.75,21.81,20.05,20.72,10.31,,,,
9/12/2018 14:01,0.8,23.27,20.36,18.83,9.56,,,,
9/12/2018 14:01,0.85,26.1,22.78,18.5,7.19,,,,
9/12/2018 14:01,0.9,27,24.46,18.1,5.44,,,,
9/12/2018 14:01,0.95,27.97,26.29,17.22,5.24,,,,
9/12/2018 14:01,1,28.85,26.57,16.58,4.33,,,,
9/12/2018 14:01,1.05,30.58,26.75,17.88,3.85,,,,
9/12/2018 14:01,1.1,34.38,28.35,17.9,1.46,,,,
9/12/2018 14:01,1.15,35.42,30.2,18.24,1.18,,,,
9/12/2018 14:01,1.2,35.58,30.46,18.25,1.76,,,,
9/12/2018 14:01,1.25,35.17,29.96,18.06,1.41,,,,
9/12/2018 14:01,1.3,34.69,29.15,18.07,1.61,,,,
9/12/2018 14:01,1.35,33.97,28.17,17.85,0.95,,,,
9/12/2018 14:01,1.4,32.69,27.16,17.4,2.13,,,,
9/12/2018 14:01,1.45,31.02,24.46,17.47,3.19,,,,
9/12/2018 14:01,1.5,28.18,23.53,17.57,4.29,,,,
9/12/2018 14:01,1.55,27.14,20.73,17.76,5.17,,,,
9/12/2018 14:01,1.6,27.21,19.55,18.92,6.06,,,,
9/12/2018 14:01,1.65,28.38,18.88,20.46,6.1,,,,
9/12/2018 14:01,1.7,28.68,18.13,21.35,6.12,,,,
9/12/2018 14:01,1.75,28.13,18.19,21.05,5.63,,,,
9/12/2018 14:01,1.8,27.51,18.08,19.97,4.64,,,,
9/12/2018 14:01,1.85,27.08,18.79,17.23,2.65,,,,
9/12/2018 14:01,1.9,26.63,19.54,11.66,3.05E-05,,,,
9/12/2018 14:01,1.95,24.97,18.56,8.29,-1.53,,,,
9/12/2018 14:01,2,22.74,17.31,5.99,-2,,,,
9/12/2018 14:01,2.05,19.4,15.94,3.19,-2.37,,,,
9/12/2018 14:01,2.1,16.65,15.15,0.2,-3.47,,,,
9/12/2018 14:01,2.15,16.6,12.9,-0.6,-4.53,,,,
9/12/2018 14:01,2.2,15.03,11.97,-0.57,-4.09,,,,
9/12/2018 14:01,2.25,13.39,11.79,-1.89,-3.28,,,,
9/12/2018 14:01,2.3,13.99,12.12,-2.51,-3.31,,,,
9/12/2018 14:01,2.35,13.84,12.36,-3.19,-3.79,,,,
9/12/2018 14:01,2.4,12.45,12.24,-3.43,-3.94,,,,
9/12/2018 14:01,2.45,12.06,11.4,-3.23,-4.13,,,,
9/12/2018 14:01,2.5,10.34,9.79,-2.55,-3.28,,,,
9/12/2018 14:01,2.55,7.72,8.04,-2.23,-2.73,,,,
9/12/2018 14:01,2.6,4.89,3.98,-1.63,-2.32,,,,
9/12/2018 14:01,2.65,2.65,1.38,-2.1,-3.38,,,,
9/12/2018 14:01,2.7,-0.86,1.24,-5.43,-3.49,,,,
9/12/2018 14:01,2.75,-3.18,-0.08,-8.38,-4.92,,,,
9/12/2018 14:01,2.8,-3.78,-4.82,-10.57,-6.25,,,,
9/12/2018 14:01,2.85,-7.64,-10.44,-15.08,-6.85,,,,
9/12/2018 14:01,2.9,-10.21,-13.15,-18.8,-7.28,,,,
9/12/2018 14:01,2.95,-9.9,-13.82,-19.64,-7.35,,,,
9/12/2018 14:01,3,-9.78,-13.76,-19.41,-7.19,,,,
9/12/2018 14:01,3.05,-9.6,-13.5,-19.01,-6.99,,,,
9/12/2018 14:01,3.1,-9.39,-13.3,-19.04,-6.92,,,,
9/12/2018 14:01,3.15,-9.29,-13.36,-19.12,-7.01,,,,
9/12/2018 14:01,3.2,-9.37,-13.49,-19.19,-7.02,,,,
9/12/2018 14:01,3.25,-9.78,-13.52,-19.37,-7.19,,,,
9/12/2018 14:01,3.3,-10.01,-13.43,-19.22,-7.2,,,,
9/12/2018 14:01,3.35,-9.84,-13.36,-19.08,-7.12,,,,
9/12/2018 14:01,3.4,-9.85,-13.08,-18.89,-7.15,,,,
9/12/2018 14:01,3.45,-10,-13.02,-18.91,-7.15,,,,
9/12/2018 14:01,3.5,-9.98,-13.08,-19.09,-7.23,,,,
9/12/2018 14:01,3.55,-10.02,-13.11,-19.12,-7.19,,,,
9/12/2018 14:01,3.6,-10.24,-13.23,-19.2,-7.45,,,,
9/12/2018 14:01,3.65,-10.14,-13.16,-19.24,-7.49,,,,
9/12/2018 14:01,3.7,-9.96,-13.04,-19,-7.3,,,,
9/12/2018 14:01,3.75,-10.05,-12.86,-18.94,-7.16,,,,
9/12/2018 14:01,3.8,-10.23,-13,-18.98,-7.23,,,,
9/12/2018 14:01,3.85,-10.18,-12.95,-19.12,-7.26,,,,
9/12/2018 14:01,3.9,-10.14,-12.76,-19.19,-7.22,,,,
9/12/2018 14:01,3.95,-9.83,-12.97,-15.3,-6.57,,,,
9/12/2018 14:01,4,-9.64,-13.09,-14.35,-6.5,,,,
9/12/2018 14:01,4.05,-9.4,-13.3,-11.38,-6.19,,,,
9/12/2018 14:01,4.1,-9.25,-13.27,-7.27,-5.88,,,,
9/12/2018 14:01,4.15,-10.22,-11.51,1.94,17.92,,,,
