Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/12/2018 13:53,0,-5.62,-2.09,-0.46,-0.14
9/12/2018 13:53,0.05,-6.05,-1.88,-0.39,-0.11
9/12/2018 13:53,0.1,-5.95,-2.1,-0.72,-0.16
9/12/2018 13:53,0.15,-5.98,-2.51,-0.9,-0.18
9/12/2018 13:53,0.2,-6.33,-2.74,-0.65,-0.18
9/12/2018 13:53,0.25,-6.38,-3.1,-0.86,-0.21
9/12/2018 13:53,0.3,-6.4,-3.34,-1.04,-0.24
9/12/2018 13:53,0.35,-6.48,-3.4,-1.03,-0.24
9/12/2018 13:53,0.4,-6.67,-3.51,-0.87,-0.22
9/12/2018 13:53,0.45,-6.45,-3.31,-1.19,-0.25
9/12/2018 13:53,0.5,-6.12,-3.38,-1.09,-0.25
9/12/2018 13:53,0.55,-6.58,-3.32,-1.04,-0.23
9/12/2018 13:53,0.6,-6.71,-3.33,-1.22,-0.25
9/12/2018 13:53,0.65,-6.26,-3.75,-1.22,-0.29
9/12/2018 13:53,0.7,-6.54,-3.74,-1.25,-0.28
9/12/2018 13:53,0.75,-6.73,-3.64,-1.32,-0.25
9/12/2018 13:53,0.8,-6.34,-3.45,-1.4,-0.25
9/12/2018 13:53,0.85,-6.3,-3.51,-1.35,-0.27
9/12/2018 13:53,0.9,-6.6,-3.14,-1.36,-0.23
9/12/2018 13:53,0.95,-6.22,-3.22,-1.55,-0.25
9/12/2018 13:53,1,-6.04,-3.23,-1.59,-0.28
9/12/2018 13:53,1.05,-6.06,-2.95,-1.69,-0.26
9/12/2018 13:53,1.1,-5.96,-2.6,-1.75,-0.24
9/12/2018 13:53,1.15,-5.85,-2.35,-1.69,-0.23
9/12/2018 13:53,1.2,-5.74,-2.06,-1.73,-0.2
9/12/2018 13:53,1.25,-5.55,-1.96,-1.86,-0.21
9/12/2018 13:53,1.3,-5.09,-1.93,-2.21,-0.25
9/12/2018 13:53,1.35,-4.69,-1.95,-2.39,-0.29
9/12/2018 13:53,1.4,-4.78,-2.21,-2.22,-0.3
9/12/2018 13:53,1.45,-4.56,-2.18,-2.4,-0.33
9/12/2018 13:53,1.5,-4.26,-2.57,-2.87,-0.39
9/12/2018 13:53,1.55,-4.1,-2.94,-3.1,-0.45
9/12/2018 13:53,1.6,-4.1,-3.2,-3.26,-0.49
9/12/2018 13:53,1.65,-3.99,-3.44,-3.61,-0.54
9/12/2018 13:53,1.7,-3.81,-3.89,-3.84,-0.6
9/12/2018 13:53,1.75,-3.86,-4.22,-3.89,-0.64
9/12/2018 13:53,1.8,-3.88,-4.44,-4.14,-0.68
9/12/2018 13:53,1.85,-3.76,-4.69,-4.39,-0.73
9/12/2018 13:53,1.9,-3.83,-4.85,-4.49,-0.74
9/12/2018 13:53,1.95,-3.85,-4.98,-4.51,-0.75
9/12/2018 13:53,2,-3.74,-4.95,-4.59,-0.76
9/12/2018 13:53,2.05,-3.94,-4.69,-4.6,-0.74
9/12/2018 13:53,2.1,-4.1,-4.66,-4.56,-0.73
9/12/2018 13:53,2.15,-3.97,-4.61,-4.47,-0.74
9/12/2018 13:53,2.2,-4.05,-4.33,-4.41,-0.7
9/12/2018 13:53,2.25,-4.3,-4.1,-4.1,-0.65
9/12/2018 13:53,2.3,-4.31,-3.63,-3.88,-0.61
9/12/2018 13:53,2.35,-4.1,-3.53,-3.75,-0.59
9/12/2018 13:53,2.4,-4.03,-3.2,-3.52,-0.54
9/12/2018 13:53,2.45,-4.09,-2.76,-3.35,-0.5
9/12/2018 13:53,2.5,-3.77,-2.12,-3.22,-0.44
9/12/2018 13:53,2.55,-3.88,-1.86,-2.84,-0.37
9/12/2018 13:53,2.6,-4.3,-1.27,-2.23,-0.25
9/12/2018 13:53,2.65,-4.43,-0.6,-1.95,-0.18
9/12/2018 13:53,2.7,-4.15,-0.46,-1.71,-0.15
9/12/2018 13:53,2.75,-4.66,0.19,-1.43,-0.07
9/12/2018 13:53,2.8,-4.58,0.5,-0.75,0.03
9/12/2018 13:53,2.85,-4.52,0.92,-0.37,0.07
9/12/2018 13:53,2.9,-4.61,1.74,0.09,0.2
9/12/2018 13:53,2.95,-5.18,2.28,1.12,0.34
9/12/2018 13:53,3,-5.99,2.47,2.09,0.45
9/12/2018 13:53,3.05,-5.79,1.32,2.25,0.42
9/12/2018 13:53,3.1,-5.38,0.77,1.15,0.29
