Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/12/2018 14:05,0,-6.18,2.85,-7.03,-0.77
9/12/2018 14:05,0.05,-6.44,2.93,-6.85,-0.75
9/12/2018 14:05,0.1,-6.11,2.78,-7.01,-0.76
9/12/2018 14:05,0.15,-6.35,2.83,-6.78,-0.79
9/12/2018 14:05,0.2,-6.06,2.74,-7,-0.78
9/12/2018 14:05,0.25,-6.38,2.96,-6.85,-0.77
9/12/2018 14:05,0.3,-6.1,2.9,-7.05,-0.76
9/12/2018 14:05,0.35,-6.34,2.95,-6.81,-0.78
9/12/2018 14:05,0.4,-6.06,2.8,-6.96,-0.77
9/12/2018 14:05,0.45,-5.92,5.7,-5.86,-0.36
9/12/2018 14:05,0.5,-4.46,5.43,-2.44,-0.75
9/12/2018 14:05,0.55,-2.25,-0.2,4.67,-1.03
9/12/2018 14:05,0.6,-2.28,-0.41,7.48,-0.75
9/12/2018 14:05,0.65,-2.65,7.74,7.11,0.63
9/12/2018 14:05,0.7,-2.9,17.8,5.21,1.59
9/12/2018 14:05,0.75,-3.15,22.71,10.01,2.78
9/12/2018 14:05,0.8,-0.53,25.68,13.14,3.39
9/12/2018 14:05,0.85,5.98,30.27,12.9,3.32
9/12/2018 14:05,0.9,4.31,33.99,16.46,3.86
9/12/2018 14:05,0.95,5.64,31.54,20.32,3.91
9/12/2018 14:05,1,9.61,29.03,20.65,3.26
9/12/2018 14:05,1.05,8.03,29.97,23.36,3.36
9/12/2018 14:05,1.1,9.52,29.79,25.61,3.29
9/12/2018 14:05,1.15,12.49,25.72,27.68,2.79
9/12/2018 14:05,1.2,10.56,27.38,30.37,3.05
9/12/2018 14:05,1.25,9.66,28.16,35.2,3.46
9/12/2018 14:05,1.3,8.97,30.78,38.94,4.28
9/12/2018 14:05,1.35,9.33,32.81,41.28,4.57
9/12/2018 14:05,1.4,16.2,34.21,42.53,4.48
9/12/2018 14:05,1.45,21,39.78,46.1,4.54
9/12/2018 14:05,1.5,24.31,42.38,56.26,5.23
9/12/2018 14:05,1.55,24.73,45.41,61.07,6.14
9/12/2018 14:05,1.6,29.47,45.5,60.77,5.79
9/12/2018 14:05,1.65,30.99,43.76,60.02,5.59
9/12/2018 14:05,1.7,26.63,43.14,61.23,6.12
9/12/2018 14:05,1.75,26.35,39.72,60.22,5.95
9/12/2018 14:05,1.8,22.22,36.78,56.72,5.66
9/12/2018 14:05,1.85,15.48,33.48,52.07,5.59
9/12/2018 14:05,1.9,11.09,31.02,47.52,5.34
9/12/2018 14:05,1.95,8.44,28.77,43.88,5.08
9/12/2018 14:05,2,7,28.72,40.8,5
9/12/2018 14:05,2.05,6,27.99,37.68,4.85
9/12/2018 14:05,2.1,5.01,26.41,34.73,4.72
9/12/2018 14:05,2.15,2.98,24.06,34.61,4.65
9/12/2018 14:05,2.2,1.03,22.09,32.41,4.42
9/12/2018 14:05,2.25,-3.71,19.57,22.65,4.02
9/12/2018 14:05,2.3,-5.86,13.19,11.49,2.85
9/12/2018 14:05,2.35,-7.92,7.06,-4.05,0.88
