Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
10/1/2018 13:20,0,6.97,3.44,-5.18,0.75,,,,
10/1/2018 13:20,0.05,7.18,3.5,-5.46,0.8,,,,
10/1/2018 13:20,0.1,7.38,3.47,-5.91,0.95,,,,
10/1/2018 13:20,0.15,7.19,3.56,-5.52,0.46,,,,
10/1/2018 13:20,0.2,7.11,3.49,-5.65,0.92,,,,
10/1/2018 13:20,0.25,6.98,3.43,-5.2,0.58,,,,
10/1/2018 13:20,0.3,6.99,3.48,-5.42,1.2,,,,
10/1/2018 13:20,0.35,6.62,3.4,-5.11,1.49,,,,
10/1/2018 13:20,0.4,6.01,3.45,-4.99,2.06,,,,
10/1/2018 13:20,0.45,5.47,3.08,-5.42,3.86,,,,
10/1/2018 13:20,0.5,4.48,2.76,-5.16,5.13,,,,
10/1/2018 13:20,0.55,3.87,2.76,-5.43,6.56,,,,
10/1/2018 13:20,0.6,3.39,2.69,-5.24,7.77,,,,
10/1/2018 13:20,0.65,2.58,2.4,-5.15,8.92,,,,
10/1/2018 13:20,0.7,1.68,2.09,-5.14,10.25,,,,
10/1/2018 13:20,0.75,1.62,1.96,-4.88,9.83,,,,
10/1/2018 13:20,0.8,1.53,2.06,-4.86,8.49,,,,
10/1/2018 13:20,0.85,1.38,1.68,-4.19,7.99,,,,
10/1/2018 13:20,0.9,3.38,1.75,-4.38,3.51,,,,
10/1/2018 13:20,0.95,3.34,0.63,-2.54,1.06,,,,
10/1/2018 13:20,1,3.18,-0.85,-2.56,-0.46,,,,
10/1/2018 13:20,1.05,3.34,-2.71,-3.44,-2.02,,,,
10/1/2018 13:20,1.1,4.16,-3.71,-4.72,-3.31,,,,
10/1/2018 13:20,1.15,2.24,-5.66,-2.17,-3.55,,,,
10/1/2018 13:20,1.2,1.73,-6.22,-4.57,-1.34,,,,
10/1/2018 13:20,1.25,1.59,-6.6,-3.89,-1.68,,,,
10/1/2018 13:20,1.3,1.35,-6.62,-4.41,-1.5,,,,
10/1/2018 13:20,1.35,2.31,-5.72,-5.64,-2.84,,,,
10/1/2018 13:20,1.4,2.79,-4.04,-5.76,-3.46,,,,
10/1/2018 13:20,1.45,3.16,-3.07,-7.38,-2.71,,,,
10/1/2018 13:20,1.5,4.57,-2.6,-8.22,-3.61,,,,
10/1/2018 13:20,1.55,3.41,-1.95,-6.09,-3.26,,,,
10/1/2018 13:20,1.6,4.72,-1.22,-8.24,-1.84,,,,
10/1/2018 13:20,1.65,4.48,-1,-6.2,-3.46,,,,
10/1/2018 13:20,1.7,4.38,-0.5,-6.54,-2.54,,,,
10/1/2018 13:20,1.75,4.74,-0.15,-6.69,-2.7,,,,
10/1/2018 13:20,1.8,5.16,-0.23,-7.53,-2.27,,,,
10/1/2018 13:20,1.85,5.18,0.14,-7.21,-3.01,,,,
10/1/2018 13:20,1.9,5.75,0.08,-8.45,-2.78,,,,
10/1/2018 13:20,1.95,5.7,-0.3,-8.36,-3.23,,,,
10/1/2018 13:20,2,5.91,0.26,-8.34,-3.31,,,,
10/1/2018 13:20,2.05,5.62,0.17,-7.77,-3.29,,,,
10/1/2018 13:20,2.1,6.12,-0.01,-8.71,-3.39,,,,
10/1/2018 13:20,2.15,6.15,0.18,-8.89,-3.41,,,,
10/1/2018 13:20,2.2,6.22,0.24,-8.87,-3.38,,,,
10/1/2018 13:20,2.25,6.41,0.53,-8.72,-3.78,,,,
10/1/2018 13:20,2.3,6.01,0.32,-7.89,-3.11,,,,
10/1/2018 13:20,2.35,5.96,0.76,-7.81,-3.4,,,,
10/1/2018 13:20,2.4,5.94,0.72,-7.24,-3.21,,,,
10/1/2018 13:20,2.45,6.08,0.64,-7.15,-3.11,,,,
10/1/2018 13:20,2.5,4.23,0,-6.76,-0.28,,,,
10/1/2018 13:20,2.55,5.7,1.13,-7.02,-2.75,,,,
10/1/2018 13:20,2.6,6.33,1.14,-6.67,-2.3,,,,
10/1/2018 13:20,2.65,1.89,-0.58,-7.2,4.76,,,,
10/1/2018 13:20,2.7,2.65,-0.53,-6.51,3.48,,,,
10/1/2018 13:20,2.75,3.97,0.45,-7.28,1.51,,,,
10/1/2018 13:20,2.8,2.7,-0.68,-6.76,3.64,,,,
10/1/2018 13:20,2.85,4.07,-0.32,-6.9,1.86,,,,
10/1/2018 13:20,2.9,4.98,-0.12,-7.54,-0.77,,,,
10/1/2018 13:20,2.95,6.67,-0.84,-8.51,-3.18,,,,
10/1/2018 13:20,3,7.69,-1.69,-9.25,-3.58,,,,
10/1/2018 13:20,3.05,5.1,-3.42,-7.41,-3.05,,,,
10/1/2018 13:20,3.1,3.66,-4.59,-6.04,-2.08,,,,
10/1/2018 13:20,3.15,1.56,-7.85,-2.14,-2.47,,,,
10/1/2018 13:20,3.2,0.9,-9.09,-0.42,-3.97,,,,
10/1/2018 13:20,3.25,-0.67,-9.97,-2.56,-1.73,,,,
10/1/2018 13:20,3.3,-1.89,-11.03,-1.66,-0.08,,,,
10/1/2018 13:20,3.35,-2.38,-13.22,0.62,0.15,,,,
10/1/2018 13:20,3.4,-2.94,-13.24,2.4,-1.87,,,,
10/1/2018 13:20,3.45,-3.24,-12.81,3.83,-7.44,,,,
10/1/2018 13:20,3.5,-3.11,-12.73,4.1,-7.28,,,,
10/1/2018 13:20,3.55,-2.86,-12.63,3.32,-5.98,,,,
10/1/2018 13:20,3.6,-2.99,-12.52,3.95,-5.02,,,,
10/1/2018 13:20,3.65,-3,-12.8,3.51,-1.77,,,,
10/1/2018 13:20,3.7,-2.94,-12.79,1.2,-1.26,,,,
10/1/2018 13:20,3.75,-3.01,-12.72,1.15,-3.04,,,,
10/1/2018 13:20,3.8,-2.84,-12.67,-0.01,-3.67,,,,
10/1/2018 13:20,3.85,-2.99,-12.55,0.79,-9.82,,,,
10/1/2018 13:20,3.9,-3.03,-12.23,3.4,-8.85,,,,
10/1/2018 13:20,3.95,-2.31,15.34,-6.83,-15.49,,,,
10/1/2018 13:20,4,-2.59,-4.24,-9.1,2.18,,,,
10/1/2018 13:20,4.05,-2.49,-5.99,4.97,-4.71,,,,
10/1/2018 13:20,4.1,-2.24,-9.28,1.79,-0.42,,,,
10/1/2018 13:20,4.15,-3.22,-12.65,10.65,-4.23,,,,
10/1/2018 13:20,4.2,-2.99,-12.77,7.07,-2.9,,,,
10/1/2018 13:20,4.25,-3.2,-12.72,6.91,-9.59,,,,
10/1/2018 13:20,4.3,-2.42,-12.29,8.92,-3.2,,,,
10/1/2018 13:20,4.35,-2.18,-11.86,8.3,-0.11,,,,
10/1/2018 13:20,4.4,-2.91,-11.86,8.01,5.73,,,,
10/1/2018 13:20,4.45,-1.91,-11.59,6.4,5,,,,
10/1/2018 13:20,4.5,-1.92,-10.29,1.85,8.95,,,,
10/1/2018 13:20,4.55,-2.29,-11.34,-0.1,9,,,,
10/1/2018 13:20,4.6,-3.18,-13.03,5.06,3.58,,,,
10/1/2018 13:20,4.65,-4.16,-11.54,1.92,-8.13,,,,
10/1/2018 13:20,4.7,-3.31,-7.29,-1.97,3.23,,,,
10/1/2018 13:20,4.75,-4.62,-11.91,21.43,-14.52,,,,
10/1/2018 13:20,4.8,-4.12,-10.7,28.06,-15.15,,,,
10/1/2018 13:20,4.85,-2.12,-12.22,19.55,0.22,,,,
10/1/2018 13:20,4.9,1.69,-0.93,-2.04,5.4,,,,
10/1/2018 13:20,4.95,-0.13,2.87,-4.66,2.01,,,,
10/1/2018 13:20,5,0.54,-0.96,-6.12,7.24,,,,
10/1/2018 13:20,5.05,2.7,-2.21,-5.55,4.63,,,,
10/1/2018 13:20,5.1,8.94,-0.15,-9,1.21,,,,
10/1/2018 13:20,5.15,8.05,-0.69,-8.71,5.66,,,,
10/1/2018 13:20,5.2,7.19,1.32,-8.39,7.02,,,,
10/1/2018 13:20,5.25,8.45,-0.49,-8.39,8.62,,,,
10/1/2018 13:20,5.3,9.61,0,-8.6,7.58,,,,
10/1/2018 13:20,5.35,6.27,1.06,-8.28,10.02,,,,
10/1/2018 13:20,5.4,5.1,1.92,-8.08,10.57,,,,
10/1/2018 13:20,5.45,4.2,2.7,-7.95,9.59,,,,
10/1/2018 13:20,5.5,3.33,4.22,-7.12,6.88,,,,
10/1/2018 13:20,5.55,4.49,4.05,-7.97,4.17,,,,
10/1/2018 13:20,5.6,3.5,4.26,-7.76,0.59,,,,
10/1/2018 13:20,5.65,2.81,4.18,-7.85,2.03,,,,
10/1/2018 13:20,5.7,3.76,4.25,-8.24,-0.16,,,,
10/1/2018 13:20,5.75,3.02,5.23,-7,0.36,,,,
10/1/2018 13:20,5.8,2.66,3.75,-7.62,4.47,,,,
10/1/2018 13:20,5.85,2.26,2.55,-7.15,4.98,,,,
10/1/2018 13:20,5.9,0.88,2.54,-3.53,5.55,,,,
10/1/2018 13:20,5.95,0.7,1.91,-2.67,5.02,,,,
10/1/2018 13:20,6,-0.63,1.31,0.09,4.59,,,,
10/1/2018 13:20,6.05,-1.08,0.31,-1.6,3.93,,,,
10/1/2018 13:20,6.1,-0.26,-0.68,-7.95,3.2,,,,
10/1/2018 13:20,6.15,-2.37,-2.96,-8.8,0.22,,,,
10/1/2018 13:20,6.2,-3.06,-6.23,-8.45,-3.33,,,,
10/1/2018 13:20,6.25,-3.73,-11.01,-4.56,-8.61,,,,
10/1/2018 13:20,6.3,-4.01,-14.86,-3.64,-11.11,,,,
10/1/2018 13:20,6.35,-4.27,-15.49,-9.5,-11.7,,,,
10/1/2018 13:20,6.4,-4.36,-15.59,-10.84,-11.9,,,,
10/1/2018 13:20,6.45,-4.12,-15.76,-10.95,-12.11,,,,
10/1/2018 13:20,6.5,-3.87,-15.72,-10.99,-12.02,,,,
10/1/2018 13:20,6.55,-3.56,-15.65,-10.89,-12.07,,,,
10/1/2018 13:20,6.6,-3.57,-15.6,-10.83,-12.12,,,,
10/1/2018 13:20,6.65,-3.72,-15.72,-10.96,-12.12,,,,
10/1/2018 13:20,6.7,-3.62,-15.51,-10.7,-11.93,,,,
10/1/2018 13:20,6.75,-3.68,-15.57,-10.61,-11.91,,,,
10/1/2018 13:20,6.8,-3.78,-15.77,-10.58,-11.84,,,,
10/1/2018 13:20,6.85,-3.89,-14.09,-10.33,-11.64,,,,
10/1/2018 13:20,6.9,-3.91,-15.03,-10.55,-11.12,,,,
10/1/2018 13:20,6.95,-3.62,-12.27,-10.48,-11.67,,,,
10/1/2018 13:20,7,-3.26,-6.04,-10.67,-11.86,,,,
10/1/2018 13:20,7.05,-2.94,-4.58,-10.45,-11.8,,,,
10/1/2018 13:20,7.1,-2.49,-1.35,-10.22,-12.04,,,,
10/1/2018 13:20,7.15,10.75,-6.5,-9.9,-9.52,,,,
10/1/2018 13:20,7.2,7.62,-3.1,-13.06,-9.29,,,,
10/1/2018 13:20,7.25,7.2,1.86,-13.11,-9.64,,,,
10/1/2018 13:20,7.3,7.25,2.43,-12.2,-10.12,,,,
10/1/2018 13:20,7.35,7.67,5.24,-12.03,-10.23,,,,
10/1/2018 13:20,7.4,8.56,5.29,-12.32,-9.92,,,,
10/1/2018 13:20,7.45,-2.13,-6.33,6.44,2.08,,,,
10/1/2018 13:20,7.5,5.79,8.82,-7.51,5.87,,,,
10/1/2018 13:20,7.55,5.41,9.89,-8.18,6.03,,,,
10/1/2018 13:20,7.6,-0.44,5.62,1.77,4.03,,,,
10/1/2018 13:20,7.65,1.13,7.57,-6.86,9.65,,,,
10/1/2018 13:20,7.7,2.32,7.18,-7.39,5.97,,,,
10/1/2018 13:20,7.75,4.75,6.89,-7.78,1.39,,,,
10/1/2018 13:20,7.8,3.66,5.2,-8.05,-0.64,,,,
10/1/2018 13:20,7.85,6.82,3.39,-8.48,-3.08,,,,
10/1/2018 13:20,7.9,6.33,4.46,-8.75,-1.96,,,,
10/1/2018 13:20,7.95,6.72,3.41,-8.73,-1.7,,,,
10/1/2018 13:20,8,8.15,2.64,-8.58,-0.1,,,,
10/1/2018 13:20,8.05,5.31,4.31,-8.43,2.16,,,,
10/1/2018 13:20,8.1,8.29,1.75,-8.53,3.24,,,,
10/1/2018 13:20,8.15,5.58,1.58,-8.16,8.46,,,,
10/1/2018 13:20,8.2,5.55,2.77,-8.1,8.35,,,,
10/1/2018 13:20,8.25,7.5,2.34,-8.14,7.92,,,,
10/1/2018 13:20,8.3,4.72,3.5,-7.88,10.18,,,,
10/1/2018 13:20,8.35,4.44,2.52,-7.76,11.7,,,,
10/1/2018 13:20,8.4,3.35,1.38,-7.74,11.66,,,,
10/1/2018 13:20,8.45,2.31,1.37,-7.9,9.02,,,,
10/1/2018 13:20,8.5,2.7,-0.1,-8.2,5.26,,,,
10/1/2018 13:20,8.55,1.07,-1.34,-8.43,1.92,,,,
10/1/2018 13:20,8.6,-0.04,-2.83,-8.73,-0.04,,,,
10/1/2018 13:20,8.65,2.19,-6.5,-9.37,-3.25,,,,
10/1/2018 13:20,8.7,1.71,-8.15,-9.87,-6.57,,,,
10/1/2018 13:20,8.75,-0.95,-10.16,-9.95,-7,,,,
10/1/2018 13:20,8.8,-3.24,-15.31,-10.38,-8.42,,,,
10/1/2018 13:20,8.85,-3.85,-16.06,-10.76,-11.59,,,,
10/1/2018 13:20,8.9,-4.02,-15.95,-10.77,-11.6,,,,
10/1/2018 13:20,8.95,-3.78,-15.98,-10.78,-11.74,,,,
10/1/2018 13:20,9,-3.93,-15.77,-11,-12.08,,,,
10/1/2018 13:20,9.05,-3.76,-15.68,-11.13,-12.13,,,,
10/1/2018 13:20,9.1,-3.49,-15.44,-10.9,-12.16,,,,
10/1/2018 13:20,9.15,-3.44,-15.29,-10.74,-12.04,,,,
10/1/2018 13:20,9.2,-3.67,-15.67,-11.01,-12.23,,,,
10/1/2018 13:20,9.25,-3.7,-15.71,-10.8,-12.1,,,,
10/1/2018 13:20,9.3,-3.83,-15.77,-10.87,-12.05,,,,
10/1/2018 13:20,9.35,-3.84,-15.74,-10.68,-12.02,,,,
10/1/2018 13:20,9.4,-3.88,-15.86,-10.74,-12.02,,,,
10/1/2018 13:20,9.45,-3.43,-13.24,-9.74,-12.36,,,,
10/1/2018 13:20,9.5,-3.62,-13.3,-10.42,-12.08,,,,
10/1/2018 13:20,9.55,-3.3,-10.65,-10.53,-11.99,,,,
10/1/2018 13:20,9.6,-2.87,-3.79,-10.56,-12.23,,,,
10/1/2018 13:20,9.65,-2.58,-2.55,-10.26,-12.25,,,,
10/1/2018 13:20,9.7,5.91,0.02,-7.1,-10.59,,,,
10/1/2018 13:20,9.75,-2.12,-3.6,-8.94,6.47,,,,
10/1/2018 13:20,9.8,-1.87,4.78,-9.45,-1.06,,,,
10/1/2018 13:20,9.85,4.69,-0.36,-9.32,0.11,,,,
10/1/2018 13:20,9.9,-1.06,2.86,-8.78,5.62,,,,
10/1/2018 13:20,9.95,-0.62,2.3,-8.1,9.61,,,,
10/1/2018 13:20,10,-0.44,2.5,-7.84,11.5,,,,
10/1/2018 13:20,10.05,-0.33,0.58,-2.65,11.37,,,,
10/1/2018 13:20,10.1,0.02,1.55,-6.49,18.28,,,,
10/1/2018 13:20,10.15,0.06,1.24,-3.24,16.24,,,,
