Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,,,
10/1/2018 13:31,0,-3.13,3.51,0.58,2.06,,,,
10/1/2018 13:31,0.05,-3.2,3.64,0.55,1.68,,,,
10/1/2018 13:31,0.1,-3.25,3.48,0.54,1.79,,,,
10/1/2018 13:31,0.15,-3.3,3.04,2.44,1.02,,,,
10/1/2018 13:31,0.2,-3.23,2.7,2.31,1.11,,,,
10/1/2018 13:31,0.25,-3.19,3.54,0.86,2.13,,,,
10/1/2018 13:31,0.3,-3.13,3.02,1.91,2.26,,,,
10/1/2018 13:31,0.35,-3.02,2.59,2.24,2.99,,,,
10/1/2018 13:31,0.4,-2.87,2.78,1.28,4.1,,,,
10/1/2018 13:31,0.45,-2.75,2.77,2.35,4.12,,,,
10/1/2018 13:31,0.5,-2.56,2.74,3.16,5.09,,,,
10/1/2018 13:31,0.55,-2.53,0.42,5.97,5.52,,,,
10/1/2018 13:31,0.6,-2.99,-2.58,11.51,4.27,,,,
10/1/2018 13:31,0.65,-2.81,-2.64,10.58,7.69,,,,
10/1/2018 13:31,0.7,-5.43,-7.11,11.32,-5.8,,,,
10/1/2018 13:31,0.75,-6.67,-7.86,5.35,-14.74,,,,
10/1/2018 13:31,0.8,-6.39,-7.95,-1.64,-14.92,,,,
10/1/2018 13:31,0.85,-5.86,-7.91,-2.36,-15.16,,,,
10/1/2018 13:31,0.9,-6.03,-7.89,-2.46,-15.16,,,,
10/1/2018 13:31,0.95,-5.99,-8.06,-2.13,-15.16,,,,
10/1/2018 13:31,1,-6.11,-8.15,-2.14,-15.2,,,,
10/1/2018 13:31,1.05,-6.17,-8.08,-2.14,-15.07,,,,
10/1/2018 13:31,1.1,-6.11,-8.26,-2.07,-15.08,,,,
10/1/2018 13:31,1.15,-5.87,-8.44,-2.03,-15.11,,,,
10/1/2018 13:31,1.2,-5.85,-8.46,-2.03,-15.15,,,,
10/1/2018 13:31,1.25,-5.92,-8.54,-2.06,-15.06,,,,
10/1/2018 13:31,1.3,-6.03,-8.44,-2.1,-15.11,,,,
10/1/2018 13:31,1.35,-6.07,-8.34,-2.09,-15.08,,,,
10/1/2018 13:31,1.4,-6.09,-8.33,-2.12,-15.06,,,,
10/1/2018 13:31,1.45,-6.03,-8.25,-2.14,-15.05,,,,
10/1/2018 13:31,1.5,-6.02,-8.17,-2.13,-14.98,,,,
10/1/2018 13:31,1.55,-6.07,-8.03,-2.21,-14.89,,,,
10/1/2018 13:31,1.6,-6.17,-8.07,-2.19,-14.93,,,,
10/1/2018 13:31,1.65,-6.15,-8.07,-2.13,-14.94,,,,
10/1/2018 13:31,1.7,-6.22,-8.14,-2.1,-14.98,,,,
10/1/2018 13:31,1.75,-6.34,-8.3,-2.2,-15.14,,,,
10/1/2018 13:31,1.8,-6.17,-8.45,-2.19,-15.11,,,,
10/1/2018 13:31,1.85,-6.1,-8.33,-2.17,-15.01,,,,
10/1/2018 13:31,1.9,-6.01,-8.14,-2.11,-14.99,,,,
10/1/2018 13:31,1.95,-5.93,-8.13,-2.11,-15.03,,,,
10/1/2018 13:31,2,-6.09,-8.17,-2.22,-15.15,,,,
