Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
10/1/2018 13:18,0,8.9,4.78,-5.85,2.02
10/1/2018 13:18,0.05,7.33,6.32,-5.31,4.76
10/1/2018 13:18,0.1,7.58,6.7,-4.19,5.99
10/1/2018 13:18,0.15,8.71,7.25,-5.08,6.38
10/1/2018 13:18,0.2,8.76,7.05,-5.25,6.11
10/1/2018 13:18,0.25,9.2,7.06,-5.39,4.99
10/1/2018 13:18,0.3,10.48,6.69,-5.62,3.75
10/1/2018 13:18,0.35,11.07,7.23,-5.81,2.52
10/1/2018 13:18,0.4,10.75,8.57,-5.82,1.74
10/1/2018 13:18,0.45,10.05,9.51,-5.68,1.2
10/1/2018 13:18,0.5,9.89,9.99,-5.76,0.77
10/1/2018 13:18,0.55,10.04,10.19,-5.83,0.47
10/1/2018 13:18,0.6,10.43,10.03,-5.9,0.25
10/1/2018 13:18,0.65,10.42,10.17,-5.74,0.21
10/1/2018 13:18,0.7,10.36,9.81,-5.63,0.83
10/1/2018 13:18,0.75,9.9,9.18,-5.29,0.58
10/1/2018 13:18,0.8,8.93,8.47,-4.76,0.83
10/1/2018 13:18,0.85,7.43,6.92,-4.41,-0.4
10/1/2018 13:18,0.9,4.91,3.66,-3.9,-3.2
10/1/2018 13:18,0.95,0.38,-0.32,-3.44,-7.18
10/1/2018 13:18,1,-3.98,-4.31,-3.17,-11.99
10/1/2018 13:18,1.05,-8.86,-9.06,-5.48,-14.01
10/1/2018 13:18,1.1,-12.01,-13.11,-7.65,-16.71
10/1/2018 13:18,1.15,-14.2,-16.69,-7.82,-20.59
10/1/2018 13:18,1.2,-15.93,-20.15,-7.88,-23.22
10/1/2018 13:18,1.25,-16.63,-23.4,-8.74,-24.48
10/1/2018 13:18,1.3,-17.69,-24.39,-10.25,-32.58
10/1/2018 13:18,1.35,-18.21,-25.97,-9.66,-34.37
10/1/2018 13:18,1.4,-17.56,-25.54,-10.44,-36.19
10/1/2018 13:18,1.45,-18.16,-25.7,-10.56,-36.9
10/1/2018 13:18,1.5,-18.06,-25.76,-10.31,-36.76
10/1/2018 13:18,1.55,-18.08,-25.71,-10.46,-36.53
10/1/2018 13:18,1.6,-18.03,-25.48,-10.39,-36.42
10/1/2018 13:18,1.65,-17.99,-25.45,-10.38,-36.2
10/1/2018 13:18,1.7,-18.05,-25.51,-10.3,-36.1
10/1/2018 13:18,1.75,-18.11,-25.65,-10.39,-35.95
10/1/2018 13:18,1.8,-18.29,-25.65,-10.38,-35.89
10/1/2018 13:18,1.85,-18.4,-25.59,-10.43,-35.87
10/1/2018 13:18,1.9,-18.46,-25.54,-10.46,-35.92
10/1/2018 13:18,1.95,-18.49,-25.45,-10.55,-35.9
10/1/2018 13:18,2,-18.36,-25.48,-10.46,-35.89
10/1/2018 13:18,2.05,-18.3,-25.49,-10.45,-35.82
10/1/2018 13:18,2.1,-18.29,-25.45,-10.45,-35.95
10/1/2018 13:18,2.15,-18.38,-25.51,-10.48,-36.07
10/1/2018 13:18,2.2,-18.34,-25.52,-10.49,-36.1
10/1/2018 13:18,2.25,-18.4,-23.17,-10.42,-36.42
10/1/2018 13:18,2.3,-17.58,-19.2,-10.12,-36.36
10/1/2018 13:18,2.35,-15.86,-17.83,-9.96,-36.51
10/1/2018 13:18,2.4,-12.02,-18.97,-10.05,-36.05
10/1/2018 13:18,2.45,-12.36,-12.99,-10.14,-36
10/1/2018 13:18,2.5,-10.83,-8.99,-9.86,-36.14
10/1/2018 13:18,2.55,-6.78,-6.58,-9.85,-35.82
10/1/2018 13:18,2.6,-7.64,-5.79,-9.54,-28.77
10/1/2018 13:18,2.65,-10.64,2.64,-6.51,-15.03
10/1/2018 13:18,2.7,-6.72,11.86,-5.79,-14.53
10/1/2018 13:18,2.75,-3.2,14.8,-4.94,-8.5
10/1/2018 13:18,2.8,-3.72,21.67,-0.8,-4.48
10/1/2018 13:18,2.85,-2.62,21.24,5.43,3.06
10/1/2018 13:18,2.9,-1.36,22.37,9.63,5.1
10/1/2018 13:18,2.95,0.03,24.27,12.98,3.88
10/1/2018 13:18,3,0.6,25.99,14.37,3.53
10/1/2018 13:18,3.05,0.87,26.39,11.9,5.35
10/1/2018 13:18,3.1,2.48,25.63,7.45,7.18
10/1/2018 13:18,3.15,4.53,25.4,3.6,7.95
10/1/2018 13:18,3.2,5.92,25.68,2.41,7.89
10/1/2018 13:18,3.25,7.07,26.49,2.35,9.49
10/1/2018 13:18,3.3,7.38,26.27,3.48,9.4
10/1/2018 13:18,3.35,12.05,27.12,0.31,5.86
10/1/2018 13:18,3.4,16.12,27.99,-2.84,1.84
10/1/2018 13:18,3.45,19.34,27.37,-3.28,0.57
10/1/2018 13:18,3.5,22.28,27.29,-3.52,1.11
10/1/2018 13:18,3.55,26.73,28.16,-3.86,0.31
10/1/2018 13:18,3.6,33.21,28.28,-4.95,-5.43
10/1/2018 13:18,3.65,39.53,27.33,-6.25,-9.3
10/1/2018 13:18,3.7,41.28,29.06,-6.36,-8.68
10/1/2018 13:18,3.75,39.64,33.25,-5.6,-4.68
10/1/2018 13:18,3.8,43.1,38.25,-4.9,0.14
10/1/2018 13:18,3.85,47.6,41.14,-4.65,2.31
10/1/2018 13:18,3.9,50.3,42.33,-4.79,6.02
10/1/2018 13:18,3.95,54.75,43.03,-5.38,11.67
10/1/2018 13:18,4,60.15,43.02,-6.29,11.43
10/1/2018 13:18,4.05,62.76,41.17,-6.54,16.4
10/1/2018 13:18,4.1,63.08,39.32,-6.72,20.29
