Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 12:13,0,-52.96,14.55,36,-1.38
9/17/2018 12:13,0.05,57.3,10.23,35.71,-1.34
9/17/2018 12:13,0.1,52.35,5.53,34.6,-1.42
9/17/2018 12:13,0.15,48.45,1.1,31.47,-1.51
9/17/2018 12:13,0.2,45.33,-2.72,30.98,-1.53
9/17/2018 12:13,0.25,43.92,-3.7,27.42,-1.87
9/17/2018 12:13,0.3,37.59,-3.97,26.08,-1.82
9/17/2018 12:13,0.35,22.11,-1.86,21.33,-1.13
9/17/2018 12:13,0.4,6.73,-2.73,14.63,-0.86
9/17/2018 12:13,0.45,-2.89,-7.42,2.99,-1.9
9/17/2018 12:13,0.5,-4.02,-7.18,-6.42,-2.35
9/17/2018 12:13,0.55,-3.13,-6.85,-6.85,-2.17
9/17/2018 12:13,0.6,-2.5,-6.48,-6.95,-2.08
9/17/2018 12:13,0.65,-2.42,-6.39,-6.96,-2.06
9/17/2018 12:13,0.7,-2.57,-6.42,-7.12,-2.16
9/17/2018 12:13,0.75,-2.68,-6.39,-7.13,-2.27
9/17/2018 12:13,0.8,-2.79,-6.49,-6.87,-2.34
9/17/2018 12:13,0.85,-2.93,-6.59,-6.7,-2.26
9/17/2018 12:13,0.9,-3.01,-6.75,-6.57,-2.17
9/17/2018 12:13,0.95,-3.01,-6.8,-6.48,-2.02
9/17/2018 12:13,1,-3.02,-6.72,-6.51,-1.99
9/17/2018 12:13,1.05,-2.97,-6.57,-6.5,-1.97
9/17/2018 12:13,1.1,-3.02,-6.56,-6.5,-1.93
9/17/2018 12:13,1.15,-3.13,-6.81,-6.64,-2.11
9/17/2018 12:13,1.2,-3.26,-6.9,-6.7,-2.21
9/17/2018 12:13,1.25,-3.27,-6.81,-6.53,-2.16
9/17/2018 12:13,1.3,-3.23,-6.7,-6.37,-1.98
9/17/2018 12:13,1.35,-3.33,-6.58,-6.36,-1.94
9/17/2018 12:13,1.4,-3.38,-6.6,-6.35,-1.95
9/17/2018 12:13,1.45,-3.23,-6.7,-6.33,-1.93
9/17/2018 12:13,1.5,-3.44,-6.69,-6.49,-1.94
9/17/2018 12:13,1.55,-3.27,-6.74,-6.55,-1.83
9/17/2018 12:13,1.6,-3.74,-6.54,-7.76,-2.6
9/17/2018 12:13,1.65,-3.04,-4.36,-6.3,-1.41
9/17/2018 12:13,1.7,2.08,-5.36,-6.94,-1.95
9/17/2018 12:13,1.75,1.51,-3.07,-6.2,-1.95
9/17/2018 12:13,1.8,1.69,-2.78,8.44,-1.66
9/17/2018 12:13,1.85,-1.73,-3.27,-1.82,3.93
9/17/2018 12:13,1.9,-1.13,-2.13,5.44,7.29
9/17/2018 12:13,1.95,2.1,3.71,8.86,1.14
9/17/2018 12:13,2,8.73,11.66,3.62,1.02
9/17/2018 12:13,2.05,8.84,11.04,11.2,4.04
9/17/2018 12:13,2.1,9.76,13.28,12.13,9.05
9/17/2018 12:13,2.15,12.41,17.06,12.24,9.07
9/17/2018 12:13,2.2,14.81,19.19,15.47,12.05
9/17/2018 12:13,2.25,18.25,22.4,18.48,14.77
9/17/2018 12:13,2.3,22.18,25.53,23.49,16.65
9/17/2018 12:13,2.35,24.5,29.39,27.2,21.16
9/17/2018 12:13,2.4,27.62,33.26,26.89,27.29
9/17/2018 12:13,2.45,31.22,36.01,30.59,30.22
9/17/2018 12:13,2.5,34.76,40.56,33.49,34.01
9/17/2018 12:13,2.55,37.66,45.31,33.24,37.94
9/17/2018 12:13,2.6,35.78,47.87,30.24,40.69
9/17/2018 12:13,2.65,33.99,50.03,24.79,42.16
9/17/2018 12:13,2.7,33.35,51.19,23.62,41.72
9/17/2018 12:13,2.75,34.24,53.66,23.82,41.44
9/17/2018 12:13,2.8,39.92,55.3,26.82,39.95
9/17/2018 12:13,2.85,48.59,52.93,28.39,33.64
9/17/2018 12:13,2.9,53.66,54.02,38.2,28.16
9/17/2018 12:13,2.95,59.42,57.07,36.09,22.15
9/17/2018 12:13,3,61.84,58.33,31.86,21.03
9/17/2018 12:13,3.05,63.41,59.04,29.61,16.8
9/17/2018 12:13,3.1,64.67,54.06,28.67,11.64
9/17/2018 12:13,3.15,65.27,43.53,28.8,9.05
9/17/2018 12:13,3.2,64.73,29.31,33.39,3.48
9/17/2018 12:13,3.25,62.2,15.08,33.63,0.73
9/17/2018 12:13,3.3,50.43,6.66,28.71,0.25
9/17/2018 12:13,3.35,20.14,-1.4,18.38,7.08
9/17/2018 12:13,3.4,-2.21,-6.51,7.07,10.11
9/17/2018 12:13,3.45,-4.67,-6.23,-6.21,5.34
9/17/2018 12:13,3.5,-3.86,-6.56,-6.06,0.44
9/17/2018 12:13,3.55,-2.79,-6.7,-6.28,-0.04
9/17/2018 12:13,3.6,-2.53,-6.72,-6.85,-1.88
9/17/2018 12:13,3.65,-2.39,-6.75,-7.27,-2
9/17/2018 12:13,3.7,-2.44,-6.82,-7.4,-1.78
9/17/2018 12:13,3.75,-2.87,-6.91,-7.33,-1.73
9/17/2018 12:13,3.8,-3.1,-6.88,-7.16,-1.81
9/17/2018 12:13,3.85,-3.09,-6.72,-6.9,-1.76
9/17/2018 12:13,3.9,-3.11,-6.62,-6.69,-1.77
9/17/2018 12:13,3.95,-3.1,-6.73,-6.58,-1.79
9/17/2018 12:13,4,-3.17,-6.78,-6.57,-1.79
9/17/2018 12:13,4.05,-3.22,-6.82,-6.66,-1.78
9/17/2018 12:13,4.1,-3.07,-7.03,-6.6,-1.68
9/17/2018 12:13,4.15,-3.03,-7.15,-6.58,-1.71
9/17/2018 12:13,4.2,-3.53,-7.06,-6.73,-1.98
9/17/2018 12:13,4.25,-3.4,-6.87,-6.7,-1.59
9/17/2018 12:13,4.3,-3.21,-6.79,-6.65,-1.62
9/17/2018 12:13,4.35,-3.17,-6.7,-6.56,-1.59
9/17/2018 12:13,4.4,-3.05,-6.75,-6.53,-1.53
9/17/2018 12:13,4.45,-3.28,-7.01,-6.65,-1.73
9/17/2018 12:13,4.5,-3.18,-7.07,-6.67,-1.66
9/17/2018 12:13,4.55,-3.2,-6.99,-6.73,-1.54
9/17/2018 12:13,4.6,-2.95,-7.1,-6.79,-1.45
9/17/2018 12:13,4.65,3.48,-6.53,-6.47,-1.26
9/17/2018 12:13,4.7,1.21,-6.51,-6.78,-1.55
9/17/2018 12:13,4.75,0.05,-6.89,-6.88,-1.86
9/17/2018 12:13,4.8,0.69,-6.7,-6.8,-1.84
9/17/2018 12:13,4.85,1.81,-6.49,-6.47,-1.77
9/17/2018 12:13,4.9,0.67,-3.8,-6.61,-1.42
9/17/2018 12:13,4.95,1.05,-3.14,-6.85,-1.58
9/17/2018 12:13,5,-1.86,-3.47,1.36,-4.13
9/17/2018 12:13,5.05,-0.28,-3.05,4.56,-0.12
9/17/2018 12:13,5.1,-0.61,-3.92,8.91,-0.23
9/17/2018 12:13,5.15,-0.28,-2.5,7.85,-1.3
9/17/2018 12:13,5.2,3.86,-2.62,6.33,-0.29
9/17/2018 12:13,5.25,11.74,-2.18,4.47,-0.59
9/17/2018 12:13,5.3,15.07,-0.79,2.97,-0.78
9/17/2018 12:13,5.35,12,2.74,3.32,-0.38
9/17/2018 12:13,5.4,11.2,7.76,5.28,0.13
9/17/2018 12:13,5.45,14.52,9.75,7.78,0.41
9/17/2018 12:13,5.5,16.82,13.53,13.28,0.83
9/17/2018 12:13,5.55,15.14,18.67,19.12,1.92
9/17/2018 12:13,5.6,11.54,25.59,23.27,3.12
9/17/2018 12:13,5.65,11.83,31.67,24.28,8.45
9/17/2018 12:13,5.7,13.34,37.14,28.27,10.61
9/17/2018 12:13,5.75,16.34,40.03,31.93,12.8
9/17/2018 12:13,5.8,18.4,41.2,34.78,15.67
9/17/2018 12:13,5.85,21.85,43.58,38.42,15.34
9/17/2018 12:13,5.9,27.05,45.5,41.38,15.2
9/17/2018 12:13,5.95,30.88,50.01,45.26,15.96
9/17/2018 12:13,6,36.06,54.04,45.9,19.08
9/17/2018 12:13,6.05,43.51,60.88,50.6,19.9
9/17/2018 12:13,6.1,53.41,69.11,55.44,21.09
9/17/2018 12:13,6.15,63.18,74.24,60.74,21
9/17/2018 12:13,6.2,74.32,77.92,65.05,15.74
9/17/2018 12:13,6.25,78.19,75.52,60.79,12.04
9/17/2018 12:13,6.3,80.16,74.24,57.85,9.8
9/17/2018 12:13,6.35,83.7,75.93,50.88,6.07
9/17/2018 12:13,6.4,81.82,75.29,41.65,6.79
9/17/2018 12:13,6.45,74.96,70.36,35.94,6.85
9/17/2018 12:13,6.5,66.38,59.73,32.17,2.97
9/17/2018 12:13,6.55,57.32,43.28,30.65,2.31
9/17/2018 12:13,6.6,50.46,28.87,29.35,1.68
9/17/2018 12:13,6.65,44.13,12.26,26.47,0.76
9/17/2018 12:13,6.7,36.45,0.74,21.52,-0.38
9/17/2018 12:13,6.75,15.77,-4.59,19.33,0.26
9/17/2018 12:13,6.8,-3.08,-7.62,7.98,2.33
9/17/2018 12:13,6.85,-4.31,-6.98,-6.59,-0.8
9/17/2018 12:13,6.9,-3.1,-6.73,-6.59,-0.3
9/17/2018 12:13,6.95,-2.22,-6.65,-6.84,-1.74
9/17/2018 12:13,7,-2.15,-6.79,-7.21,-1.78
9/17/2018 12:13,7.05,-2.47,-6.57,-7.35,-1.8
9/17/2018 12:13,7.1,-2.85,-6.4,-7.29,-1.78
9/17/2018 12:13,7.15,-3.07,-6.35,-7.08,-1.77
9/17/2018 12:13,7.2,-3.22,-6.49,-6.98,-1.79
9/17/2018 12:13,7.25,-3.28,-6.69,-7.05,-1.81
9/17/2018 12:13,7.3,-3.12,-6.76,-7.05,-1.6
9/17/2018 12:13,7.35,-3.02,-6.78,-6.97,-1.48
9/17/2018 12:13,7.4,-2.92,-6.98,-6.97,-1.52
9/17/2018 12:13,7.45,-3.38,-6.99,-7.05,-1.78
9/17/2018 12:13,7.5,-3.34,-6.84,-6.97,-1.59
9/17/2018 12:13,7.55,-3.15,-7.07,-6.92,-1.5
9/17/2018 12:13,7.6,-3.14,-7.02,-6.73,-1.46
9/17/2018 12:13,7.65,-3.2,-6.86,-6.53,-1.29
9/17/2018 12:13,7.7,-3.31,-6.9,-6.57,-1.27
9/17/2018 12:13,7.75,-3.32,-7.07,-6.67,-1.39
9/17/2018 12:13,7.8,-3.06,-2.59,-7.31,-0.3
9/17/2018 12:13,7.85,-3.24,-6.47,-7.27,-1.5
9/17/2018 12:13,7.9,-2.9,-5.15,-6.84,-1.03
9/17/2018 12:13,7.95,-2.58,-4.07,-7.06,-1.02
9/17/2018 12:13,8,3.24,-4.15,-4.84,-2.88
9/17/2018 12:13,8.05,2.22,-3.97,-6.07,-2.61
9/17/2018 12:13,8.1,1.38,-1.85,-6.75,-1.03
9/17/2018 12:13,8.15,3.79,-0.66,-6.81,-1.59
9/17/2018 12:13,8.2,4.19,-0.34,-6.72,-1.93
9/17/2018 12:13,8.25,6.34,1.6,-6.41,-1.55
9/17/2018 12:13,8.3,7.69,2.24,-6.31,-1.71
9/17/2018 12:13,8.35,8.64,3.04,-6.28,-1.69
9/17/2018 12:13,8.4,8.46,4.85,-6.33,-1.74
9/17/2018 12:13,8.45,-0.18,7.65,11.31,1.64
9/17/2018 12:13,8.5,0.63,14.35,12.42,1.87
9/17/2018 12:13,8.55,4.35,17.53,11.21,2.5
9/17/2018 12:13,8.6,8.83,15.06,12.69,2.23
9/17/2018 12:13,8.65,11.71,12.91,17.15,2.33
9/17/2018 12:13,8.7,10.73,15.09,19.43,2.67
9/17/2018 12:13,8.75,9.05,20.6,22.35,3.26
9/17/2018 12:13,8.8,9.68,23.88,25.15,3.66
9/17/2018 12:13,8.85,12,25.25,29.3,4.03
9/17/2018 12:13,8.9,15.28,27.45,35.02,4.45
9/17/2018 12:13,8.95,17.35,31.82,38.55,4.98
9/17/2018 12:13,9,19.73,36.78,39.57,7.28
9/17/2018 12:13,9.05,22.82,41.99,40.88,9.09
9/17/2018 12:13,9.1,27.77,46.49,44.44,12.63
9/17/2018 12:13,9.15,30.96,51.97,45.42,15.99
9/17/2018 12:13,9.2,34.29,55.46,44.9,18.02
9/17/2018 12:13,9.25,37.07,58.17,44.26,19.82
9/17/2018 12:13,9.3,40.44,60.15,45.26,15.86
9/17/2018 12:13,9.35,43.77,60.27,44.09,12.27
9/17/2018 12:13,9.4,48.43,60.83,43.96,10.64
9/17/2018 12:13,9.45,54.74,64.03,48.37,7.26
