Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/12/2018 13:55,0,-22.73,-46.65,-22.37,-3.05
9/12/2018 13:55,0.05,-16.78,-46.23,-21.78,-3.06
9/12/2018 13:55,0.1,-18.26,-46.08,-21.51,-3.49
9/12/2018 13:55,0.15,-15.46,-46.01,-21.3,-3.8
9/12/2018 13:55,0.2,-13.01,-45.63,-20.91,-3.83
9/12/2018 13:55,0.25,-20.02,-20.91,-20.78,-0.19
9/12/2018 13:55,0.3,-19.42,-28.1,-7.3,-0.37
9/12/2018 13:55,0.35,-18.48,-26.43,0.6,0.86
9/12/2018 13:55,0.4,-17.26,-21.11,8.13,2.1
9/12/2018 13:55,0.45,-15.42,-11.02,16.47,4.62
9/12/2018 13:55,0.5,-13.49,-3.87,20.57,22.88
9/12/2018 13:55,0.55,-10.51,14.97,33.05,15.94
9/12/2018 13:55,0.6,-3.07,22.34,42.46,11.8
9/12/2018 13:55,0.65,-3.61,24.63,47.53,12.55
9/12/2018 13:55,0.7,-4.86,25.21,50.03,24.73
9/12/2018 13:55,0.75,-1.09,22.98,54.19,31.27
9/12/2018 13:55,0.8,3.88,25.91,59.88,31.05
9/12/2018 13:55,0.85,7.29,30.81,63.59,30.47
9/12/2018 13:55,0.9,13.09,30.74,69.13,31.25
9/12/2018 13:55,0.95,13.73,32.24,72.67,30.6
9/12/2018 13:55,1,13.02,33.29,75.07,29.24
9/12/2018 13:55,1.05,11.64,32.69,76.51,27.92
9/12/2018 13:55,1.1,8,31.35,76,27.17
9/12/2018 13:55,1.15,0.63,26.95,73.89,25.8
9/12/2018 13:55,1.2,-8.38,20.99,67.82,23.33
9/12/2018 13:55,1.25,-12.57,4.12,49.95,25.89
9/12/2018 13:55,1.3,-17.19,-14.92,3.23,32.53
9/12/2018 13:55,1.35,-21.43,-32.72,-21.73,20.66
9/12/2018 13:55,1.4,-23.42,-48.83,-23.02,-2.74
9/12/2018 13:55,1.45,-21.16,-47.8,-22.78,-2.42
9/12/2018 13:55,1.5,-21.16,-48.06,-22.57,-2.58
9/12/2018 13:55,1.55,-22.1,-47.79,-22.51,-2.83
9/12/2018 13:55,1.6,-22.3,-47.65,-22.33,-2.87
9/12/2018 13:55,1.65,-22.38,-47.47,-22.43,-2.73
9/12/2018 13:55,1.7,-22.36,-47.37,-22.67,-2.62
9/12/2018 13:55,1.75,-22.33,-47.33,-22.72,-2.49
9/12/2018 13:55,1.8,-22.22,-47.3,-22.63,-2.32
9/12/2018 13:55,1.85,-22.27,-47.39,-22.61,-2.34
9/12/2018 13:55,1.9,-22.18,-47.34,-22.48,-2.34
9/12/2018 13:55,1.95,-22.29,-47.37,-22.64,-2.36
9/12/2018 13:55,2,-22.2,-47.33,-22.69,-2.39
9/12/2018 13:55,2.05,-22.05,-47.36,-22.72,-2.33
