Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
10/1/2018 13:29,0,-1.12,2.93,1.38,10.64
10/1/2018 13:29,0.05,-1.11,2.59,1.44,12.06
10/1/2018 13:29,0.1,-1.06,2.55,1.49,12.57
10/1/2018 13:29,0.15,-1.05,2.42,1.51,12.83
10/1/2018 13:29,0.2,-1.06,2.1,1.51,13.11
10/1/2018 13:29,0.25,-1.09,2.02,1.49,12.94
10/1/2018 13:29,0.3,-1.17,2.06,1.4,12.26
10/1/2018 13:29,0.35,-1.19,1.47,1.35,12.27
10/1/2018 13:29,0.4,-1.22,1.86,1.36,11.76
10/1/2018 13:29,0.45,-1.29,2.01,1.22,11.02
10/1/2018 13:29,0.5,-1.33,1.18,1.31,11.67
10/1/2018 13:29,0.55,-1.35,1.36,1.26,11.07
10/1/2018 13:29,0.6,-1.39,1.27,1.18,10.72
10/1/2018 13:29,0.65,-1.41,1.11,1.21,10.92
10/1/2018 13:29,0.7,-1.4,1.4,1.21,10.46
10/1/2018 13:29,0.75,3.05E-05,1.07,1.05,9.34
10/1/2018 13:29,0.8,-1.02,1.67,1.07,9.36
10/1/2018 13:29,0.85,-1.19,1.66,1.11,9.39
10/1/2018 13:29,0.9,-0.09,1.35,0.92,8.23
10/1/2018 13:29,0.95,0.52,1.29,0.83,7.3
10/1/2018 13:29,1,-1.55,0.72,0.98,11.05
10/1/2018 13:29,1.05,-1.59,0.21,1.08,12.52
10/1/2018 13:29,1.1,-1.66,0.5,1,11.66
10/1/2018 13:29,1.15,-1.55,1.58,0.94,9.91
10/1/2018 13:29,1.2,-1.47,2.07,1.05,9.08
10/1/2018 13:29,1.25,2.6,1.26,0.71,4.87
10/1/2018 13:29,1.3,0.95,1.42,0.58,5.52
10/1/2018 13:29,1.35,-1.5,2.26,0.94,8.33
10/1/2018 13:29,1.4,0.16,0.74,0.92,8.14
10/1/2018 13:29,1.45,0.46,1.48,0.79,7.13
10/1/2018 13:29,1.5,-0.26,1.42,0.88,8.24
10/1/2018 13:29,1.55,0.12,1.22,0.86,7.86
10/1/2018 13:29,1.6,0.51,1.55,0.8,7.3
10/1/2018 13:29,1.65,0.46,1.51,0.81,7.4
