Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/11/2018 15:39,0,5.93,21,42.06,53.72
8/11/2018 15:39,0.05,7.1,27.33,50.98,56.4
8/11/2018 15:39,0.1,6.72,24.37,44.22,88.11
8/11/2018 15:39,0.15,7.7,43.47,59.29,70.36
8/11/2018 15:39,0.2,9.16,60.24,61.58,62.89
8/11/2018 15:39,0.25,8.99,56.7,56.97,84.05
8/11/2018 15:39,0.3,8.92,60.27,60.35,92.22
8/11/2018 15:39,0.35,10.28,78.86,65.85,80.05
8/11/2018 15:39,0.4,10.03,76.37,65.43,94.18
8/11/2018 15:39,0.45,9.23,69.95,64.62,100
8/11/2018 15:39,0.5,8.91,72.31,62.78,94.66
8/11/2018 15:39,0.55,7.11,56.77,48.33,100
8/11/2018 15:39,0.6,4.73,33.59,31.88,100
8/11/2018 15:39,0.65,3.1,15.15,17.16,91.27
8/11/2018 15:39,0.7,1.43,0.29,2.02,73.48
8/11/2018 15:39,0.75,1.23,-2.02,-2.91,51.23
8/11/2018 15:39,0.8,1.28,-2.29,-3.01,48.21
8/11/2018 15:39,0.85,1.45,-1.64,-2.41,48.2
8/11/2018 15:39,0.9,1.45,-1.39,-2.03,48.36
8/11/2018 15:39,0.95,1.08,-1.57,-1.66,48.38
8/11/2018 15:39,1,0.94,-1.63,-1.74,48.37
8/11/2018 15:39,1.05,0.8,-1.75,-1.48,48.15
8/11/2018 15:39,1.1,1.04,-1.75,-1.59,48.28
8/11/2018 15:39,1.15,0.94,-1.62,-1.36,48.43
8/11/2018 15:39,1.2,1.09,-1.55,-1.49,48.51
8/11/2018 15:39,1.25,1.03,-1.56,-1.39,48.58
8/11/2018 15:39,1.3,0.84,-1.88,-1.35,48.24
8/11/2018 15:39,1.35,0.86,-2.03,-1.35,48.15
8/11/2018 15:39,1.4,0.91,-2.16,-1.23,48.16
8/11/2018 15:39,1.45,2.34,10.64,-3.73,49.41
8/11/2018 15:39,1.5,2.99,-1.25,1.86,82.55
8/11/2018 15:39,1.55,2.79,1.04,1.18,71.69
8/11/2018 15:39,1.6,11.91,3.89,0.42,78.37
8/11/2018 15:39,1.65,25.93,6.34,4.64,100
8/11/2018 15:39,1.7,3.78,4.6,56.93,100
8/11/2018 15:39,1.75,31.41,5.45,43.87,100
8/11/2018 15:39,1.8,33.99,7.94,49.13,100
8/11/2018 15:39,1.85,28.88,8.21,69.72,100
8/11/2018 15:39,1.9,38.55,9.03,60.1,100
8/11/2018 15:39,1.95,41.5,10.13,63.88,100
8/11/2018 15:39,2,41.26,10.85,74.15,100
8/11/2018 15:39,2.05,49.23,11.57,70.48,100
8/11/2018 15:39,2.1,53.82,12.38,61.8,100
8/11/2018 15:39,2.15,59.91,12.42,55.55,100
8/11/2018 15:39,2.2,58.14,12.34,56.91,100
8/11/2018 15:39,2.25,56.98,12.05,48.27,100
8/11/2018 15:39,2.3,51.79,11,44.02,100
8/11/2018 15:39,2.35,39.01,9.47,41.97,100
8/11/2018 15:39,2.4,25.38,7.2,45.22,100
8/11/2018 15:39,2.45,7.36,4.89,51.71,100
8/11/2018 15:39,2.5,0.95,2.62,46.78,100
8/11/2018 15:39,2.55,0.8,1.04,30.41,83.78
8/11/2018 15:39,2.6,0.71,-0.06,7.69,72.59
8/11/2018 15:39,2.65,0.87,-0.91,-0.34,58.61
8/11/2018 15:39,2.7,1.16,-1.64,-1.3,49.35
8/11/2018 15:39,2.75,1.44,-2.15,-0.95,47.21
8/11/2018 15:39,2.8,1.23,-2.01,-0.64,47.28
8/11/2018 15:39,2.85,1.03,-1.87,-0.64,47.3
8/11/2018 15:39,2.9,1.09,-2.04,-0.61,47.13
8/11/2018 15:39,2.95,1.04,-2.06,-0.47,47.15
8/11/2018 15:39,3,1.01,-2.06,-0.52,47.16
8/11/2018 15:39,3.05,0.93,-2.01,-0.41,47.15
8/11/2018 15:39,3.1,0.84,-1.93,-0.43,47.2
8/11/2018 15:39,3.15,0.76,-1.88,-0.4,47.25
8/11/2018 15:39,3.2,0.68,-1.92,-0.34,47.22
8/11/2018 15:39,3.25,0.72,-1.9,-0.3,47.21
8/11/2018 15:39,3.3,0.74,-1.71,-0.27,47.32
8/11/2018 15:39,3.35,0.57,-1.62,-0.42,47.24
8/11/2018 15:39,3.4,0.58,-1.49,-0.32,47.22
8/11/2018 15:39,3.45,0.54,-1.66,-0.11,47.17
8/11/2018 15:39,3.5,0.47,-1.92,-0.21,47.04
8/11/2018 15:39,3.55,0.56,-1.93,-0.24,47.11
8/11/2018 15:39,3.6,1.15,-1.63,0.75,56.43
8/11/2018 15:39,3.65,1.5,-0.11,0.19,65.01
8/11/2018 15:39,3.7,2.31,1.5,1.95,84.1
8/11/2018 15:39,3.75,36.14,7.3,2.31,80.42
8/11/2018 15:39,3.8,21.42,6.87,5.86,100
8/11/2018 15:39,3.85,38.63,8.15,11.7,100
8/11/2018 15:39,3.9,60.58,10.26,11.87,100
8/11/2018 15:39,3.95,67.52,12.43,13.86,100
8/11/2018 15:39,4,51.72,11.63,62.99,100
8/11/2018 15:39,4.05,73.75,12,23.5,100
8/11/2018 15:39,4.1,81.02,12.32,18.85,100
8/11/2018 15:39,4.15,71.17,11.18,40.3,100
8/11/2018 15:39,4.2,61.99,9.4,48,100
8/11/2018 15:39,4.25,44.39,7.28,58.17,100
8/11/2018 15:39,4.3,26.07,4.25,68.25,89.15
8/11/2018 15:39,4.35,9.13,0.67,77.29,70.48
8/11/2018 15:39,4.4,3.98,-1.53,54.82,61.34
8/11/2018 15:39,4.45,2.78,-1.81,27.19,54.05
8/11/2018 15:39,4.5,1.7,-1.68,3.12,51.87
8/11/2018 15:39,4.55,1.24,-1.51,-1.13,47.18
8/11/2018 15:39,4.6,1.08,-1.65,-1.19,46.91
8/11/2018 15:39,4.65,1.07,-1.66,-0.85,46.86
8/11/2018 15:39,4.7,1.02,-1.59,-0.34,47.03
8/11/2018 15:39,4.75,0.88,-1.58,-0.36,47.03
8/11/2018 15:39,4.8,0.86,-1.5,-0.4,46.97
8/11/2018 15:39,4.85,0.94,-1.38,-0.53,46.82
8/11/2018 15:39,4.9,0.78,-1.38,-0.64,46.67
8/11/2018 15:39,4.95,0.83,-1.43,-0.37,46.58
8/11/2018 15:39,5,0.77,-1.39,-0.37,46.7
8/11/2018 15:39,5.05,0.66,-1.34,-0.34,46.74
8/11/2018 15:39,5.1,0.63,-1.35,-0.24,46.72
8/11/2018 15:39,5.15,0.57,-1.21,-0.21,46.86
8/11/2018 15:39,5.2,0.6,-1.13,-0.05,46.86
8/11/2018 15:39,5.25,0.7,-1.16,0.11,47
8/11/2018 15:39,5.3,-0.72,-1.17,11.58,45.58
8/11/2018 15:39,5.35,2.65,2.13,-1.68,63.46
8/11/2018 15:39,5.4,2.41,-0.45,14.7,64.55
8/11/2018 15:39,5.45,1.81,0.99,39.81,65.03
8/11/2018 15:39,5.5,2.65,3.05,44.84,94.02
8/11/2018 15:39,5.55,2.95,3.66,56.35,100
8/11/2018 15:39,5.6,2.99,4.54,71.16,100
