Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 12:09,0,5.21,-11.87,3.81,0.37
9/17/2018 12:09,0.05,5.62,-11.5,2.28,0.53
9/17/2018 12:09,0.1,7.34,-11.06,-1.37,-0.32
9/17/2018 12:09,0.15,8.84,-10.44,-3.74,-1.19
9/17/2018 12:09,0.2,11.99,-9.77,-2.16,-1.25
9/17/2018 12:09,0.25,10.93,-10.15,3.54,-0.65
9/17/2018 12:09,0.3,6.53,-11.09,8.94,0.34
9/17/2018 12:09,0.35,4.88,-9.28,12.24,1.36
9/17/2018 12:09,0.4,0.53,-8.48,21.81,0.22
9/17/2018 12:09,0.45,0.14,-7.82,21.1,-0.03
9/17/2018 12:09,0.5,2.06,-5.98,11.82,3.83
9/17/2018 12:09,0.55,0.14,-12.2,24.59,2.03
9/17/2018 12:09,0.6,0.3,-11.06,10.89,-0.89
9/17/2018 12:09,0.65,0.16,-12.41,1.15,0.44
9/17/2018 12:09,0.7,-2.06,-12.04,-5.84,-0.76
9/17/2018 12:09,0.75,-4.09,-11.8,-4.97,0.52
9/17/2018 12:09,0.8,-3.14,-6.65,-7.67,-1.77
9/17/2018 12:09,0.85,-3.85,-12.42,-7.94,-0.88
9/17/2018 12:09,0.9,-4.18,-12.49,-6.68,-2.72
9/17/2018 12:09,0.95,-3.7,-10.56,-4,5.73
9/17/2018 12:09,1,-4.61,-12.12,1.49,2.25
9/17/2018 12:09,1.05,-5.61,-11.06,-6.44,0.77
9/17/2018 12:09,1.1,-4.84,-9.75,-10.84,3.59
9/17/2018 12:09,1.15,-3.56,-10.14,-6.09,16.88
9/17/2018 12:09,1.2,-2.7,-11.8,-9.93,21.24
9/17/2018 12:09,1.25,-3.96,-11.98,-9.48,2.77
9/17/2018 12:09,1.3,-5.37,-6.87,-11.6,5.79
9/17/2018 12:09,1.35,-4.69,-11.47,-10.66,4.83
9/17/2018 12:09,1.4,-4.08,-10.69,-9.71,8.41
9/17/2018 12:09,1.45,-4.12,-11.25,-9.96,2.31
9/17/2018 12:09,1.5,-4.33,-11.81,-9.46,0.08
9/17/2018 12:09,1.55,-3.62,-10.97,-9.16,3.68
9/17/2018 12:09,1.6,-3.93,-11.47,-9.9,6.23
9/17/2018 12:09,1.65,-4.3,-11.43,-10.29,2.44
9/17/2018 12:09,1.7,-4.61,-8.28,-10.4,-0.87
9/17/2018 12:09,1.75,-4.26,-9.16,-9.8,-0.79
9/17/2018 12:09,1.8,-4.29,-9.55,-9.72,-0.67
9/17/2018 12:09,1.85,-4.1,-9.45,-9.87,-0.41
9/17/2018 12:09,1.9,-4.57,-10.79,-9.91,3.42
9/17/2018 12:09,1.95,-3.38,-9.2,-9.65,3.13
9/17/2018 12:09,2,-3.31,-11.47,-9.66,4.81
9/17/2018 12:09,2.05,-3.29,-8.55,-9.67,1.22
9/17/2018 12:09,2.1,-4.36,-10.99,-9.84,0.85
9/17/2018 12:09,2.15,-3.49,-12.05,-10.68,0.59
9/17/2018 12:09,2.2,-3.68,-11.87,-10.31,-0.74
9/17/2018 12:09,2.25,-3.88,-10.8,-10.01,-0.44
9/17/2018 12:09,2.3,-4.21,-11.39,-9.74,2.82
9/17/2018 12:09,2.35,-3.88,-12.02,-10.43,-0.53
9/17/2018 12:09,2.4,-4.1,-11.92,-9.74,-0.17
9/17/2018 12:09,2.45,-4.24,-12.16,-9.94,-0.17
9/17/2018 12:09,2.5,-4.28,-11.98,-10.03,-0.02
9/17/2018 12:09,2.55,-4.11,-11.79,-10.22,1.48
9/17/2018 12:09,2.6,-4.22,-11.85,-9.86,0.38
9/17/2018 12:09,2.65,-4.24,-11.12,-10.22,3.76
9/17/2018 12:09,2.7,-4.41,-9.83,-10.19,6.12
9/17/2018 12:09,2.75,-4.45,-8.63,-10.13,6.2
9/17/2018 12:09,2.8,-4.4,-6.65,-10.16,6.37
9/17/2018 12:09,2.85,-4.32,-5.6,-10.07,7.38
9/17/2018 12:09,2.9,1.53,-5.28,-11.26,8.18
9/17/2018 12:09,2.95,-1.3,-8.84,-4.85,5.71
9/17/2018 12:09,3,-1.6,-9.7,-7.04,8.58
9/17/2018 12:09,3.05,-1.23,-10.2,-6.23,8.35
9/17/2018 12:09,3.1,-1.13,-10.5,-4.58,7.52
9/17/2018 12:09,3.15,-0.36,-10.89,-4.5,6.38
