Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
10/1/2018 13:07,0,-0.84,-0.54,-0.03,-0.46
10/1/2018 13:07,0.05,-0.82,-0.6,-0.01,-0.15
10/1/2018 13:07,0.1,-0.79,-0.66,0.02,0.04
10/1/2018 13:07,0.15,-0.85,-0.73,0.09,0.01
10/1/2018 13:07,0.2,-0.82,-0.67,0.06,-0.26
10/1/2018 13:07,0.25,-0.83,-0.64,0,-0.41
10/1/2018 13:07,0.3,-0.71,-0.64,-0.1,-0.63
10/1/2018 13:07,0.35,-0.69,-0.56,-0.22,-1.03
10/1/2018 13:07,0.4,-0.46,-0.63,-0.33,-1.27
10/1/2018 13:07,0.45,-0.56,-0.63,-0.39,-1.48
10/1/2018 13:07,0.5,-0.61,-0.57,-0.36,-1.65
10/1/2018 13:07,0.55,-0.6,-0.57,-0.42,-1.65
10/1/2018 13:07,0.6,-0.51,-0.49,-0.41,-1.61
10/1/2018 13:07,0.65,-0.56,-0.46,-0.31,-1.56
10/1/2018 13:07,0.7,-0.53,-0.46,-0.27,-1.43
10/1/2018 13:07,0.75,-0.77,-0.41,-0.16,-1.62
10/1/2018 13:07,0.8,-1.45,-0.13,0.22,-2.78
10/1/2018 13:07,0.85,-3.25,0.33,0.77,-4.52
10/1/2018 13:07,0.9,-4.98,-0.56,1.2,-4
10/1/2018 13:07,0.95,-6.63,-1.34,1.87,-3.53
10/1/2018 13:07,1,-7.4,-2.07,2.21,-3.83
10/1/2018 13:07,1.05,-6.7,-1.98,1.29,-3.56
10/1/2018 13:07,1.1,-5.89,-1.84,1.09,-3.1
10/1/2018 13:07,1.15,-5.48,-1.72,1.31,-2.57
10/1/2018 13:07,1.2,-4.67,-1.73,0.52,-1.42
10/1/2018 13:07,1.25,-4.53,-1.66,0.67,-1.07
10/1/2018 13:07,1.3,-4.36,-1.78,0.7,-0.91
10/1/2018 13:07,1.35,-4.28,-1.72,0.53,-1.43
10/1/2018 13:07,1.4,-4.51,-2.4,0.16,-2.07
10/1/2018 13:07,1.45,-4.3,-2.86,-0.46,-3.01
10/1/2018 13:07,1.5,-4.25,-3.63,-0.89,-3.95
