Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
10/1/2018 13:37,0,12.38,9.57,-5.88,24.74
10/1/2018 13:37,0.05,11.25,14.46,-5.48,26.52
10/1/2018 13:37,0.1,21.86,8.7,-6.94,21.54
10/1/2018 13:37,0.15,21.48,13.77,-7.38,18.1
10/1/2018 13:37,0.2,8.09,28.32,-4.91,24.99
10/1/2018 13:37,0.25,9.32,30.87,-2.12,25.17
10/1/2018 13:37,0.3,17.37,35.55,-3.88,19.56
10/1/2018 13:37,0.35,14.08,42.65,6.56,11.4
10/1/2018 13:37,0.4,15.59,45.08,5.04,17.55
10/1/2018 13:37,0.45,11.37,45.12,6.34,13.07
10/1/2018 13:37,0.5,8.89,33.77,-0.19,10.32
10/1/2018 13:37,0.55,-2.33,28.65,0.06,0.91
10/1/2018 13:37,0.6,-10.3,11.65,-4.38,-5.58
10/1/2018 13:37,0.65,-18.97,5.2,-6.12,-4.1
10/1/2018 13:37,0.7,-24.75,-7.2,0.41,-15.46
10/1/2018 13:37,0.75,-26.52,-30.72,7.72,-21.94
10/1/2018 13:37,0.8,-28.42,-40.32,9.38,-31.12
10/1/2018 13:37,0.85,-28.87,-47.7,0.17,-31.75
10/1/2018 13:37,0.9,-28.2,-48.21,-6.25,-31.79
10/1/2018 13:37,0.95,-28.14,-48.03,-11.39,-32.29
10/1/2018 13:37,1,-28.04,-48.19,-12.98,-32.68
10/1/2018 13:37,1.05,-28.21,-48.36,-13.14,-32.64
10/1/2018 13:37,1.1,-28.32,-48.38,-12.97,-32.45
10/1/2018 13:37,1.15,-28.57,-48.54,-12.77,-32.21
10/1/2018 13:37,1.2,-28.79,-48.74,-13.01,-32.13
10/1/2018 13:37,1.25,-28.98,-48.82,-13.01,-31.61
10/1/2018 13:37,1.3,-28.64,-48.8,-12.7,-31.69
10/1/2018 13:37,1.35,-28.78,-48.53,-12.76,-31.6
10/1/2018 13:37,1.4,-28.59,-48.45,-12.73,-31.71
10/1/2018 13:37,1.45,-28.61,-48.25,-12.98,-31.33
10/1/2018 13:37,1.5,-28.79,-48.44,-13.08,-31.56
10/1/2018 13:37,1.55,-28.53,-47.01,-12.76,-30.66
10/1/2018 13:37,1.6,-28,-41.62,-11.92,-31.76
10/1/2018 13:37,1.65,-27.26,-31.29,-11.69,-32.1
10/1/2018 13:37,1.7,-26.56,-27.2,-10.93,-32.67
10/1/2018 13:37,1.75,-4.9,-21.95,17.59,-35.58
10/1/2018 13:37,1.8,-16.42,-37.4,-6.42,-13.23
10/1/2018 13:37,1.85,-14.92,-29.86,0.36,-23.52
10/1/2018 13:37,1.9,-13.52,-29.76,-0.12,-9.47
10/1/2018 13:37,1.95,-10.12,-27.26,0.02,-9.72
10/1/2018 13:37,2,-9.29,-25.14,3.02,-5.02
10/1/2018 13:37,2.05,-5.78,-22.02,-3.12,-5.26
10/1/2018 13:37,2.1,-5.09,-22.33,-7.78,2.93
10/1/2018 13:37,2.15,-5.4,-23.45,-3.84,6.12
10/1/2018 13:37,2.2,-2.31,-20,-2.4,-0.25
10/1/2018 13:37,2.25,-2.98,-18.84,1.39,-2.65
10/1/2018 13:37,2.3,-2.31,-16.45,3.27,-4.97
10/1/2018 13:37,2.35,-4.34,-16.18,3.99,-3.63
